Source,Target,Type,id,label,timeset,weight,net_exp
Algeria,Spain,Undirected,68,,,0.009999999776482582,3484734
Algeria,UnitedKingdom,Undirected,75,,,0.009999999776482582,2188093
Angola,China,Undirected,110,,,0.03999999910593033,1.19e+07
Angola,ChinaTaiwanProvince,Undirected,111,,,0.009999999776482582,1680372
Angola,India,Undirected,115,,,0.009999999776482582,2873917
Angola,UnitedStates,Undirected,126,,,0.009999999776482582,2513242
Argentina,Chile,Undirected,174,,,0.009999999776482582,1590866
Argentina,India,Undirected,204,,,0.009999999776482582,1486563
Argentina,VietNam,Undirected,269,,,0.009999999776482582,1620207
Australia,China,Undirected,328,,,0.07000000029802322,2.06e+07
Australia,ChinaTaiwanProvince,Undirected,330,,,0.009999999776482582,1549170
Australia,India,Undirected,345,,,0.019999999552965164,4693802
Australia,Japan,Undirected,349,,,0.05999999865889549,1.70e+07
Australia,KoreaRepublicof,Undirected,354,,,0.009999999776482582,2460281
Austria,France,Undirected,466,,,0.009999999776482582,2660395
Austria,RussianFederation,Undirected,529,,,0.009999999776482582,2676324
Austria,Slovakia,Undirected,541,,,0.009999999776482582,2143273
Austria,UnitedKingdom,Undirected,567,,,0.009999999776482582,2159714
Austria,UnitedStates,Undirected,568,,,0.019999999552965164,5275971
Azerbaijan,Italy,Undirected,595,,,0.009999999776482582,2981916
Bangladesh,France,Undirected,707,,,0.009999999776482582,1578963
Bangladesh,Germany,Undirected,708,,,0.009999999776482582,3904928
Bangladesh,Spain,Undirected,735,,,0.009999999776482582,1795300
Bangladesh,UnitedKingdom,Undirected,741,,,0.009999999776482582,3013971
Bangladesh,UnitedStates,Undirected,742,,,0.019999999552965164,4640603
Belarus,Ukraine,Undirected,852,,,0.009999999776482582,1649005
Belarus,UnitedKingdom,Undirected,854,,,0.009999999776482582,2920450
Belgium,Austria,Undirected,870,,,0.009999999776482582,2075626
Belgium,Denmark,Undirected,895,,,0.009999999776482582,1664338
Belgium,France,Undirected,906,,,0.09000000357627869,2.75e+07
Belgium,Germany,Undirected,911,,,0.07000000029802322,1.92e+07
Belgium,India,Undirected,920,,,0.009999999776482582,3494035
Belgium,Italy,Undirected,923,,,0.009999999776482582,3507160
Belgium,Luxembourg,Undirected,938,,,0.009999999776482582,3143312
Belgium,Nigeria,Undirected,951,,,0.009999999776482582,1859246
Belgium,Poland,Undirected,956,,,0.009999999776482582,3262411
Belgium,Spain,Undirected,974,,,0.009999999776482582,2868984
Belgium,Togo,Undirected,983,,,0.009999999776482582,1919053
Belgium,Turkey,Undirected,987,,,0.009999999776482582,2233900
Belgium,UnitedKingdom,Undirected,991,,,0.05999999865889549,1.71e+07
Botswana,UnitedKingdom,Undirected,1197,,,0.009999999776482582,3077119
Brazil,Argentina,Undirected,1206,,,0.009999999776482582,2718900
Brazil,China,Undirected,1230,,,0.029999999329447746,8178914
Brazil,Egypt,Undirected,1244,,,0.009999999776482582,1964844
Brazil,IranIslamicRepublic,Undirected,1264,,,0.009999999776482582,1661361
Brazil,Netherlands,Undirected,1288,,,0.019999999552965164,6718614
Brazil,UnitedArabEmirates,Undirected,1337,,,0.009999999776482582,1957024
Brazil,Venezuela,Undirected,1341,,,0.009999999776482582,2386191
BruneiDarussalam,Japan,Undirected,1356,,,0.009999999776482582,2257761
Cambodia,UnitedStates,Undirected,1593,,,0.009999999776482582,2295714
Canada,UnitedKingdom,Undirected,1746,,,0.019999999552965164,6609133
Canada,UnitedStates,Undirected,1747,,,0.10999999940395355,3.21e+07
Chad,UnitedStates,Undirected,1793,,,0.009999999776482582,1555978
Chile,China,Undirected,1813,,,0.009999999776482582,3375310
Chile,Japan,Undirected,1841,,,0.009999999776482582,3786204
Chile,KoreaRepublicof,Undirected,1843,,,0.009999999776482582,2386759
ChinaHongKongSAR,Australia,Undirected,1899,,,0.009999999776482582,2013476
ChinaHongKongSAR,ChinaMacaoSAR,Undirected,1922,,,0.019999999552965164,4613880
ChinaHongKongSAR,Germany,Undirected,1944,,,0.009999999776482582,2280201
ChinaHongKongSAR,Mexico,Undirected,1981,,,0.009999999776482582,2993347
ChinaHongKongSAR,Netherlands,Undirected,1989,,,0.009999999776482582,3580354
ChinaHongKongSAR,UnitedStates,Undirected,2037,,,0.019999999552965164,5943696
ChinaHongKongSAR,VietNam,Undirected,2042,,,0.009999999776482582,3840670
ChinaTaiwanProvince,China,Undirected,2079,,,0.09000000357627869,2.61e+07
ChinaTaiwanProvince,ChinaHongKongSAR,Undirected,2080,,,0.10000000149011612,2.93e+07
ChinaTaiwanProvince,Mexico,Undirected,2130,,,0.009999999776482582,1936029
ChinaTaiwanProvince,Philippines,Undirected,2143,,,0.019999999552965164,5255370
ChinaTaiwanProvince,Singapore,Undirected,2156,,,0.009999999776482582,2781144
ChinaTaiwanProvince,Thailand,Undirected,2170,,,0.009999999776482582,2180274
ChinaTaiwanProvince,UnitedKingdom,Undirected,2179,,,0.009999999776482582,2000254
ChinaTaiwanProvince,UnitedStates,Undirected,2180,,,0.029999999329447746,8326326
ChinaTaiwanProvince,VietNam,Undirected,2185,,,0.019999999552965164,6885760
China,Algeria,Undirected,2188,,,0.019999999552965164,6828972
China,Argentina,Undirected,2191,,,0.009999999776482582,3715821
China,Bahamas,Undirected,2194,,,0.009999999776482582,1583748
China,Bangladesh,Undirected,2196,,,0.03999999910593033,1.31e+07
China,Belgium,Undirected,2198,,,0.029999999329447746,9459838
China,Benin,Undirected,2200,,,0.009999999776482582,2677344
China,Cambodia,Undirected,2211,,,0.009999999776482582,3183728
China,Canada,Undirected,2213,,,0.05000000074505806,1.36e+07
