Source,Target,Type,id,label,timeset,weight,net_exp
Austria,UnitedStates,Undirected,387,,,0.009999999776482582,645687.1
Bangladesh,Belgium,Undirected,454,,,0.009999999776482582,637640.9
Bangladesh,Canada,Undirected,460,,,0.009999999776482582,985462.3
Bangladesh,France,Undirected,474,,,0.009999999776482582,1787546
Bangladesh,Germany,Undirected,475,,,0.029999999329447746,4315410
Bangladesh,Italy,Undirected,482,,,0.009999999776482582,1288452
Bangladesh,Japan,Undirected,483,,,0.009999999776482582,703865.2
Bangladesh,Netherlands,Undirected,498,,,0.009999999776482582,1105828
Bangladesh,Spain,Undirected,516,,,0.009999999776482582,1846092
Bangladesh,UnitedKingdom,Undirected,525,,,0.019999999552965164,2838477
Bangladesh,UnitedStates,Undirected,526,,,0.03999999910593033,5158091
Belgium,France,Undirected,660,,,0.05000000074505806,6633741
Belgium,Italy,Undirected,677,,,0.009999999776482582,801672.4
Belgium,Spain,Undirected,729,,,0.009999999776482582,795897.9
Belgium,UnitedKingdom,Undirected,746,,,0.019999999552965164,2319118
Cambodia,Canada,Undirected,1112,,,0.009999999776482582,725849.5
Cambodia,Germany,Undirected,1125,,,0.009999999776482582,861132.3
Cambodia,Japan,Undirected,1133,,,0.009999999776482582,766151.6
Cambodia,UnitedKingdom,Undirected,1169,,,0.009999999776482582,981032.9
Cambodia,UnitedStates,Undirected,1170,,,0.019999999552965164,2579911
ChinaHongKongSAR,Australia,Undirected,1358,,,0.009999999776482582,1551872
ChinaHongKongSAR,Canada,Undirected,1377,,,0.009999999776482582,1024132
ChinaHongKongSAR,ChinaMacaoSAR,Undirected,1380,,,0.009999999776482582,1588612
ChinaHongKongSAR,Germany,Undirected,1401,,,0.009999999776482582,1862320
ChinaHongKongSAR,Japan,Undirected,1418,,,0.009999999776482582,1120178
ChinaHongKongSAR,Netherlands,Undirected,1443,,,0.009999999776482582,1128670
ChinaHongKongSAR,UnitedKingdom,Undirected,1492,,,0.009999999776482582,681820.8
ChinaHongKongSAR,UnitedStates,Undirected,1493,,,0.09000000357627869,1.17e+07
ChinaTaiwanProvince,China,Undirected,1544,,,0.05000000074505806,6954073
ChinaTaiwanProvince,ChinaHongKongSAR,Undirected,1545,,,0.019999999552965164,2619559
ChinaTaiwanProvince,UnitedStates,Undirected,1654,,,0.009999999776482582,1841712
China,Algeria,Undirected,1664,,,0.009999999776482582,1785407
China,Angola,Undirected,1666,,,0.009999999776482582,1099179
China,Argentina,Undirected,1668,,,0.009999999776482582,1620920
China,Australia,Undirected,1671,,,0.09000000357627869,1.17e+07
China,Bangladesh,Undirected,1676,,,0.009999999776482582,1314239
China,Belgium,Undirected,1678,,,0.03999999910593033,5292191
China,Benin,Undirected,1680,,,0.009999999776482582,1005501
China,Brazil,Undirected,1685,,,0.05000000074505806,6712240
China,Canada,Undirected,1694,,,0.07999999821186066,1.01e+07
China,Chile,Undirected,1697,,,0.03999999910593033,4822770
China,ChinaHongKongSAR,Undirected,1698,,,0.36000001430511475,4.58e+07
China,ChinaMacaoSAR,Undirected,1699,,,0.009999999776482582,720147.3
China,Colombia,Undirected,1700,,,0.009999999776482582,1529492
China,CzechRepublic,Undirected,1708,,,0.009999999776482582,652053
China,Denmark,Undirected,1710,,,0.019999999552965164,2103249
China,Egypt,Undirected,1713,,,0.019999999552965164,3175268
China,Ethiopia,Undirected,1718,,,0.009999999776482582,818651.4
China,Finland,Undirected,1720,,,0.009999999776482582,1185844
China,France,Undirected,1721,,,0.07000000029802322,9276452
China,Germany,Undirected,1726,,,0.11999999731779099,1.51e+07
China,Ghana,Undirected,1727,,,0.009999999776482582,1463104
China,Greece,Undirected,1729,,,0.009999999776482582,1256322
China,Hungary,Undirected,1736,,,0.009999999776482582,913993.7
China,India,Undirected,1738,,,0.05999999865889549,7315194
China,Indonesia,Undirected,1739,,,0.029999999329447746,4373136
China,IranIslamicRepublic,Undirected,1740,,,0.019999999552965164,2928243
China,Iraq,Undirected,1741,,,0.019999999552965164,2223047
China,Ireland,Undirected,1742,,,0.009999999776482582,640024.4
China,Israel,Undirected,1743,,,0.019999999552965164,2787859
China,Italy,Undirected,1744,,,0.05000000074505806,6122454
China,Japan,Undirected,1746,,,0.20000000298023224,2.59e+07
China,Jordan,Undirected,1747,,,0.009999999776482582,1311004
China,Kazakhstan,Undirected,1748,,,0.029999999329447746,3274636
China,Kenya,Undirected,1749,,,0.019999999552965164,1988203
China,Kuwait,Undirected,1750,,,0.009999999776482582,1040321
China,Kyrgyzstan,Undirected,1751,,,0.019999999552965164,2401093
China,Lebanon,Undirected,1754,,,0.009999999776482582,664374.7
China,Libya,Undirected,1757,,,0.009999999776482582,839169.1
China,Malaysia,Undirected,1762,,,0.07999999821186066,1.07e+07
China,Mexico,Undirected,1768,,,0.05999999865889549,7995056
China,Morocco,Undirected,1771,,,0.009999999776482582,687478.3
China,Myanmar,Undirected,1773,,,0.009999999776482582,764533.3
China,Netherlands,Undirected,1777,,,0.10000000149011612,1.25e+07
China,NewZealand,Undirected,1779,,,0.009999999776482582,1621186
China,Nigeria,Undirected,1782,,,0.029999999329447746,3400383
China,Norway,Undirected,1783,,,0.009999999776482582,836545.1
China,Pakistan,Undirected,1785,,,0.019999999552965164,2309797
China,Panama,Undirected,1786,,,0.029999999329447746,3309482
China,Peru,Undirected,1789,,,0.009999999776482582,1418559
China,Philippines,Undirected,1790,,,0.05000000074505806,5897296
China,Poland,Undirected,1791,,,0.03999999910593033,4752374
China,Portugal,Undirected,1792,,,0.009999999776482582,795585.6
China,RussianFederation,Undirected,1796,,,0.10000000149011612,1.28e+07
China,SaudiArabia,Undirected,1802,,,0.05000000074505806,6831696
China,Singapore,Undirected,1807,,,0.05000000074505806,6181527
China,Slovakia,Undirected,1808,,,0.009999999776482582,1159328
China,SouthAfrica,Undirected,1811,,,0.03999999910593033,4648578
China,Spain,Undirected,1812,,,0.07000000029802322,8418401
China,Sudan,Undirected,1815,,,0.009999999776482582,776248.4
China,Sweden,Undirected,1818,,,0.019999999552965164,2712090
China,Tajikistan,Undirected,1821,,,0.009999999776482582,708995.2
China,TanzaniaUnitedRepublic,Undirected,1822,,,0.009999999776482582,1245207
China,Thailand,Undirected,1823,,,0.029999999329447746,3455349
China,Turkey,Undirected,1829,,,0.019999999552965164,2808977
China,Ukraine,Undirected,1832,,,0.009999999776482582,921328.5
China,UnitedArabEmirates,Undirected,1833,,,0.10000000149011612,1.25e+07
China,UnitedKingdom,Undirected,1834,,,0.20000000298023224,2.49e+07
China,UnitedStates,Undirected,1835,,,1.0,1.27e+08
China,Venezuela,Undirected,1839,,,0.009999999776482582,745033.8
China,VietNam,Undirected,1840,,,0.07000000029802322,8313329
CzechRepublic,Germany,Undirected,2177,,,0.019999999552965164,2826095
Denmark,Germany,Undirected,2311,,,0.009999999776482582,659022.4
Denmark,Norway,Undirected,2356,,,0.009999999776482582,1306482
DominicanRepublic,UnitedStates,Undirected,2477,,,0.009999999776482582,1155216
ElSalvador,UnitedStates,Undirected,2623,,,0.009999999776482582,1696467
France,Algeria,Undirected,2874,,,0.009999999776482582,968737.5
France,Cameroon,Undirected,2899,,,0.009999999776482582,1025665
France,Congo,Undirected,2910,,,0.009999999776482582,642403.7
France,Japan,Undirected,2944,,,0.019999999552965164,2284793
France,RussianFederation,Undirected,2981,,,0.009999999776482582,1183641
France,SaudiArabia,Undirected,2989,,,0.009999999776482582,1067094
France,Singapore,Undirected,2993,,,0.009999999776482582,976184.9
France,Switzerland,Undirected,3001,,,0.03999999910593033,5364468
France,UnitedArabEmirates,Undirected,3016,,,0.009999999776482582,1090542
France,UnitedKingdom,Undirected,3017,,,0.009999999776482582,1339687
France,UnitedStates,Undirected,3018,,,0.07000000029802322,8337444
Germany,Australia,Undirected,3071,,,0.009999999776482582,897096.4
Germany,Austria,Undirected,3072,,,0.029999999329447746,3985472
Germany,Brazil,Undirected,3083,,,0.009999999776482582,663252.2
Germany,Finland,Undirected,3112,,,0.009999999776482582,781849.1
Germany,France,Undirected,3113,,,0.03999999910593033,5619504
Germany,KoreaRepublicof,Undirected,3136,,,0.009999999776482582,1295119
Germany,Mexico,Undirected,3152,,,0.009999999776482582,828798.3
Germany,Norway,Undirected,3162,,,0.009999999776482582,804911.4
Germany,RussianFederation,Undirected,3169,,,0.019999999552965164,2456066
Germany,SaudiArabia,Undirected,3176,,,0.009999999776482582,911386
Germany,SouthAfrica,Undirected,3186,,,0.009999999776482582,695385
Germany,Spain,Undirected,3187,,,0.019999999552965164,2370135
Germany,Sweden,Undirected,3192,,,0.009999999776482582,1609248
Germany,Switzerland,Undirected,3193,,,0.019999999552965164,2030803
Germany,UnitedArabEmirates,Undirected,3205,,,0.009999999776482582,888755
Germany,UnitedKingdom,Undirected,3206,,,0.019999999552965164,3022658
Germany,UnitedStates,Undirected,3207,,,0.029999999329447746,3397886
Guatemala,UnitedStates,Undirected,3370,,,0.009999999776482582,1079042
Haiti,UnitedStates,Undirected,3405,,,0.009999999776482582,702443.4
Honduras,UnitedStates,Undirected,3450,,,0.009999999776482582,1398923
Hungary,Germany,Undirected,3488,,,0.009999999776482582,1293041
India,ChinaHongKongSAR,Undirected,3590,,,0.019999999552965164,2054343
India,France,Undirected,3611,,,0.009999999776482582,772240.9
India,Germany,Undirected,3615,,,0.009999999776482582,1089592
India,Spain,Undirected,3694,,,0.009999999776482582,1056310
India,UnitedArabEmirates,Undirected,3709,,,0.05000000074505806,6928507
India,UnitedKingdom,Undirected,3710,,,0.019999999552965164,3027168
India,UnitedStates,Undirected,3711,,,0.05000000074505806,6179856
Indonesia,Germany,Undirected,3768,,,0.009999999776482582,751610.3
Indonesia,Japan,Undirected,3784,,,0.009999999776482582,722088.5
Indonesia,UnitedStates,Undirected,3859,,,0.05000000074505806,6736183
Ireland,Belgium,Undirected,3911,,,0.009999999776482582,657201
Ireland,Japan,Undirected,3958,,,0.009999999776482582,699135.8
Ireland,Netherlands,Undirected,3976,,,0.019999999552965164,2424493
Ireland,UnitedStates,Undirected,4016,,,0.029999999329447746,4176153
Israel,UnitedStates,Undirected,4092,,,0.009999999776482582,637593.4
Italy,ChinaHongKongSAR,Undirected,4129,,,0.019999999552965164,2249352
Italy,France,Undirected,4154,,,0.03999999910593033,4866663
Italy,Germany,Undirected,4159,,,0.009999999776482582,1170910
Italy,Greece,Undirected,4162,,,0.009999999776482582,676289.1
Italy,Japan,Undirected,4175,,,0.019999999552965164,1950174
Italy,KoreaRepublicof,Undirected,4179,,,0.009999999776482582,1199166
Italy,RussianFederation,Undirected,4212,,,0.019999999552965164,2288266
Italy,SaudiArabia,Undirected,4216,,,0.009999999776482582,683752.2
