ifs,id,PPPGDP,PPPPC,region,income,landlocked,resource rich,ss,Latitude,Longtitude,
512,Afghanistan,62.00911997,1937.361201,South Asia,3,1,1,2,33.93911,67.709953,
914,Albania,32.65981598,11304.23266,Europe & Central Asia,2,2,1,2,41.153332,20.168331,
612,Algeria,580.7390511,14531.9183,Middle East & North Africa,2,2,1,2,28.033886,1.659626,
862,AmericanSamoa,1.001930076,5183.258927,East Asia & Pacific,3,2,2,1,-13.759029,-172.104629,
1116,Andorra,1,1,Europe & Central Asia,,1,,1,42.546245,1.601554,
614,Angola,184.8297467,6958.245337,Sub-Saharan Africa,2,2,1,2,-11.202692,17.873887,
1111,Anguilla,1,1,Latin America & Caribbean,,,,1,18.220554,-63.068615,
311,AntiguaandBarbuda,2.100828055,23523.42674,Latin America & Caribbean,2,2,2,1,17.060816,-61.796428,
213,Argentina,884.1549511,20498.83261,Latin America & Caribbean,2,2,2,2,-38.416097,-63.616672,
911,Armenia,25.39491748,8492.036256,Europe & Central Asia,2,1,2,2,40.069099,45.038189,
1117,Aruba,1,1,Latin America & Caribbean,,,,1,12.52111,-69.968338,
193,Australia,1140.619297,47644.36306,East Asia & Pacific,1,2,2,2,-25.274398,133.775136,
122,Austria,405.0596971,46986.20353,Europe & Central Asia,1,1,2,2,47.516231,14.550072,
912,Azerbaijan,169.7891721,18030.02055,Europe & Central Asia,2,1,1,2,40.143105,47.576927,
313,Bahamas,8.924823302,24505.35132,Latin America & Caribbean,2,2,2,1,25.03428,-77.39628,
419,Bahrain,64.16024715,49600.96974,Middle East & North Africa,2,2,1,2,25.930414,50.637772,
513,Bangladesh,580.0649035,3628.65402,South Asia,3,2,2,2,23.684994,90.356331,
316,Barbados,4.662761483,16669.53611,Latin America & Caribbean,2,2,2,1,13.193887,-59.543198,
913,Belarus,168.2679371,17714.83857,Europe & Central Asia,2,1,2,2,53.709807,27.953389,
124,Belgium,494.8528808,44147.87214,Europe & Central Asia,1,2,2,2,50.503887,4.469936,
339,Belize,3.048015799,8321.000586,Latin America & Caribbean,2,2,2,1,17.189877,-88.49765,
638,Benin,22.94121331,2112.560788,Sub-Saharan Africa,3,2,2,2,9.30769,2.315834,
1118,Bermuda,1,1,Latin America & Caribbean,,,,1,32.321384,-64.75737,
514,Bhutan,5.987300798,7689.973626,South Asia,3,1,2,1,27.514162,90.433601,
218,Bolivia,74.57612678,6953.676281,Latin America & Caribbean,3,1,1,2,-16.290154,-63.588653,
1119,SintBonaire,1,1,Latin America & Caribbean,,,,1,12.1784,-68.2385,
963,BosniaandHerzegovina,40.75548907,10549.70134,Europe & Central Asia,2,2,2,2,43.915886,17.679076,
616,Botswana,34.9441654,16415.23399,Sub-Saharan Africa,2,1,1,2,-22.328474,24.684866,
223,Brazil,3198.945578,15645.89669,Latin America & Caribbean,2,2,2,2,-14.235004,-51.92528,
1120,BritishVirginIslands,1,1,Latin America & Caribbean,,,,1,18.420695,-64.639968,
516,BruneiDarussalam,33.17057702,79507.61511,East Asia & Pacific,2,2,1,2,4.535277,114.727669,
918,Bulgaria,137.1328491,19169.27448,Europe & Central Asia,2,2,2,2,42.733883,25.48583,
748,BurkinaFaso,30.94792945,1727.486991,Sub-Saharan Africa,3,1,2,2,12.238333,-1.561593,
618,Burundi,7.830294312,831.0846275,Sub-Saharan Africa,3,1,2,2,-3.373056,29.918886,
624,CaboVerde,3.412657194,6502.473467,Sub-Saharan Africa,3,2,2,1,16.002082,-24.013197,
522,Cambodia,54.37336786,3498.262627,East Asia & Pacific,3,2,2,2,12.565679,104.990963,
622,Cameroon,72.74194475,3147.977662,Sub-Saharan Africa,3,2,1,2,7.369722,12.354722,
156,Canada,1633.700115,45601.68545,North America,1,2,2,2,56.130366,-106.346771,
1121,CaymanIslands,1,1,Latin America & Caribbean,,,,1,19.513469,-80.566956,
626,CentralAfricanRepublic,3.008624051,627.6386566,Sub-Saharan Africa,3,1,1,2,6.611111,20.939444,
628,Chad,30.53008307,2639.630574,Sub-Saharan Africa,3,1,1,2,15.454166,18.732207,
228,Chile,423.285076,23507.4702,Latin America & Caribbean,2,2,1,2,-35.675147,-71.542969,
924,China,19695.74172,14339.92364,East Asia & Pacific,2,2,2,2,35.86166,104.195397,
532,ChinaHongKongSAR,415.8657366,56878.48777,East Asia & Pacific,1,2,,2,22.396428,114.109497,
1113,ChinaMacaoSAR,1,1,East Asia & Pacific,1,2,,2,22.198745,113.543873,
528,ChinaTaiwanProvince,1100.198094,46832.73576,East Asia & Pacific,1,2,,2,23.69781,120.960515,
233,Colombia,666.9577046,13836.43559,Latin America & Caribbean,2,2,2,2,4.570868,-74.297333,
632,Comoros,1.216533537,1521.758667,Sub-Saharan Africa,3,2,2,1,-11.875001,43.872219,
634,Congo,29.36571156,6722.435875,Sub-Saharan Africa,3,2,1,2,-0.228021,15.827659,
1122,CookIslands,1,1,East Asia & Pacific,,,,1,-21.236736,-159.777671,
238,CostaRica,75.03995763,15469.18039,Latin America & Caribbean,2,2,2,2,9.748917,-83.753428,
960,Croatia,91.28143175,21625.30058,Europe & Central Asia,2,2,2,2,45.1,15.2,
1123,Cuba,1,1,Latin America & Caribbean,,,,2,21.521757,-77.781167,
1124,Curacao,1,1,Latin America & Caribbean,,,,,12.1696,-68.99,
423,Cyprus,28.10591175,33182.58122,Europe & Central Asia,1,2,2,2,35.126413,33.429859,
935,CzechRepublic,338.0267385,32076.0977,Europe & Central Asia,1,1,2,2,49.817492,15.472962,
662,CotedIvoire,79.63772729,3358.702607,Sub-Saharan Africa,3,2,1,2,7.539989,-5.54708,
636,DemRepoftheCongo,62.6883018,767.4880099,Sub-Saharan Africa,3,2,1,2,-4.038333,21.758664,
128,Denmark,258.7818047,45723.46923,Europe & Central Asia,1,2,2,2,56.26392,9.501785,
611,Djibouti,3.099854419,3210.294673,Middle East & North Africa,3,2,2,1,11.825138,42.590275,
321,Dominica,0.789634257,11162.64376,Latin America & Caribbean,3,2,2,1,15.414999,-61.370976,
243,DominicanRepublic,149.9311688,15022.79742,Latin America & Caribbean,2,2,2,2,18.735693,-70.162651,
248,Ecuador,184.2287884,11317.06824,Latin America & Caribbean,2,2,1,2,-1.831239,-78.183406,
469,Egypt,1050.448976,11802.79748,Middle East & North Africa,2,2,2,2,26.820553,30.802498,
253,ElSalvador,52.80855165,8619.604318,Latin America & Caribbean,2,2,2,2,13.794185,-88.89653,
642,EquatorialGuinea,34.79033183,43522.07962,Sub-Saharan Africa,2,2,1,2,1.650801,10.267895,
643,Eritrea,8.730280812,1299.878407,Sub-Saharan Africa,3,2,2,2,15.179384,39.782334,
939,Estonia,37.6251927,28649.98367,Europe & Central Asia,1,2,2,2,58.595272,25.013607,
644,Ethiopia,161.9625956,1804.389976,Sub-Saharan Africa,3,1,2,2,9.145,40.489673,
1125,FaeroeIslands,1,1,Europe & Central Asia,,,,1,61.892635,-6.911806,
1126,FalklandIslands,1,1,Latin America & Caribbean,,,,1,-51.796253,-59.523613,
819,Fiji,8.064275428,9052.01044,East Asia & Pacific,2,2,2,1,-16.578193,179.414413,
172,Finland,224.9382739,41108.99632,Europe & Central Asia,1,2,2,2,61.92411,25.748151,
132,France,2665.86286,41475.91053,Europe & Central Asia,1,2,2,2,46.227638,2.213749,
1127,FrenchPolynesia,1,1,East Asia & Pacific,,,,1,-17.679742,-149.406843,
646,Gabon,34.64561874,18676.94746,Sub-Saharan Africa,2,2,1,2,-0.803689,11.609444,
648,Gambia,3.267367637,1649.78847,Sub-Saharan Africa,3,2,2,2,13.443182,-15.310139,
915,Georgia,35.68221735,9590.962625,Europe & Central Asia,2,2,2,2,42.315407,43.356892,
134,Germany,3860.113761,46973.91702,Europe & Central Asia,1,2,2,2,51.165691,10.451526,
652,Ghana,115.3704866,4291.06368,Sub-Saharan Africa,3,2,1,2,7.946527,-1.023194,
1128,Gibraltar,1,1,Europe & Central Asia,,,,1,36.137741,-5.345374,
174,Greece,286.5571788,26391.29709,Europe & Central Asia,1,2,2,2,39.074208,21.824312,
1129,Greenland,1,1,Europe & Central Asia,,,,,71.706936,-42.604303,
328,Grenada,1.44825533,13571.7521,Latin America & Caribbean,3,2,2,1,12.262776,-61.604171,
1130,Guam,1,1,East Asia & Pacific,1,2,,,13.444304,144.793731,
258,Guatemala,126.2067392,7758.806952,Latin America & Caribbean,2,2,1,2,15.783471,-90.230759,
656,Guinea,15.28742306,1238.339346,Sub-Saharan Africa,3,2,1,2,9.945587,-9.696645,
654,GuineaBissau,2.684973556,1510.71082,Sub-Saharan Africa,3,2,2,2,11.803749,-15.180413,
336,Guyana,5.780975283,7537.125532,Latin America & Caribbean,3,2,1,1,4.860416,-58.93018,
263,Haiti,18.82355049,1757.40365,Latin America & Caribbean,3,2,2,2,18.971187,-72.285215,
1131,HolySee,1,1,Europe & Central Asia,,,,1,41.902916,12.453389,
268,Honduras,41.14403619,5091.126794,Latin America & Caribbean,3,2,2,2,15.199999,-86.241905,
944,Hungary,258.9694465,26275.30911,Europe & Central Asia,2,1,2,2,47.162494,19.503304,
176,Iceland,15.18522542,45665.86799,Europe & Central Asia,1,2,2,2,64.963051,-19.020835,
534,India,7998.274543,6187.231625,South Asia,2,2,2,2,20.593684,78.96288,
536,Indonesia,2848.026098,11148.54437,East Asia & Pacific,2,2,1,2,-0.789275,113.921327,
429,IranIslamicRepublic,1378.633334,17346.46926,Middle East & North Africa,2,2,1,2,32.427908,53.688046,
433,Iraq,533.9574302,15185.88512,Middle East & North Africa,2,2,1,2,33.223191,43.679291,
178,Ireland,305.0374359,65806.06547,Europe & Central Asia,1,2,2,2,53.41291,-8.24389,
