source,target,weight,flow
"Afghanistan","Algeria",0.000001,519.376
"Afghanistan","Australia",0.000008,4241.202
"Afghanistan","Austria",0.000038,19692.53
"Afghanistan","Azerbaijan",0.000040,20488.07
"Afghanistan","Bahrain",0.000002,913.207
"Afghanistan","Bangladesh",0.000015,7781.773
"Afghanistan","Belarus",0.000024,12081.88
"Afghanistan","Belgium",0.000055,28167.68
"Afghanistan","Brazil",0.000004,2144.811
"Afghanistan","BruneiDarussalam",0.000000,144.64
"Afghanistan","Bulgaria",0.000001,541.712
"Afghanistan","Cambodia",0.000000,44.309
"Afghanistan","Canada",0.000032,16388.29
"Afghanistan","Chile",0.000000,24.102
"Afghanistan","China",0.000104,53230.64
"Afghanistan","ChinaTaiwanProvince",0.000001,456.526
"Afghanistan","Colombia",0.000001,331.801
"Afghanistan","Croatia",0.000001,284.369
"Afghanistan","Cyprus",0.000000,140.27
"Afghanistan","CzechRepublic",0.000010,5333.42
"Afghanistan","Denmark",0.000026,13208.73
"Afghanistan","Ecuador",0.000000,218.229
"Afghanistan","Egypt",0.000015,7466.378
"Afghanistan","ElSalvador",0.000000,161.126
"Afghanistan","Finland",0.000032,16516.11
"Afghanistan","France",0.000063,32112.16
"Afghanistan","Gabon",0.000000,63.571
"Afghanistan","Georgia",0.000002,891.051
"Afghanistan","Germany",0.000311,159581.3
"Afghanistan","Greece",0.000003,1338.349
"Afghanistan","Guatemala",0.000001,293.78
"Afghanistan","Hungary",0.000006,2826.45
"Afghanistan","India",0.000455,233439.5
"Afghanistan","Indonesia",0.000013,6501.82
"Afghanistan","IranIslamicRepublic",0.000848,435594.4
"Afghanistan","Ireland",0.000012,6072.888
"Afghanistan","Israel",0.000005,2490.808
"Afghanistan","Italy",0.000058,29657.43
"Afghanistan","Japan",0.000156,80326.87
"Afghanistan","Jordan",0.000004,1873.935
"Afghanistan","Kazakhstan",0.000320,164148.7
"Afghanistan","Kenya",0.000069,35529.67
"Afghanistan","KoreaRepublicof",0.000116,59802.81
"Afghanistan","Kyrgyzstan",0.000023,11815.78
"Afghanistan","Lebanon",0.000002,968.114
"Afghanistan","Lithuania",0.000021,10737.37
"Afghanistan","Luxembourg",0.000001,614.371
"Afghanistan","Madagascar",0.000000,140.365
"Afghanistan","Malaysia",0.000011,5566.074
"Afghanistan","Malta",0.000001,468.726
"Afghanistan","Mexico",0.000001,763.045
"Afghanistan","Morocco",0.000000,122.424
"Afghanistan","Mozambique",0.000002,778.509
"Afghanistan","Netherlands",0.000181,92780.41
"Afghanistan","NewZealand",0.000003,1583.356
"Afghanistan","Norway",0.000005,2360.692
"Afghanistan","Pakistan",0.002228,1144384
"Afghanistan","Peru",0.000000,106.161
"Afghanistan","Philippines",0.000000,35.231
"Afghanistan","Poland",0.000012,6341.03
"Afghanistan","Portugal",0.000000,212.405
"Afghanistan","Qatar",0.000002,1038.247
"Afghanistan","Romania",0.000001,396.945
"Afghanistan","RussianFederation",0.000216,110973.7
"Afghanistan","SaudiArabia",0.000004,1943.55
"Afghanistan","Senegal",0.000000,186.069
"Afghanistan","Singapore",0.000013,6860.933
"Afghanistan","SouthAfrica",0.000017,8567.901
"Afghanistan","Spain",0.000021,10999.87
"Afghanistan","SriLanka",0.000004,2247.014
"Afghanistan","Sweden",0.000004,2176.035
"Afghanistan","Switzerland",0.000006,2960.732
"Afghanistan","TFYRofMacedonia",0.000000,30.224
"Afghanistan","Tajikistan",0.000031,15999.6
"Afghanistan","Thailand",0.000114,58499.07
"Afghanistan","TrinidadandTobago",0.000001,487.597
"Afghanistan","Tunisia",0.000004,2158.268
"Afghanistan","Turkey",0.000243,124666.2
"Afghanistan","Ukraine",0.000014,7348.167
"Afghanistan","UnitedArabEmirates",0.000187,95934.74
"Afghanistan","UnitedKingdom",0.000055,28043.04
"Afghanistan","UnitedStates",0.000681,349980.8
"Afghanistan","Uruguay",0.000000,27.529
"Afghanistan","Zimbabwe",0.000000,5.125
"Albania","Algeria",0.000000,191.212
"Albania","Armenia",0.000000,2.705
"Albania","Australia",0.000003,1424.398
"Albania","Austria",0.000102,52387.86
"Albania","Bahrain",0.000000,57.334
"Albania","Barbados",0.000000,11.251
"Albania","Belarus",0.000010,5117.207
"Albania","Belgium",0.000029,14652.69
"Albania","Bolivia",0.000000,41.542
"Albania","BosniaandHerzegovina",0.000008,4270.708
"Albania","Brazil",0.000064,32874.92
"Albania","Bulgaria",0.000129,66345.45
"Albania","Cambodia",0.000000,26.142
"Albania","Canada",0.000010,5356.053
"Albania","Chile",0.000000,1.628
"Albania","China",0.000172,88489.96
"Albania","ChinaHongKongSAR",0.000003,1372.942
"Albania","ChinaMacaoSAR",0.000000,11.114
"Albania","Colombia",0.000001,443.131
"Albania","CostaRica",0.000001,304.146
"Albania","Croatia",0.000043,22031.98
"Albania","Cyprus",0.000006,2959.462
"Albania","CzechRepublic",0.000049,25083.58
"Albania","Denmark",0.000010,5354.499
"Albania","Egypt",0.000018,9333.862
"Albania","Finland",0.000007,3662.657
"Albania","France",0.000055,28240.22
"Albania","Gabon",0.000001,562.777
"Albania","Georgia",0.000000,33.164
"Albania","Germany",0.000324,166216.6
"Albania","Ghana",0.000000,67.382
"Albania","Greece",0.000934,479905.8
"Albania","Guatemala",0.000000,240.765
"Albania","Honduras",0.000004,1982.286
"Albania","Hungary",0.000064,33083.31
"Albania","India",0.000010,5092.51
"Albania","Indonesia",0.000000,184.437
"Albania","IranIslamicRepublic",0.000008,4266.444
"Albania","Ireland",0.000015,7726.38
"Albania","Israel",0.000007,3474.272
"Albania","Italy",0.002393,1228852
"Albania","Japan",0.000002,1151.945
"Albania","Jordan",0.000001,281.55
"Albania","KoreaDemPeoples",0.000001,339.553
"Albania","KoreaRepublicof",0.000020,10472.11
"Albania","Lebanon",0.000003,1751.603
"Albania","Lithuania",0.000000,11.015
"Albania","Luxembourg",0.000003,1354.298
"Albania","Malaysia",0.000000,256.183
"Albania","Mali",0.000001,309.209
"Albania","Mexico",0.000001,568.256
"Albania","Netherlands",0.000054,27980.91
"Albania","NewZealand",0.000000,49.726
"Albania","Nicaragua",0.000000,47.775
"Albania","Norway",0.000002,1043.945
"Albania","Pakistan",0.000003,1377.705
