source,target,weight,flow
"Afghanistan","Algeria",0.00,501.606
"Afghanistan","Argentina",,
"Afghanistan","Australia",0.00,158.194
"Afghanistan","Austria",0.00,323.337
"Afghanistan","Bangladesh",0.00,6750.034
"Afghanistan","Brazil",0.00,1177.115
"Afghanistan","Canada",0.00,771.54
"Afghanistan","CzechRepublic",0.00,67.231
"Afghanistan","Egypt",0.00,1760.178
"Afghanistan","Finland",0.00,82.356
"Afghanistan","France",0.00,3209.383
"Afghanistan","Germany",0.00,15094.63
"Afghanistan","Guatemala",0.00,35.514
"Afghanistan","India",0.00,76264.93
"Afghanistan","Indonesia",0.00,1275.838
"Afghanistan","IranIslamicRepublic",0.00,68951.06
"Afghanistan","Ireland",0.00,1094.235
"Afghanistan","Italy",0.00,3120.262
"Afghanistan","Japan",0.00,134.641
"Afghanistan","Jordan",0.00,1348.674
"Afghanistan","Kazakhstan",0.00,28887.51
"Afghanistan","KoreaRepublicof",0.00,445.799
"Afghanistan","Mozambique",0.00,208.123
"Afghanistan","Netherlands",0.00,4901.692
"Afghanistan","Pakistan",0.01,260106.4
"Afghanistan","Poland",0.00,4130.606
"Afghanistan","RussianFederation",0.00,7280.909
"Afghanistan","SaudiArabia",0.00,753.855
"Afghanistan","Singapore",0.00,2320.025
"Afghanistan","SouthAfrica",0.00,22.927
"Afghanistan","Spain",0.00,1496.012
"Afghanistan","SriLanka",0.00,1199.157
"Afghanistan","Sweden",0.00,13.111
"Afghanistan","Thailand",0.00,299.002
"Afghanistan","Tunisia",0.00,105.684
"Afghanistan","Turkey",0.00,6821.007
"Afghanistan","Ukraine",0.00,1439.984
"Afghanistan","UnitedArabEmirates",0.00,20798.02
"Afghanistan","UnitedKingdom",0.00,2557.83
"Afghanistan","UnitedStates",0.00,30984.12
"Albania","Australia",0.00,626.967
"Albania","Austria",0.00,3264.757
"Albania","Barbados",0.00,7.976
"Albania","Belgium",0.00,4358.476
"Albania","BosniaandHerzegovina",0.00,164.487
"Albania","Brazil",0.00,30156.08
"Albania","Bulgaria",0.00,12068.17
"Albania","Canada",0.00,514.145
"Albania","China",0.00,16367.51
"Albania","CostaRica",0.00,203.308
"Albania","Croatia",0.00,242.96
"Albania","CzechRepublic",0.00,1057.351
"Albania","Denmark",0.00,470.459
"Albania","Egypt",0.00,3699.569
"Albania","France",0.00,1781.865
"Albania","Germany",0.00,17892.61
"Albania","Greece",0.00,60089.2
"Albania","Hungary",0.00,7815.171
"Albania","Italy",0.00,74652.7
"Albania","Netherlands",0.00,5833.109
"Albania","Poland",0.00,2868.418
"Albania","RepublicofMoldova",0.00,335.722
"Albania","Romania",0.00,1421.917
"Albania","RussianFederation",0.00,22910.3
"Albania","SaudiArabia",0.00,7.311
"Albania","SerbiaandMontenegro",0.00,11555.93
"Albania","Slovakia",0.00,1402.863
"Albania","Slovenia",0.00,1320.774
"Albania","Spain",0.00,3816.952
"Albania","Switzerland",0.00,350.203
"Albania","TFYRofMacedonia",0.00,5542.502
"Albania","Tunisia",0.00,3.965
"Albania","Turkey",0.00,32057.17
"Albania","Ukraine",0.00,5365.015
"Albania","UnitedKingdom",0.00,15.651
"Albania","UnitedStates",0.00,4970.966
"Albania","VietNam",0.00,2582.549
"Algeria","Belgium",0.01,155390.7
"Algeria","Brazil",0.01,231719.9
"Algeria","Canada",0.00,91548.23
"Algeria","CotedIvoire",0.00,40500.34
"Algeria","France",0.03,732199.4
"Algeria","Germany",0.00,74345.1
"Algeria","Ghana",0.00,772.943
"Algeria","Guinea",0.00,643.007
"Algeria","Italy",0.00,28259.96
"Algeria","Lebanon",0.00,123.506
"Algeria","Libya",0.00,4626.691
"Algeria","Malaysia",0.00,3916.344
"Algeria","Mali",0.00,12.427
"Algeria","Mauritania",0.00,232.459
"Algeria","Morocco",0.00,5149.618
"Algeria","Netherlands",0.00,96766.35
"Algeria","NewZealand",0.00,94714.55
"Algeria","Niger",0.00,648.379
"Algeria","Nigeria",0.00,280.242
"Algeria","Poland",0.00,74789.27
"Algeria","Portugal",0.00,10609.83
"Algeria","RussianFederation",0.00,72398.03
"Algeria","SaudiArabia",0.00,1370.241
"Algeria","Senegal",0.00,230.95
"Algeria","Spain",0.01,123131.4
"Algeria","Sweden",0.00,572.624
"Algeria","Switzerland",0.00,10698.43
"Algeria","SyrianArabRepublic",0.00,12233.6
"Algeria","Tunisia",0.00,27196.96
"Algeria","Turkey",0.00,70660.38
"Algeria","UnitedArabEmirates",0.00,3316.198
"Algeria","UnitedKingdom",0.00,25227
"Algeria","UnitedStates",0.01,171237.6
"AmericanSamoa","Australia",0.00,44722.4
"AmericanSamoa","Canada",0.00,153.888
"AmericanSamoa","ChinaTaiwanProvince",0.00,13237.91
"AmericanSamoa","Fiji",0.00,10318.63
"AmericanSamoa","France",0.00,336.578
"AmericanSamoa","Ghana",0.00,1974.401
"AmericanSamoa","Indonesia",0.00,410.806
"AmericanSamoa","Japan",0.00,32852.9
"AmericanSamoa","NewZealand",0.00,7200.081
