source,target,weight,flow
"Afghanistan","Austria",0.00,2.784
"Afghanistan","Azerbaijan",,
"Afghanistan","Belarus",0.00,7.962
"Afghanistan","Belgium",0.00,10429.22
"Afghanistan","Bulgaria",0.00,50.06
"Afghanistan","Canada",0.00,945.052
"Afghanistan","China",0.00,1855.298
"Afghanistan","Colombia",0.00,18.473
"Afghanistan","CzechRepublic",0.00,14.217
"Afghanistan","Denmark",0.00,4440.877
"Afghanistan","Ecuador",0.00,3.321
"Afghanistan","Egypt",0.00,109.125
"Afghanistan","France",0.00,921.148
"Afghanistan","Georgia",0.00,4.737
"Afghanistan","Germany",0.00,1403.357
"Afghanistan","India",0.00,15768.43
"Afghanistan","IranIslamicRepublic",0.00,18808.96
"Afghanistan","Ireland",0.00,37.295
"Afghanistan","Italy",0.00,2418.33
"Afghanistan","Japan",0.00,177.938
"Afghanistan","KoreaRepublicof",0.00,769.194
"Afghanistan","Kyrgyzstan",0.00,255.3
"Afghanistan","Netherlands",0.00,150.019
"Afghanistan","Pakistan",0.00,43608.36
"Afghanistan","Romania",0.00,20.054
"Afghanistan","RussianFederation",0.00,25357.76
"Afghanistan","SaudiArabia",0.00,33.371
"Afghanistan","Sweden",0.00,42.679
"Afghanistan","Thailand",0.00,15.88
"Afghanistan","Tunisia",0.00,25.941
"Afghanistan","Turkey",0.00,8714.131
"Afghanistan","Ukraine",0.00,30.006
"Afghanistan","UnitedArabEmirates",0.00,1208.498
"Afghanistan","UnitedKingdom",0.00,335.579
"Afghanistan","UnitedStates",0.00,326.753
"Albania","Algeria",0.00,133.834
"Albania","Austria",0.00,603.937
"Albania","BosniaandHerzegovina",0.00,2893.067
"Albania","Bulgaria",0.00,3474.055
"Albania","Canada",0.00,60.09
"Albania","China",0.00,5252.982
"Albania","Croatia",0.00,130.75
"Albania","CzechRepublic",0.00,250.597
"Albania","Denmark",0.00,5.058
"Albania","Egypt",0.00,778.55
"Albania","Finland",0.00,752.856
"Albania","France",0.00,2900.553
"Albania","Germany",0.00,5321.957
"Albania","Ghana",0.00,67.21
"Albania","Greece",0.00,14611.46
"Albania","Hungary",0.00,32.641
"Albania","IranIslamicRepublic",0.00,88.617
"Albania","Italy",0.00,37060.84
"Albania","Jordan",0.00,13.009
"Albania","Netherlands",0.00,1196.785
"Albania","Norway",0.00,168.56
"Albania","Poland",0.00,77.42
"Albania","Romania",0.00,309.389
"Albania","RussianFederation",0.00,6312.461
"Albania","SaudiArabia",0.00,3.757
"Albania","SerbiaandMontenegro",0.00,1245.913
"Albania","Slovenia",0.00,362.055
"Albania","Spain",0.00,338.918
"Albania","SriLanka",0.00,21.279
"Albania","Swaziland",0.00,18.423
"Albania","Sweden",0.00,4163.756
"Albania","Switzerland",0.00,350.729
"Albania","TFYRofMacedonia",0.00,4956.745
"Albania","Turkey",0.00,14972.22
"Albania","UnitedStates",0.00,2980.493
"Albania","VietNam",0.00,43.809
"Algeria","Bangladesh",0.00,1092.051
"Algeria","Belgium",0.00,8071.304
"Algeria","BosniaandHerzegovina",0.00,2716.229
"Algeria","Brazil",0.00,8105.091
"Algeria","Bulgaria",0.00,131.573
"Algeria","Cameroon",0.00,13.985
"Algeria","Canada",0.00,1828.899
"Algeria","China",0.00,20647.79
"Algeria","CzechRepublic",0.00,1048.705
"Algeria","Egypt",0.00,1767.383
"Algeria","France",0.00,86174.7
"Algeria","Germany",0.00,10023.52
"Algeria","Greece",0.00,8873.82
"Algeria","Hungary",0.00,5.101
"Algeria","India",0.00,13362.36
"Algeria","Indonesia",0.00,1203.928
"Algeria","Ireland",0.00,1911.503
"Algeria","Italy",0.00,17081.13
"Algeria","Jordan",0.00,2861.232
"Algeria","KoreaRepublicof",0.00,547.774
"Algeria","Lebanon",0.00,666.21
"Algeria","Libya",0.00,78.941
"Algeria","Malaysia",0.00,1805.451
"Algeria","Mali",0.00,19.934
"Algeria","Malta",0.00,263.646
"Algeria","Morocco",0.00,2005.245
"Algeria","Netherlands",0.00,7202.096
"Algeria","NewZealand",0.00,206.378
"Algeria","Niger",0.00,197.461
"Algeria","Pakistan",0.00,282.693
"Algeria","Portugal",0.00,1468.349
"Algeria","RussianFederation",0.00,19683.82
"Algeria","SaudiArabia",0.00,1770.413
"Algeria","SerbiaandMontenegro",0.00,1081.7
"Algeria","Slovenia",0.00,1823.443
"Algeria","SouthAfrica",0.00,625.686
"Algeria","Spain",0.00,38072.23
"Algeria","Switzerland",0.00,3111.85
"Algeria","Tunisia",0.00,3233.969
"Algeria","Turkey",0.00,65789.77
"Algeria","UnitedArabEmirates",0.00,1578.918
"Algeria","UnitedKingdom",0.00,2430.915
"Algeria","UnitedStates",0.00,16813.48
"AmericanSamoa","Australia",0.00,217.373
"AmericanSamoa","Bangladesh",0.00,5159.436
"AmericanSamoa","Canada",0.00,787.726
"AmericanSamoa","ChinaTaiwanProvince",0.00,333.252
"AmericanSamoa","Fiji",0.00,80.01801
"AmericanSamoa","Ghana",0.00,131.094
"AmericanSamoa","India",0.00,4485.623
"AmericanSamoa","Kenya",0.00,944.109
"AmericanSamoa","Netherlands",0.00,1605.345
"AmericanSamoa","NewZealand",0.00,22774.43
"AmericanSamoa","Samoa",0.00,13.672
"AmericanSamoa","Thailand",0.00,2568.957
"Andorra","France",0.00,1439.563
"Andorra","Portugal",0.00,8.297
"Andorra","Spain",0.00,14506.54
"Angola","Australia",0.00,853.783
"Angola","Belgium",0.00,4837.065
"Angola","Brazil",0.00,1456.023
"Angola","China",0.00,525.44
"Angola","CzechRepublic",0.00,139.369
"Angola","France",0.00,1671.063
"Angola","Gabon",0.00,13.241
"Angola","Germany",0.00,4425.631
"Angola","Ghana",0.00,4405.553
"Angola","India",0.00,4011.869
"Angola","Italy",0.00,17377.01
"Angola","Japan",0.00,1200.645
"Angola","KoreaRepublicof",0.00,634.783
"Angola","Lebanon",0.00,32.482
"Angola","Malawi",0.00,2.783
"Angola","Morocco",0.00,972.866
"Angola","Namibia",0.00,1631.631
"Angola","Netherlands",0.00,5955.833
"Angola","Poland",0.00,694.261
"Angola","Portugal",0.00,4685.01
"Angola","SaoTomeandPricipe",0.00,.296
"Angola","Singapore",0.00,506.134
"Angola","SouthAfrica",0.00,4869.297
"Angola","Spain",0.00,9813.356
"Angola","Turkey",0.00,529.436
"Angola","UnitedArabEmirates",0.00,895.548
"Angola","UnitedKingdom",0.00,349.756
"Angola","UnitedStates",0.00,9384.967
"Angola","Zambia",0.00,11.054
"Anguilla","Chile",0.00,215.578
"Anguilla","Germany",0.00,85.014
"Anguilla","Ukraine",0.00,29.695
"Anguilla","UnitedKingdom",0.00,2.507
"Anguilla","UnitedStates",0.00,1349.523
"AntiguaandBarbuda","Barbados",0.00,10.43
"AntiguaandBarbuda","BritishVirginIslands",0.00,1.353
"AntiguaandBarbuda","Dominica",0.00,16.776
"AntiguaandBarbuda","Germany",0.00,7.179
"AntiguaandBarbuda","Ghana",0.00,111.302
"AntiguaandBarbuda","Guyana",0.00,668.543
"AntiguaandBarbuda","Honduras",0.00,1323.995
"AntiguaandBarbuda","Italy",0.00,12.547
"AntiguaandBarbuda","Mexico",0.00,.044
"AntiguaandBarbuda","Montserrat",0.00,41.397
"AntiguaandBarbuda","NetherlandsAntilles",0.00,2.03
"AntiguaandBarbuda","SaintKittsandNevis",0.00,7.793
"AntiguaandBarbuda","Switzerland",0.00,1.54
"AntiguaandBarbuda","Thailand",0.00,31.465
"AntiguaandBarbuda","TrinidadandTobago",0.00,58.609
"AntiguaandBarbuda","UnitedKingdom",0.00,402.485
"AntiguaandBarbuda","UnitedStates",0.00,4761.588
"Argentina","Australia",0.00,12334.76
"Argentina","Austria",0.00,239.674
"Argentina","Belgium",0.00,14509.72
"Argentina","Bolivia",0.00,29377.09
"Argentina","Brazil",0.04,731609.6
"Argentina","Bulgaria",0.00,75625.59
"Argentina","Canada",0.00,30048.64
"Argentina","Chile",0.01,129932.6
"Argentina","China",0.10,1885480
"Argentina","ChinaHongKongSAR",0.00,1700.201
"Argentina","ChinaTaiwanProvince",0.00,36720
"Argentina","Colombia",0.00,21057.74
"Argentina","Congo",0.00,4740.901
"Argentina","CostaRica",0.00,1091.934
"Argentina","Cuba",0.00,318.606
"Argentina","CzechRepublic",0.00,1714.802
"Argentina","Denmark",0.00,2102.609
"Argentina","DominicanRepublic",0.00,7714.722
"Argentina","Ecuador",0.00,1979.048
"Argentina","Egypt",0.00,75283.13
"Argentina","Finland",0.00,46976.54
"Argentina","France",0.00,43221.47
"Argentina","Germany",0.01,257072.2
"Argentina","Ghana",0.00,4062.657
"Argentina","Greece",0.00,11539.39
"Argentina","Guatemala",0.00,334.003
"Argentina","Honduras",0.00,134.078
"Argentina","Hungary",0.00,147.644
"Argentina","India",0.00,60485.1
"Argentina","Indonesia",0.00,68437.01
"Argentina","Ireland",0.00,697.129
"Argentina","Israel",0.00,13539
"Argentina","Italy",0.00,52048.01
"Argentina","Japan",0.00,62872.32
"Argentina","KoreaRepublicof",0.00,52297.89
"Argentina","Kuwait",0.00,1734.539
"Argentina","Lebanon",0.00,468.351
"Argentina","Malaysia",0.00,43954.96
"Argentina","Mexico",0.00,37291.83
"Argentina","Morocco",0.00,441.779
"Argentina","Netherlands",0.00,48199.43
"Argentina","NewZealand",0.00,1797.193
"Argentina","Nigeria",0.00,91.458
"Argentina","Norway",0.00,364.425
"Argentina","Pakistan",0.00,159.929
"Argentina","Paraguay",0.01,193826.9
"Argentina","Peru",0.00,20324.39
"Argentina","Philippines",0.00,61350.07
"Argentina","Poland",0.00,16082.42
"Argentina","Portugal",0.00,10948.04
"Argentina","Romania",0.00,651.955
"Argentina","RussianFederation",0.00,5601.859
"Argentina","SaudiArabia",0.00,829.637
"Argentina","Singapore",0.00,2974.636
"Argentina","Slovenia",0.00,35.701
"Argentina","SouthAfrica",0.00,31577.18
"Argentina","Spain",0.00,98250.91
"Argentina","Sweden",0.00,334.923
"Argentina","Switzerland",0.00,1207.849
"Argentina","Thailand",0.01,132619.5
"Argentina","TrinidadandTobago",0.00,2409.209
"Argentina","Turkey",0.00,63359.47
"Argentina","Ukraine",0.00,499.905
"Argentina","UnitedArabEmirates",0.00,58764
"Argentina","UnitedKingdom",0.00,16393.46
"Argentina","UnitedStates",0.01,202194.2
"Argentina","Uruguay",0.00,28881.27
"Argentina","Venezuela",0.00,4178.853
"Argentina","VietNam",0.00,4363.743
"Armenia","Austria",0.00,1527.694
"Armenia","Belgium",0.00,1706.013
"Armenia","BritishVirginIslands",0.00,12932.86
"Armenia","Bulgaria",0.00,423.757
"Armenia","CzechRepublic",0.00,135.53
"Armenia","Denmark",0.00,2.097
"Armenia","Finland",0.00,2979.086
"Armenia","France",0.00,74.607
"Armenia","Georgia",0.00,1950.173
"Armenia","Germany",0.00,5006.808
"Armenia","Greece",0.00,48.776
