source,target,weight,flow
"Afghanistan","Azerbaijan",,
"Afghanistan","CzechRepublic",0.00,380.433
"Afghanistan","Germany",0.00,6954.825
"Afghanistan","Kenya",0.00,166.94
"Afghanistan","Kyrgyzstan",0.00,6055.994
"Afghanistan","Pakistan",0.00,254571.5
"Afghanistan","Turkey",0.00,692.1299
"Afghanistan","UnitedStates",0.00,31977.88
"Albania","BosniaandHerzegovina",0.00,34.45
"Albania","Bulgaria",0.00,6012.339
"Albania","Croatia",0.00,6057.208
"Albania","France",0.00,1067.004
"Albania","Germany",0.00,1308.834
"Albania","Greece",0.00,64230.74
"Albania","Italy",0.00,21269.14
"Albania","SerbiaandMontenegro",0.00,2074.565
"Albania","Switzerland",0.00,256.316
"Albania","TFYRofMacedonia",0.00,863.709
"Albania","UnitedStates",0.00,17450.57
"Algeria","Australia",0.00,78926.59
"Algeria","Belgium",0.02,1554595
"Algeria","Brazil",0.04,2917981
"Algeria","Canada",0.03,2258481
"Algeria","China",0.00,273369.4
"Algeria","Denmark",0.00,22297.4
"Algeria","Egypt",0.01,557011.8
"Algeria","Finland",0.00,34168.15
"Algeria","France",0.06,4486598
"Algeria","Germany",0.02,1250138
"Algeria","Greece",0.00,97738.87
"Algeria","India",0.00,123208.3
"Algeria","Italy",0.10,7515895
"Algeria","Lebanon",0.00,11969.07
"Algeria","Morocco",0.00,227323.7
"Algeria","Netherlands",0.04,3002067
"Algeria","Portugal",0.02,1652974
"Algeria","Slovenia",0.00,31801.46
"Algeria","SouthAfrica",0.00,21645.27
"Algeria","Spain",0.06,5016035
"Algeria","Switzerland",0.00,228347
"Algeria","SyrianArabRepublic",0.00,36664.01
"Algeria","Thailand",0.00,151700.1
"Algeria","Tunisia",0.00,75923.86
"Algeria","Turkey",0.02,1662740
"Algeria","UnitedKingdom",0.01,684252.6
"Algeria","UnitedStates",0.14,1.06e+07
"Algeria","Venezuela",0.00,3827.32
"AmericanSamoa","Australia",0.00,4026.758
"AmericanSamoa","Fiji",0.00,267.222
"Andorra","Spain",0.00,75003.27
"Angola","Canada",0.00,299340.3
"Angola","China",0.09,7171915
"Angola","France",0.02,1923363
"Angola","Gabon",0.00,21.505
"Angola","Germany",0.00,77758.34
"Angola","Italy",0.00,76086.38
"Angola","Netherlands",0.00,94362.93
"Angola","Norway",0.00,262.768
"Angola","Portugal",0.00,42562.85
"Angola","SouthAfrica",0.00,328340.8
"Angola","Spain",0.01,706457.8
"Angola","Turkey",0.00,9463.616
"Angola","UnitedKingdom",0.00,13915.5
"Angola","UnitedStates",0.12,9575721
"Anguilla","UnitedStates",0.00,1942.634
"AntiguaandBarbuda","Bahamas",0.00,1897.792
"AntiguaandBarbuda","Barbados",0.00,112.249
"AntiguaandBarbuda","BritishVirginIslands",0.00,416.977
"AntiguaandBarbuda","Greece",0.00,2280.654
"AntiguaandBarbuda","Mexico",0.00,469.429
"AntiguaandBarbuda","Montserrat",0.00,195.522
"AntiguaandBarbuda","Netherlands",0.00,626.308
"AntiguaandBarbuda","NetherlandsAntilles",0.00,4527.551
"AntiguaandBarbuda","SaintLucia",0.00,91.427
"AntiguaandBarbuda","SaintVincentandGrenadines",0.00,1.406
"AntiguaandBarbuda","TrinidadandTobago",0.00,21423.15
"AntiguaandBarbuda","UnitedKingdom",0.00,407.332
"AntiguaandBarbuda","UnitedStates",0.00,57923.9
"AntiguaandBarbuda","Venezuela",0.00,233.643
"Argentina","Armenia",0.00,17.55
"Argentina","Belgium",0.00,5157.298
"Argentina","Bolivia",0.00,375711.1
"Argentina","Brazil",0.02,1184835
"Argentina","Canada",0.00,26216.39
"Argentina","Chile",0.03,2385118
"Argentina","China",0.00,239972
"Argentina","ChinaTaiwanProvince",0.00,122.828
"Argentina","Colombia",0.00,12581.93
"Argentina","Denmark",0.00,15.662
"Argentina","Ecuador",0.00,39012.31
"Argentina","ElSalvador",0.00,26276.58
