source,target,weight,flow
"Afghanistan","Argentina",,
"Afghanistan","Austria",0.00,332.505
"Afghanistan","Bangladesh",0.00,37.879
"Afghanistan","Canada",0.00,1732.042
"Afghanistan","China",0.00,3547.331
"Afghanistan","CzechRepublic",0.00,14.958
"Afghanistan","Egypt",0.00,1671.502
"Afghanistan","France",0.00,3374.63
"Afghanistan","Germany",0.00,8507.043
"Afghanistan","India",0.00,33769.26
"Afghanistan","Indonesia",0.00,606.869
"Afghanistan","IranIslamicRepublic",0.00,83371.11
"Afghanistan","Ireland",0.00,198.38
"Afghanistan","KoreaRepublicof",0.00,1887.229
"Afghanistan","Malaysia",0.00,426.5
"Afghanistan","Norway",0.00,5.743
"Afghanistan","Pakistan",0.00,84368.68
"Afghanistan","Poland",0.00,179.532
"Afghanistan","Romania",0.00,.8660001
"Afghanistan","SouthAfrica",0.00,428.3
"Afghanistan","Spain",0.00,563.063
"Afghanistan","SriLanka",0.00,20.858
"Afghanistan","Thailand",0.00,767.222
"Afghanistan","Tunisia",0.00,89.238
"Afghanistan","Turkey",0.00,9656.697
"Afghanistan","UnitedStates",0.00,5427.842
"Albania","Australia",0.00,356.652
"Albania","Austria",0.00,6681.321
"Albania","Belgium",0.00,3079.225
"Albania","Bolivia",0.00,4.684
"Albania","Brazil",0.00,2.827
"Albania","Bulgaria",0.00,4512.789
"Albania","Canada",0.00,157.094
"Albania","China",0.00,1090.453
"Albania","Colombia",0.00,63.963
"Albania","Croatia",0.00,2312.748
"Albania","Cyprus",0.00,2396.786
"Albania","CzechRepublic",0.00,7367.306
"Albania","Denmark",0.00,618.7159
"Albania","Egypt",0.00,1553.806
"Albania","France",0.00,6064.461
"Albania","Germany",0.00,14831.59
"Albania","Greece",0.00,39786.55
"Albania","Honduras",0.00,118.519
"Albania","Hungary",0.00,1865.104
"Albania","India",0.00,2631.609
"Albania","Ireland",0.00,3785.313
"Albania","Italy",0.00,50581.06
"Albania","Jordan",0.00,226.23
"Albania","KoreaRepublicof",0.00,116.858
"Albania","Netherlands",0.00,1260.358
"Albania","Poland",0.00,314.633
"Albania","Romania",0.00,2619.926
"Albania","SaudiArabia",0.00,222.56
"Albania","Senegal",0.00,25.359
"Albania","SerbiaandMontenegro",0.00,3067.287
"Albania","Slovenia",0.00,9221.562
"Albania","SouthAfrica",0.00,5.07
"Albania","Spain",0.00,859.063
"Albania","TFYRofMacedonia",0.00,5620.799
"Albania","Thailand",0.00,6.332
"Albania","Turkey",0.00,14923.29
"Albania","UnitedKingdom",0.00,1118.381
"Albania","UnitedStates",0.00,1130.844
"Algeria","Belgium",0.00,177001.4
"Algeria","CaboVerde",0.00,131.798
"Algeria","Canada",0.00,5718.647
"Algeria","China",0.00,53467.18
"Algeria","Cuba",0.00,8144.219
"Algeria","Egypt",0.00,6144.061
"Algeria","France",0.02,1009036
"Algeria","Germany",0.00,91786.81
"Algeria","Greece",0.00,8906.488
"Algeria","Italy",0.00,124102.6
"Algeria","Jordan",0.00,63338.76
"Algeria","KoreaDemPeoples",0.00,988.801
"Algeria","KoreaRepublicof",0.00,21579.88
"Algeria","Kuwait",0.00,7269.94
"Algeria","Lebanon",0.00,3623.328
"Algeria","Libya",0.00,3728.607
"Algeria","Malta",0.00,2964.97
"Algeria","Morocco",0.00,62494.26
"Algeria","Netherlands",0.00,65834.55
"Algeria","Niger",0.00,3.955
"Algeria","Norway",0.00,151.323
"Algeria","Portugal",0.00,13352.52
"Algeria","SaudiArabia",0.00,56908.81
"Algeria","Senegal",0.00,1331.383
"Algeria","Slovakia",0.00,429.557
"Algeria","SouthAfrica",0.00,3773.795
"Algeria","Spain",0.01,243153.2
"Algeria","Sweden",0.00,7064.974
"Algeria","Switzerland",0.00,26365.79
