source,target,weight,flow
"Afghanistan","Australia",0.000001,72.228
"Afghanistan","Austria",0.000010,761.123
"Afghanistan","Bahrain",0.000009,706.774
"Afghanistan","Bangladesh",0.000001,50.181
"Afghanistan","Belgium",0.000017,1290.17
"Afghanistan","Brazil",0.000001,91.5
"Afghanistan","BruneiDarussalam",0.000000,36.316
"Afghanistan","Bulgaria",0.000000,5.553
"Afghanistan","Canada",0.000011,853.561
"Afghanistan","China",0.000205,15313.14
"Afghanistan","Croatia",0.000001,87.942
"Afghanistan","CzechRepublic",0.000001,99.918
"Afghanistan","Denmark",0.000004,304.609
"Afghanistan","Egypt",0.000020,1501.107
"Afghanistan","Finland",0.000001,63.303
"Afghanistan","France",0.000054,4059.92
"Afghanistan","Germany",0.000149,11149.36
"Afghanistan","Greece",0.000001,87.276
"Afghanistan","Hungary",0.000006,474.942
"Afghanistan","India",0.000773,57761.12
"Afghanistan","Indonesia",0.000039,2896.41
"Afghanistan","IranIslamicRepublic",0.001919,143431.3
"Afghanistan","Ireland",0.000001,111.348
"Afghanistan","Italy",0.000036,2726.586
"Afghanistan","Japan",0.000554,41390.82
"Afghanistan","KoreaRepublicof",0.000609,45530.66
"Afghanistan","Kyrgyzstan",0.000020,1530.148
"Afghanistan","Lebanon",0.000001,66.988
"Afghanistan","Malaysia",0.000028,2093.161
"Afghanistan","Mexico",0.000005,364.352
"Afghanistan","Morocco",0.000001,77.751
"Afghanistan","Netherlands",0.000004,277.581
"Afghanistan","NewZealand",0.000017,1289.69
"Afghanistan","Norway",0.000015,1098.199
"Afghanistan","Pakistan",0.002813,210203.3
"Afghanistan","Poland",0.000013,984.83
"Afghanistan","Portugal",0.000002,124.865
"Afghanistan","Romania",0.000000,36.216
"Afghanistan","RussianFederation",0.000283,21169.13
"Afghanistan","SaudiArabia",0.000004,326.371
"Afghanistan","Singapore",0.000003,220.941
"Afghanistan","SouthAfrica",0.000004,335.265
"Afghanistan","Spain",0.000015,1108.574
"Afghanistan","SriLanka",0.000006,455.685
"Afghanistan","Sweden",0.000006,452.478
"Afghanistan","Switzerland",0.000004,332.526
"Afghanistan","Thailand",0.000007,500.971
"Afghanistan","Tunisia",0.000008,606.317
"Afghanistan","Turkey",0.000486,36351.98
"Afghanistan","UnitedArabEmirates",0.000136,10174.36
"Afghanistan","UnitedKingdom",0.000089,6647.028
"Afghanistan","UnitedStates",0.000179,13380.21
"Albania","Austria",0.000094,6991.267
"Albania","Belgium",0.000028,2076.221
"Albania","BosniaandHerzegovina",0.000007,494.795
"Albania","Brazil",0.000001,39.06
"Albania","Bulgaria",0.000239,17825.65
"Albania","Canada",0.000002,169.15
"Albania","Croatia",0.000070,5213.603
"Albania","CzechRepublic",0.000046,3421.027
"Albania","Denmark",0.000016,1158.568
"Albania","Egypt",0.000030,2210.665
"Albania","France",0.000028,2089.54
"Albania","Gabon",0.000006,425.737
"Albania","Germany",0.000183,13690.3
"Albania","Greece",0.001909,142653.4
"Albania","Guatemala",0.000000,17.311
"Albania","India",0.000011,824.304
"Albania","IranIslamicRepublic",0.000007,531.229
"Albania","Ireland",0.000000,9.255
"Albania","Israel",0.000001,112.069
"Albania","Italy",0.004197,313590.5
"Albania","Lebanon",0.000021,1591.754
"Albania","Malaysia",0.000000,26.566
"Albania","Mali",0.000000,14.255
"Albania","Netherlands",0.000006,453.909
"Albania","Pakistan",0.000013,946.858
"Albania","Poland",0.000005,348.547
"Albania","Romania",0.000029,2186.362
"Albania","RussianFederation",0.000013,1006.312
"Albania","SerbiaandMontenegro",0.000089,6622.53
"Albania","Slovakia",0.000001,60.553
"Albania","Slovenia",0.000070,5212.37
"Albania","SouthAfrica",0.000000,17.448
"Albania","Spain",0.000394,29470.57
"Albania","Swaziland",0.000002,128.188
"Albania","Sweden",0.000001,95.091
"Albania","Switzerland",0.000014,1032.453
"Albania","TFYRofMacedonia",0.000175,13082.74
"Albania","Tunisia",0.000012,877.95
"Albania","Turkey",0.001359,101520.1
"Albania","UnitedKingdom",0.000100,7454.167
"Albania","UnitedStates",0.000028,2092.43
"Algeria","Argentina",0.000339,25323.42
"Algeria","Belgium",0.001068,79794.52
"Algeria","Brazil",0.000525,39227.74
"Algeria","BurkinaFaso",0.000001,67.715
"Algeria","Cameroon",0.000001,44.96
"Algeria","Canada",0.000137,10233.25
"Algeria","China",0.004981,372174.7
"Algeria","ChinaTaiwanProvince",0.000133,9916.78
"Algeria","Cyprus",0.000001,46.314
"Algeria","Denmark",0.000010,710.69
"Algeria","Egypt",0.000450,33617.41
"Algeria","Finland",0.000071,5282.767
"Algeria","France",0.005501,411051.2
"Algeria","Germany",0.001988,148549.2
"Algeria","Greece",0.000252,18861.86
"Algeria","Hungary",0.000019,1430.246
"Algeria","India",0.000480,35870.74
"Algeria","Indonesia",0.000496,37037.1
"Algeria","Italy",0.005956,445062.4
"Algeria","Japan",0.000792,59174.73
"Algeria","Jordan",0.000047,3548.41
"Algeria","Kenya",0.000001,51.636
"Algeria","Lebanon",0.000026,1961.16
"Algeria","Libya",0.000054,4042.064
"Algeria","Malaysia",0.000162,12131.16
"Algeria","Mali",0.000002,146.272
"Algeria","Morocco",0.000631,47159.71
"Algeria","Netherlands",0.000426,31799.37
"Algeria","Nigeria",0.000022,1616.562
"Algeria","Norway",0.000001,46.652
"Algeria","Pakistan",0.000165,12341.89
"Algeria","Poland",0.000296,22120.82
"Algeria","Portugal",0.000350,26156.56
"Algeria","SaudiArabia",0.000047,3517.778
"Algeria","Senegal",0.000000,30.225
"Algeria","Singapore",0.000003,241.484
"Algeria","SouthAfrica",0.000115,8590.271
"Algeria","Spain",0.003299,246529.7
"Algeria","Sudan2011",0.000004,309.552
"Algeria","Switzerland",0.000056,4205.134
"Algeria","SyrianArabRepublic",0.000165,12357.81
"Algeria","Tunisia",0.001104,82474.79
"Algeria","Turkey",0.004066,303811.6
"Algeria","UnitedArabEmirates",0.000297,22164.23
"Algeria","UnitedKingdom",0.000582,43482.55
"Algeria","UnitedStates",0.000865,64645.85
"AmericanSamoa","Australia",0.000046,3437.529
"AmericanSamoa","Canada",0.000050,3758.659
"AmericanSamoa","ChinaTaiwanProvince",0.000033,2481.557
"AmericanSamoa","France",0.000045,3352.084
"AmericanSamoa","Germany",0.000012,926.928
"AmericanSamoa","Ghana",0.000002,156.246
"AmericanSamoa","India",0.000015,1091.91
"AmericanSamoa","Indonesia",0.000027,2012.626
"AmericanSamoa","Kenya",0.000001,101.326
"AmericanSamoa","KoreaRepublicof",0.000012,867.787
"AmericanSamoa","NewZealand",0.000122,9123.092
"AmericanSamoa","Pakistan",0.000009,700.438
"AmericanSamoa","Samoa",0.000016,1208.71
"AmericanSamoa","Thailand",0.000004,276.847
"AmericanSamoa","Turkey",0.000005,355.58
"AmericanSamoa","UnitedKingdom",0.000003,193.159
"Andorra","China",0.000006,473.684
"Andorra","France",0.000321,23995.54
"Andorra","Germany",0.000028,2062.567
"Andorra","IranIslamicRepublic",0.000002,127.917
"Andorra","Italy",0.000042,3167.931
"Andorra","Morocco",0.000010,750.895
"Andorra","Portugal",0.000044,3269.504
"Andorra","Spain",0.002036,152150.3
"Andorra","UnitedArabEmirates",0.000000,12.958
"Andorra","UnitedKingdom",0.000007,493.931
"Andorra","UnitedStates",0.000012,859.523
"Angola","Australia",0.000001,99.832
"Angola","Austria",0.000002,139.631
"Angola","Belgium",0.007804,583148.5
"Angola","Botswana",0.000005,353.988
"Angola","Canada",0.000009,708.921
"Angola","China",0.001248,93273.4
"Angola","ChinaHongKongSAR",0.001309,97785.91
"Angola","CotedIvoire",0.000024,1827.561
"Angola","Ecuador",0.000001,41.247
"Angola","France",0.001719,128468.4
"Angola","Gabon",0.000006,436.386
"Angola","Germany",0.000495,37000.08
"Angola","Italy",0.000634,47406.17
"Angola","Japan",0.000381,28492.97
"Angola","KoreaRepublicof",0.000334,24964.6
"Angola","Malawi",0.000000,2.169
"Angola","Mexico",0.000413,30882.14
"Angola","Morocco",0.000005,373.836
"Angola","Mozambique",0.000001,58.378
"Angola","Namibia",0.000413,30859.79
"Angola","Netherlands",0.000173,12943.36
"Angola","Norway",0.000434,32402.03
"Angola","Poland",0.000002,185.963
"Angola","Portugal",0.002619,195691.7
"Angola","Romania",0.000002,118.634
"Angola","Singapore",0.000024,1807.154
"Angola","Slovenia",0.000001,52.028
"Angola","SouthAfrica",0.001857,138733.5
"Angola","Spain",0.000277,20698.34
"Angola","Sweden",0.000053,3984.407
"Angola","Switzerland",0.000007,503.924
"Angola","Thailand",0.000082,6130.338
"Angola","Tunisia",0.000002,131.237
"Angola","Turkey",0.000084,6302.188
"Angola","UnitedArabEmirates",0.000497,37147.94
"Angola","UnitedKingdom",0.000995,74369.41
"Angola","UnitedStates",0.001560,116550.8
"Angola","Zambia",0.000001,93.622
"Anguilla","AntiguaandBarbuda",0.000003,188.432
"Anguilla","Barbados",0.000017,1287.477
"Anguilla","Canada",0.000004,289.874
"Anguilla","Chile",0.000007,544.661
"Anguilla","France",0.000001,73.837
"Anguilla","Germany",0.000025,1842.594
"Anguilla","Guyana",0.000000,8.198999
"Anguilla","Indonesia",0.000001,60.045
"Anguilla","Jamaica",0.000004,261.562
"Anguilla","Kenya",0.000000,3.382
"Anguilla","Mexico",0.000002,180.873
"Anguilla","Montserrat",0.000002,117.186
"Anguilla","SaintKittsandNevis",0.000000,12.486
"Anguilla","SaintLucia",0.000000,27.96
"Anguilla","SaintVincentandGrenadines",0.000000,.712
"Anguilla","Spain",0.000002,122.913
"Anguilla","TrinidadandTobago",0.000003,237.137
"Anguilla","UnitedKingdom",0.000002,169.781
"Anguilla","UnitedStates",0.000053,3954.299
"AntiguaandBarbuda","Aruba",0.000000,2.994
"AntiguaandBarbuda","Australia",0.000000,2.771
"AntiguaandBarbuda","Austria",0.000000,9.569
"AntiguaandBarbuda","Bahamas",0.000000,12.081
"AntiguaandBarbuda","Barbados",0.000016,1158.635
"AntiguaandBarbuda","Belize",0.000002,124.56
"AntiguaandBarbuda","BritishVirginIslands",0.000000,21.757
"AntiguaandBarbuda","Canada",0.000008,616.936
