source,target,weight,flow
"Afghanistan","Australia",0.000002,101.606
"Afghanistan","Austria",0.000064,3486.96
"Afghanistan","Bangladesh",0.000004,234.328
"Afghanistan","Belgium",0.000007,396.26
"Afghanistan","Brazil",0.000002,83.578
"Afghanistan","Bulgaria",0.000001,28.681
"Afghanistan","Canada",0.000119,6489.723
"Afghanistan","China",0.000068,3684.061
"Afghanistan","Croatia",0.000001,42.221
"Afghanistan","CzechRepublic",0.000033,1786.622
"Afghanistan","Denmark",0.000006,345.329
"Afghanistan","Egypt",0.000010,570.837
"Afghanistan","Finland",0.000007,393.078
"Afghanistan","France",0.000021,1155.977
"Afghanistan","Germany",0.000332,18062.75
"Afghanistan","Hungary",0.000014,735.848
"Afghanistan","India",0.000384,20882.28
"Afghanistan","IranIslamicRepublic",0.000836,45470.23
"Afghanistan","Ireland",0.000011,582.101
"Afghanistan","Italy",0.000102,5570.219
"Afghanistan","Japan",0.000046,2481.852
"Afghanistan","Kazakhstan",0.000002,131.905
"Afghanistan","KoreaRepublicof",0.000038,2075.662
"Afghanistan","Kyrgyzstan",0.000001,37.821
"Afghanistan","Lebanon",0.000007,379.713
"Afghanistan","Malaysia",0.000000,11.704
"Afghanistan","Mexico",0.000002,100.638
"Afghanistan","Netherlands",0.000013,725.708
"Afghanistan","NewZealand",0.000000,9.637
"Afghanistan","Norway",0.000013,714.23
"Afghanistan","Pakistan",0.002675,145449.3
"Afghanistan","Poland",0.000004,191.24
"Afghanistan","Portugal",0.000001,71.695
"Afghanistan","RussianFederation",0.000036,1955.231
"Afghanistan","SaudiArabia",0.000008,451.155
"Afghanistan","Singapore",0.000015,800.049
"Afghanistan","SouthAfrica",0.000008,419.368
"Afghanistan","Spain",0.000009,483.744
"Afghanistan","SriLanka",0.000009,483.952
"Afghanistan","Sweden",0.000026,1393.317
"Afghanistan","Switzerland",0.000011,585.253
"Afghanistan","TFYRofMacedonia",0.000000,21.179
"Afghanistan","Thailand",0.000013,698.826
"Afghanistan","Tunisia",0.000009,496.785
"Afghanistan","Turkey",0.000477,25915.47
"Afghanistan","UnitedArabEmirates",0.000075,4068.183
"Afghanistan","UnitedKingdom",0.000053,2900.329
"Afghanistan","UnitedStates",0.000500,27172.27
"Afghanistan","Uruguay",0.000000,8.287
