source,target,weight,flow
"Afghanistan","Denmark",,
"Albania","Germany",0.00,145.839
"Albania","Greece",0.00,2952.97
"Albania","Italy",0.00,1430.828
"Albania","TFYRofMacedonia",0.00,252.272
"Albania","Turkey",0.00,1292.42
"Angola","Namibia",0.01,5886.513
"Argentina","Australia",0.02,16527.7
"Argentina","Bolivia",0.01,8260.081
"Argentina","Brazil",0.14,130867.3
"Argentina","Chile",0.10,97206.13
"Argentina","ChinaHongKongSAR",0.00,5.985
"Argentina","ChinaTaiwanProvince",0.01,4844.235
"Argentina","Denmark",0.00,2629.226
"Argentina","France",0.02,19821.16
"Argentina","Germany",0.00,3404.792
"Argentina","Greece",0.00,393.309
"Argentina","India",0.11,103031.4
"Argentina","Italy",0.00,683.429
"Argentina","Lebanon",0.00,1608
"Argentina","Malaysia",0.06,59981.75
"Argentina","Mexico",0.06,58216.83
"Argentina","Netherlands",0.07,65773.25
"Argentina","Paraguay",0.01,8410.988
"Argentina","Singapore",0.07,66576.65
"Argentina","SouthAfrica",0.20,183608.9
"Argentina","Spain",0.03,25939.8
"Argentina","Turkey",0.08,74788.92
"Argentina","UnitedStates",0.01,7620.232
"Argentina","Uruguay",0.01,12887.8
"Argentina","Venezuela",0.20,188354.8
"Armenia","Georgia",0.00,223.041
"Armenia","IranIslamicRepublic",0.00,3757.502
"Australia","Belgium",0.00,113.463
"Australia","Brazil",0.01,7094.599
"Australia","Canada",0.00,21.534
"Australia","Chile",0.00,730.5
"Australia","China",0.05,44031.32
"Australia","ChinaHongKongSAR",0.00,3486.748
"Australia","ChinaTaiwanProvince",0.02,23275.04
"Australia","Denmark",0.00,62.901
"Australia","Fiji",0.00,3121.618
"Australia","France",0.00,1116.702
"Australia","Germany",0.00,1792.842
"Australia","India",0.00,2047.161
"Australia","Indonesia2002",0.02,15263.71
"Australia","Italy",0.02,15745.66
"Australia","Japan",0.01,13061.49
"Australia","Jordan",0.00,45.323
"Australia","KoreaRepublicof",0.00,3095.232
"Australia","Lebanon",0.00,518.727
"Australia","Malaysia",0.08,72275.23
"Australia","Mexico",0.00,291.837
"Australia","Namibia",0.00,106.281
"Australia","Netherlands",0.00,1820.876
"Australia","NewZealand",0.01,8784.605
"Australia","Samoa",0.00,381.476
"Australia","SaudiArabia",0.00,39.152
"Australia","Singapore",0.02,14247.11
"Australia","SouthAfrica",0.03,25767.71
"Australia","SriLanka",0.00,3651.192
"Australia","Switzerland",0.00,326.932
"Australia","Thailand",0.00,2019.998
"Australia","Turkey",0.00,231.993
"Australia","UnitedKingdom",0.00,4111.041
"Australia","UnitedStates",0.01,6152.246
"Austria","Belgium",0.01,7715.601
"Austria","Bulgaria",0.00,43.415
"Austria","Croatia",0.00,1067.127
