source,target,weight,flow
"Afghanistan","Bulgaria",0.000001,82.204
"Afghanistan","China",0.000113,15250.85
"Afghanistan","Denmark",0.000001,76.153
"Afghanistan","Finland",0.000002,321.514
"Afghanistan","Indonesia2002",0.000005,608.848
"Afghanistan","IranIslamicRepublic",0.000013,1747.871
"Afghanistan","Italy",0.000009,1228.438
"Afghanistan","Kazakhstan",0.000000,55.984
"Afghanistan","Malaysia",0.000055,7460.076
"Afghanistan","Mexico",0.000022,3029.646
"Afghanistan","Netherlands",0.000006,785.093
"Afghanistan","Norway",0.000000,4.462
"Afghanistan","Pakistan",0.000002,296.503
"Afghanistan","Portugal",0.000001,115.948
"Afghanistan","Qatar",0.000000,12.705
"Afghanistan","Slovenia",0.000001,143.005
"Afghanistan","Spain",0.000001,87.178
"Afghanistan","Sweden",0.000000,31.327
"Afghanistan","Switzerland",0.000000,22.714
"Afghanistan","Thailand",0.000029,3880.562
"Afghanistan","UnitedKingdom",0.000021,2782.216
"Afghanistan","UnitedStates",0.000006,795.605
"Albania","Austria",0.000045,6037.297
"Albania","Bolivia",0.000000,5.076
"Albania","Bulgaria",0.000017,2243.686
"Albania","Canada",0.000007,907.052
"Albania","Croatia",0.000008,1096.163
"Albania","CzechRepublic",0.000026,3451.737
"Albania","France",0.000013,1786.58
"Albania","Germany",0.000115,15522.22
"Albania","Greece",0.000224,30193.13
"Albania","Hungary",0.000017,2286.271
"Albania","IranIslamicRepublic",0.000002,277.541
"Albania","Ireland",0.000004,475.068
"Albania","Italy",0.000714,96494.37
"Albania","Lebanon",0.000000,6.05
"Albania","Netherlands",0.000013,1754.231
"Albania","Poland",0.000000,66.194
"Albania","RepublicofMoldova",0.000000,39.588
"Albania","Romania",0.000001,119.146
"Albania","RussianFederation",0.000002,239.906
"Albania","SerbiaandMontenegro",0.000004,574.621
"Albania","Slovenia",0.000004,520.502
"Albania","Sweden",0.000009,1265.466
"Albania","Switzerland",0.000042,5610.57
"Albania","TFYRofMacedonia",0.000023,3042.201
"Albania","Thailand",0.000001,159.773
"Albania","Turkey",0.000037,4989.633
"Albania","UnitedKingdom",0.000051,6821.134
"Albania","UnitedStates",0.000020,2716.116
"Algeria","Belgium",0.000589,79506.48
"Algeria","Bulgaria",0.000106,14345.04
"Algeria","Canada",0.000073,9874.192
"Algeria","China",0.000066,8931.51
"Algeria","Cyprus",0.000000,15.868
"Algeria","France",0.009794,1322806
"Algeria","Germany",0.001947,262951
"Algeria","Greece",0.000001,174.661
"Algeria","Italy",0.002579,348282.9
"Algeria","Jordan",0.000037,4937.045
"Algeria","Libya",0.000004,506.174
"Algeria","Luxembourg",0.000003,423.287
"Algeria","Malta",0.000001,155.558
"Algeria","Morocco",0.000045,6117.482
"Algeria","Panama",0.000000,2.026
"Algeria","RussianFederation",0.000313,42208.07
"Algeria","Senegal",0.000000,44.059
"Algeria","Spain",0.001429,193059.1
"Algeria","Switzerland",0.000302,40856.03
"Algeria","Tunisia",0.000315,42547.66
"Algeria","UnitedArabEmirates",0.000045,6087.026
"Algeria","UnitedKingdom",0.000286,38577.14
"Algeria","UnitedStates",0.001927,260213.6
"Andorra","Belgium",0.000013,1762.417
"Andorra","ChinaTaiwanProvince",0.000004,590.208
"Andorra","France",0.000610,82393.07
"Andorra","Germany",0.000072,9787.819
"Andorra","Italy",0.000033,4392.794
"Andorra","Luxembourg",0.000000,1.699
"Andorra","Netherlands",0.000011,1421.548
"Andorra","Portugal",0.000001,114.011
"Andorra","Spain",0.000785,105985.3
"Andorra","Switzerland",0.000002,234.614
"Andorra","UnitedKingdom",0.000031,4238.23
"Angola","Belgium",0.000150,20247.44
"Angola","Botswana",0.000001,110.486
"Angola","Brazil",0.000034,4554.788
"Angola","China",0.000024,3298.154
"Angola","Congo",0.000008,1055.439
"Angola","Denmark",0.000023,3056.891
"Angola","France",0.002097,283260.7
"Angola","Germany",0.000099,13403.97
