source,target,weight,flow
"Afghanistan","Australia",,
"Afghanistan","Germany",0.00,789.455
"Afghanistan","India",0.00,37.199
"Afghanistan","Malaysia",0.00,88.79201
"Afghanistan","Pakistan",0.00,13.434
"Afghanistan","Poland",0.00,237.453
"Afghanistan","Singapore",0.00,109.887
"Afghanistan","Thailand",0.00,10.435
"Afghanistan","UnitedKingdom",0.00,9.163
"Afghanistan","UnitedStates",0.00,462.213
"Albania","ChinaHongKongSAR",0.00,9.968
"Albania","Denmark",0.00,22.373
"Albania","Germany",0.00,8133.239
"Albania","Greece",0.00,734.886
"Albania","Italy",0.00,621.797
"Albania","SerbiaandMontenegro",0.00,12.352
"Albania","Sweden",0.00,1734.847
"Albania","UnitedKingdom",0.00,859.2791
"Albania","UnitedStates",0.00,878.451
"Algeria","Italy",0.00,8832.539
"Algeria","KoreaRepublicof",0.00,.005
"Algeria","Netherlands",0.00,12.753
"Algeria","Turkey",0.00,.014
"Algeria","UnitedStates",0.00,2300.454
"Andorra","France",0.00,3328.61
"Andorra","Germany",0.00,1855.404
"Andorra","Spain",0.00,89.27
"Angola","ChinaHongKongSAR",0.00,130.507
"Angola","CotedIvoire",0.00,30.327
"Angola","Denmark",0.00,156.969
"Angola","Germany",0.00,2791.716
"Angola","Italy",0.00,265.35
"Angola","Singapore",0.00,2.922
"Angola","Spain",0.00,2060.63
"Angola","Tunisia",0.00,.491
"Angola","UnitedKingdom",0.00,4842.971
"Angola","UnitedStates",0.00,10813.5
"Anguilla","Germany",0.00,4.121
"Anguilla","UnitedKingdom",0.00,96.045
"Anguilla","UnitedStates",0.00,2423.11
"AntiguaandBarbuda","Barbados",0.00,12.08
"AntiguaandBarbuda","Canada",0.00,576.838
"AntiguaandBarbuda","Denmark",0.00,115.717
"AntiguaandBarbuda","Germany",0.00,246.989
"AntiguaandBarbuda","UnitedKingdom",0.00,466.191
"AntiguaandBarbuda","UnitedStates",0.00,13204.52
"Argentina","Australia",0.00,4398.396
"Argentina","Bolivia",0.00,141.855
"Argentina","Brazil",0.00,17924.63
"Argentina","Canada",0.00,4424.647
"Argentina","Chile",0.00,19272.04
"Argentina","China",0.00,669.03
"Argentina","ChinaHongKongSAR",0.00,493.106
"Argentina","Colombia",0.00,4.337
"Argentina","Denmark",0.00,781.608
"Argentina","Ecuador",0.00,15.998
"Argentina","France",0.00,83.366
"Argentina","Germany",0.01,78918.13
"Argentina","Israel",0.00,351.185
"Argentina","Italy",0.00,5621.534
"Argentina","Japan",0.00,4299.189
"Argentina","Malaysia",0.00,319.474
"Argentina","Mexico",0.00,979.387
"Argentina","Namibia",0.00,.17
"Argentina","Netherlands",0.00,310.564
"Argentina","Norway",0.00,3591.458
"Argentina","Pakistan",0.00,2.902
"Argentina","Peru",0.00,14.871
"Argentina","Singapore",0.00,525.65
"Argentina","SouthAfrica",0.00,26.459
"Argentina","Spain",0.00,9035.686
"Argentina","Sweden",0.00,16198.49
"Argentina","Switzerland",0.00,4.815
"Argentina","Thailand",0.00,23.138
"Argentina","Tunisia",0.00,2.681
"Argentina","UnitedKingdom",0.00,4555.761
"Argentina","UnitedStates",0.01,148169.3
"Argentina","Uruguay",0.00,2086.164
"Armenia","Germany",0.00,17658.16
"Armenia","SouthAfrica",0.00,510.175
"Armenia","UnitedStates",0.00,26620.25
"Aruba","Germany",0.00,567.279
"Aruba","Malaysia",0.00,7.048
"Aruba","Netherlands",0.00,2830.5
"Aruba","UnitedKingdom",0.00,3.684
"Aruba","UnitedStates",0.00,31114.09
"Australia","Austria",0.00,270.43
"Australia","Bahrain",0.00,858.367
"Australia","Bangladesh",0.00,1548.899
"Australia","Barbados",0.00,2.408
"Australia","Belgium",0.00,7744.838
"Australia","Bolivia",0.00,2.9
"Australia","Botswana",0.00,64.369
"Australia","Brazil",0.00,4197.44
"Australia","BruneiDarussalam",0.00,936.213
"Australia","Canada",0.01,99627.34
"Australia","China",0.00,65412.74
"Australia","ChinaHongKongSAR",0.01,165320.9
"Australia","ChinaTaiwanProvince",0.00,44276.67
"Australia","CotedIvoire",0.00,26.999
"Australia","CzechRepublic",0.00,2665.594
"Australia","Denmark",0.00,1687.474
"Australia","Egypt",0.00,3665.126
"Australia","Fiji",0.00,51857.55
"Australia","Finland",0.00,4672.679
"Australia","France",0.00,4580.815
"Australia","Germany",0.01,189304.6
"Australia","Greece",0.00,1834.272
"Australia","India",0.00,11457.92
"Australia","Indonesia2002",0.00,39649.02
"Australia","Ireland",0.00,465.798
"Australia","Israel",0.00,2197.001
"Australia","Italy",0.00,32868.48
"Australia","Japan",0.09,1211788
"Australia","Kenya",0.00,29.237
"Australia","Kiribati",0.00,747.359
"Australia","KoreaRepublicof",0.09,1131846
"Australia","Kuwait",0.00,3978.61
"Australia","Lesotho",0.00,2.126
"Australia","Luxembourg",0.00,7.809
"Australia","Madagascar",0.00,3.205
"Australia","Malaysia",0.02,264522
"Australia","Mexico",0.00,1445.814
"Australia","Namibia",0.00,87.506
"Australia","Nepal",0.00,16.92
"Australia","Netherlands",0.00,20234.1
"Australia","NewZealand",0.02,228991.1
"Australia","Norway",0.00,33967.79
"Australia","Oman",0.00,5170.117
"Australia","Pakistan",0.00,1473.023
"Australia","PapuaNewGuinea",0.02,325513.5
"Australia","Philippines",0.00,20416.32
"Australia","Poland",0.00,3134.963
"Australia","Portugal",0.00,404.334
"Australia","SaudiArabia",0.00,11186.38
"Australia","Singapore",0.09,1219475
"Australia","Slovenia",0.00,1104.869
"Australia","SouthAfrica",0.00,19110.96
"Australia","Spain",0.00,7890.39
"Australia","SriLanka",0.00,1016.081
"Australia","Swaziland",0.00,5.983
"Australia","Sweden",0.01,90483.52
"Australia","Switzerland",0.01,152193.1
"Australia","Thailand",0.01,197674.2
"Australia","Turkey",0.00,14152.3
"Australia","UnitedArabEmirates",0.00,17847.43
"Australia","UnitedKingdom",0.01,160547.3
"Australia","UnitedStates",0.05,713545.7
"Australia","Venezuela",0.00,27.324
"Australia","VietNam",0.00,3576.773
"Austria","Belgium",0.00,1187.429
"Austria","Brazil",0.00,413.153
"Austria","Canada",0.00,706.359
"Austria","ChinaHongKongSAR",0.00,2761.611
"Austria","ChinaTaiwanProvince",0.00,165.487
"Austria","Croatia",0.00,222.597
"Austria","CzechRepublic",0.00,7677.291
"Austria","Denmark",0.00,7449.322
"Austria","Finland",0.00,101.395
"Austria","France",0.00,3458.745
"Austria","Germany",0.20,2591918
"Austria","Greece",0.00,957.083
"Austria","Hungary",0.00,951.257
"Austria","India",0.00,1300.21
"Austria","Ireland",0.00,27835.67
"Austria","Israel",0.00,583.226
"Austria","Italy",0.00,45983.92
"Austria","Japan",0.00,14717.71
"Austria","KoreaRepublicof",0.00,.026
"Austria","Malaysia",0.00,1767.92
"Austria","Malta",0.00,77.718
"Austria","Namibia",0.00,.451
"Austria","Netherlands",0.00,43772.74
"Austria","Nigeria",0.00,.012
"Austria","Pakistan",0.00,60.892
"Austria","Poland",0.00,13666.38
"Austria","Portugal",0.00,386.118
"Austria","Singapore",0.00,1161.831
"Austria","Slovakia",0.00,855.615
"Austria","Slovenia",0.00,253.311
"Austria","Spain",0.00,4250.632
"Austria","Swaziland",0.00,.001
"Austria","Sweden",0.01,94212.57
"Austria","Switzerland",0.02,217260.1
"Austria","Thailand",0.00,232.647
"Austria","Turkey",0.00,8.542
"Austria","UnitedKingdom",0.00,1735.269
"Austria","UnitedStates",0.01,99928.52
"Azerbaijan","Germany",0.00,1064.273
"Azerbaijan","Malaysia",0.00,2.314
"Azerbaijan","Netherlands",0.00,76.298
"Azerbaijan","Poland",0.00,1887.371
"Azerbaijan","UnitedKingdom",0.00,1783.898
"Azerbaijan","UnitedStates",0.00,417.938
"Bahamas","Bermuda",0.00,1.46
"Bahamas","Canada",0.00,331.456
"Bahamas","ChinaHongKongSAR",0.00,44.234
"Bahamas","Germany",0.00,2086.249
"Bahamas","Ghana",0.00,9.105
"Bahamas","Japan",0.00,691.143
"Bahamas","Malaysia",0.00,1002.053
"Bahamas","Poland",0.00,1091.145
"Bahamas","UnitedKingdom",0.00,440.327
"Bahamas","UnitedStates",0.01,79263.77
"Bahrain","Canada",0.00,179.687
"Bahrain","ChinaHongKongSAR",0.00,593.683
"Bahrain","ChinaTaiwanProvince",0.00,40.122
"Bahrain","Denmark",0.00,514.81
"Bahrain","Egypt",0.00,55.323
"Bahrain","France",0.00,130.728
"Bahrain","Germany",0.00,17407.27
"Bahrain","India",0.00,2754.304
"Bahrain","Italy",0.00,54.996
"Bahrain","Japan",0.00,3425.249
"Bahrain","Jordan",0.00,13.347
"Bahrain","Kuwait",0.00,136.691
"Bahrain","Malaysia",0.00,578.0551
"Bahrain","Netherlands",0.00,171.004
"Bahrain","Oman",0.00,729.392
"Bahrain","Pakistan",0.00,1625.156
"Bahrain","Philippines",0.00,2352.64
"Bahrain","Qatar",0.00,3368.17
"Bahrain","SaudiArabia",0.00,1039.814
"Bahrain","Singapore",0.00,3136.276
"Bahrain","Spain",0.00,3.544
"Bahrain","Switzerland",0.00,1555.158
"Bahrain","Thailand",0.00,790.099
"Bahrain","Tunisia",0.00,6.828
"Bahrain","UnitedArabEmirates",0.00,1033.87
"Bahrain","UnitedKingdom",0.00,2330.794
"Bahrain","UnitedStates",0.01,75504.82
"Bangladesh","Brazil",0.00,3.953
"Bangladesh","Canada",0.00,162.646
"Bangladesh","China",0.00,10512.98
"Bangladesh","ChinaHongKongSAR",0.00,8168.054
"Bangladesh","ChinaTaiwanProvince",0.00,674.524
"Bangladesh","Denmark",0.00,150.849
"Bangladesh","Germany",0.00,15287.29
"Bangladesh","India",0.00,2532.923
"Bangladesh","Italy",0.00,3354.453
"Bangladesh","Japan",0.00,7502.138
"Bangladesh","KoreaRepublicof",0.00,293.27
"Bangladesh","Malaysia",0.00,1299.135
"Bangladesh","Netherlands",0.00,454.578
"Bangladesh","Norway",0.00,266.947
"Bangladesh","Pakistan",0.00,3163.288
"Bangladesh","Philippines",0.00,658.569
"Bangladesh","Poland",0.00,1421.166
"Bangladesh","SaudiArabia",0.00,22.53
"Bangladesh","Singapore",0.00,8066.923
"Bangladesh","SouthAfrica",0.00,3.795
"Bangladesh","Swaziland",0.00,7.153
"Bangladesh","Sweden",0.00,604.32
"Bangladesh","Switzerland",0.00,15.206
"Bangladesh","Thailand",0.00,84.103
"Bangladesh","Tunisia",0.00,.292
"Bangladesh","UnitedArabEmirates",0.00,55687.83
"Bangladesh","UnitedKingdom",0.00,4512.362
"Bangladesh","UnitedStates",0.00,6964.828
"Barbados","Bermuda",0.00,2.04
"Barbados","Canada",0.00,1258.484
"Barbados","ChinaHongKongSAR",0.00,51.455
"Barbados","ChinaTaiwanProvince",0.00,7.039
"Barbados","France",0.00,16.758
"Barbados","Germany",0.00,1462.61
"Barbados","Malaysia",0.00,8.521999
"Barbados","Philippines",0.00,100.924
"Barbados","Poland",0.00,54.195
"Barbados","SaintLucia",0.00,6.568
"Barbados","TrinidadandTobago",0.00,40.879
"Barbados","UnitedKingdom",0.00,954.506
"Barbados","UnitedStates",0.00,21496.89
"Belarus","ChinaTaiwanProvince",0.00,14.199
"Belarus","CzechRepublic",0.00,1828.321
"Belarus","Denmark",0.00,87.344
"Belarus","France",0.00,1.409
"Belarus","Germany",0.00,47762.71
"Belarus","Italy",0.00,114.26
"Belarus","Norway",0.00,354.373
"Belarus","Poland",0.00,31999.65
"Belarus","RussianFederation",0.41,5423258
"Belarus","Slovakia",0.00,.003
"Belarus","UnitedKingdom",0.00,108.021
"Belarus","UnitedStates",0.00,7314.226
"Belgium","Chile",0.00,.023
"Belgium","Colombia",0.00,.02
"Belgium","Croatia",0.00,1.255
"Belgium","Cyprus",0.00,8599.138
"Belgium","CzechRepublic",0.00,9032.845
"Belgium","DemRepoftheCongo",0.00,5402.76
"Belgium","Denmark",0.00,17111.22
"Belgium","Finland",0.00,.948
"Belgium","France",0.00,47372.21
"Belgium","Germany",0.28,3745021
"Belgium","Greece",0.00,25784.8
"Belgium","Iceland",0.00,61.684
"Belgium","Ireland",0.01,83481.84
"Belgium","Israel",0.00,34005.51
"Belgium","Italy",0.01,107913.4
"Belgium","Japan",0.01,133820.8
"Belgium","Luxembourg",0.02,233901.5
"Belgium","Malta",0.00,2.987
"Belgium","Mexico",0.00,463.044
"Belgium","Netherlands",0.00,21283.96
