source,target,weight,flow
"Afghanistan","Armenia",,
"Afghanistan","Canada",0.00,14.024
"Afghanistan","France",0.00,19.257
"Afghanistan","Ireland",0.00,.309
"Afghanistan","Pakistan",0.00,229.156
"Afghanistan","Singapore",0.00,242.701
"Afghanistan","Switzerland",0.00,85.769
"Afghanistan","UnitedArabEmirates",0.00,16170.22
"Albania","Austria",0.00,13271.66
"Albania","BosniaandHerzegovina",0.00,1036.565
"Albania","Canada",0.00,2.369
"Albania","Croatia",0.00,10.996
"Albania","CzechRepublic",0.00,1710.035
"Albania","France",0.00,1594.309
"Albania","Greece",0.01,30694.73
"Albania","Hungary",0.00,146.458
"Albania","Italy",0.01,20688.49
"Albania","KoreaRepublicof",0.00,1102.246
"Albania","Montenegro",0.00,1731.273
"Albania","Netherlands",0.00,4648.026
"Albania","Poland",0.00,16642.88
"Albania","Serbia",0.00,5975.803
"Albania","Slovakia",0.00,27.367
"Albania","Slovenia",0.00,684.65
"Albania","Spain",0.00,266.634
"Albania","Switzerland",0.00,1928.777
"Albania","TFYRofMacedonia",0.00,1926.511
"Albania","Turkey",0.00,642.892
"Albania","UnitedArabEmirates",0.00,5.623
"Albania","UnitedKingdom",0.00,900.015
"Albania","UnitedStates",0.00,58.668
"Algeria","Belgium",0.00,728.175
"Algeria","China",0.00,428.574
"Algeria","Cuba",0.00,494.56
"Algeria","CzechRepublic",0.00,46.962
"Algeria","Egypt",0.00,.845
"Algeria","France",0.01,33704.17
"Algeria","Germany",0.02,71591.68
"Algeria","Greece",0.00,4117.028
"Algeria","Guinea",0.00,8864.885
"Algeria","Italy",0.00,4003.445
"Algeria","Jordan",0.00,108.488
"Algeria","Kenya",0.00,962.587
"Algeria","KoreaRepublicof",0.00,274.71
"Algeria","Lebanon",0.00,277.289
"Algeria","Morocco",0.00,14682.18
"Algeria","Netherlands",0.00,8660.641
"Algeria","Portugal",0.00,13907.85
"Algeria","SaudiArabia",0.00,242.967
"Algeria","SierraLeone",0.00,1202.659
"Algeria","Spain",0.00,12586.6
"Algeria","Switzerland",0.00,1083.585
"Algeria","Tunisia",0.00,3047.742
"Algeria","Turkey",0.00,11044.18
"Algeria","UnitedArabEmirates",0.00,767.342
"Algeria","UnitedKingdom",0.00,133.366
"Algeria","UnitedStates",0.00,18.637
"AmericanSamoa","Australia",0.00,177.196
"AmericanSamoa","France",0.00,40.422
"AmericanSamoa","Samoa",0.00,1689.096
"Andorra","Belgium",0.00,2662.754
"Andorra","France",0.00,16902.59
"Andorra","Germany",0.00,8117.717
"Andorra","Luxembourg",0.00,1794.988
"Andorra","Netherlands",0.00,4652.987
"Andorra","Portugal",0.00,2760.259
"Andorra","Spain",0.01,50096.28
"Andorra","Switzerland",0.00,5.502
"Andorra","UnitedKingdom",0.00,7130.914
"Angola","Austria",0.00,2135.858
"Angola","Botswana",0.00,163.7
"Angola","Congo",0.00,3.601
"Angola","CotedIvoire",0.00,2.58
"Angola","France",0.00,14697.33
"Angola","Germany",0.00,603.613
"Angola","Ireland",0.00,610.027
"Angola","Mozambique",0.00,151.214
"Angola","Namibia",0.00,10836.38
"Angola","Netherlands",0.00,8772.677
"Angola","Nigeria",0.00,38.194
"Angola","Portugal",0.04,173712.7
"Angola","Singapore",0.00,32.425
"Angola","SouthAfrica",0.02,60794.54
"Angola","Spain",0.00,11989.35
"Angola","Switzerland",0.00,44.03
"Angola","Turkey",0.00,2731.358
"Angola","UnitedKingdom",0.00,19026.4
"Angola","UnitedStates",0.00,147.388
"Anguilla","Barbados",0.00,351.601
"Anguilla","Canada",0.00,510.933
"Anguilla","France",0.00,84.564
"Anguilla","Germany",0.00,128.282
"Anguilla","Guyana",0.00,342.024
"Anguilla","Mexico",0.00,648.303
"Anguilla","Netherlands",0.00,582.4351
"Anguilla","UnitedKingdom",0.00,403.775
"Anguilla","UnitedStates",0.00,3565.028
"AntiguaandBarbuda","Barbados",0.00,787.35
"AntiguaandBarbuda","BritishVirginIslands",0.00,2.77
"AntiguaandBarbuda","Canada",0.00,312.112
"AntiguaandBarbuda","CostaRica",0.00,24.544
"AntiguaandBarbuda","Dominica",0.00,60.062
"AntiguaandBarbuda","Estonia",0.00,.799
"AntiguaandBarbuda","France",0.00,1866.327
"AntiguaandBarbuda","Germany",0.00,123.641
"AntiguaandBarbuda","Grenada",0.00,36.939
"AntiguaandBarbuda","Ireland",0.00,1.742
"AntiguaandBarbuda","Jamaica",0.00,1016.424
