source,target,weight,flow
"Afghanistan","Argentina",0.000000,23.464
"Afghanistan","Austria",0.000004,227.274
"Afghanistan","Bangladesh",0.000082,4811.505
"Afghanistan","Belgium",0.000599,35116.2
"Afghanistan","Brazil",0.000000,1.321
"Afghanistan","Canada",0.000000,19.098
"Afghanistan","China",0.000225,13187.17
"Afghanistan","Colombia",0.000000,12
"Afghanistan","CzechRepublic",0.000003,159.809
"Afghanistan","Denmark",0.000003,201.987
"Afghanistan","Finland",0.000001,74.645
"Afghanistan","France",0.000090,5252.917
"Afghanistan","Germany",0.000086,5033.536
"Afghanistan","India",0.000909,53304.67
"Afghanistan","Ireland",0.000013,737.834
"Afghanistan","Italy",0.000009,521.777
"Afghanistan","Japan",0.000004,247.111
"Afghanistan","Kazakhstan",0.000051,3010.788
"Afghanistan","KoreaRepublicof",0.000024,1409.901
"Afghanistan","Kyrgyzstan",0.000017,1001.214
"Afghanistan","Luxembourg",0.000000,5.519
"Afghanistan","Netherlands",0.000095,5602.68
"Afghanistan","Pakistan",0.002279,133730.8
"Afghanistan","Philippines",0.000014,822.878
"Afghanistan","Poland",0.000001,43.821
"Afghanistan","Qatar",0.000005,278.23
"Afghanistan","Serbia",0.000000,22.042
"Afghanistan","Singapore",0.000003,147.016
"Afghanistan","Slovakia",0.000000,21.611
"Afghanistan","SouthAfrica",0.000001,38.523
"Afghanistan","Spain",0.000027,1566.958
"Afghanistan","Switzerland",0.000004,251.939
"Afghanistan","TFYRofMacedonia",0.000002,115.048
"Afghanistan","Thailand",0.000014,842.731
"Afghanistan","Turkey",0.000387,22726.27
"Afghanistan","UnitedArabEmirates",0.000082,4827.145
"Afghanistan","UnitedKingdom",0.000035,2055.651
"Afghanistan","UnitedStates",0.000265,15563.21
"Albania","Argentina",0.000002,89.179
"Albania","Australia",0.000010,563.023
"Albania","Austria",0.000126,7387.16
"Albania","Belgium",0.000177,10383.82
"Albania","BosniaandHerzegovina",0.000006,380.197
"Albania","Brazil",0.000001,52.312
"Albania","Bulgaria",0.000196,11515.29
"Albania","Canada",0.000007,418.661
"Albania","Chile",0.000001,47.518
"Albania","China",0.000515,30234.54
"Albania","ChinaTaiwanProvince",0.000179,10522.07
"Albania","Colombia",0.000000,21.071
"Albania","CostaRica",0.000000,.268
"Albania","Croatia",0.000133,7800.518
"Albania","CzechRepublic",0.000084,4934.945
"Albania","Denmark",0.000019,1126.564
"Albania","DominicanRepublic",0.000001,43.145
"Albania","Egypt",0.000060,3493.649
"Albania","France",0.000188,11034.24
"Albania","Germany",0.000546,32005.86
"Albania","Greece",0.000779,45675.77
"Albania","Hungary",0.000341,19988.67
"Albania","India",0.000018,1074.525
"Albania","Indonesia",0.000053,3127.401
"Albania","Ireland",0.000129,7546.803
"Albania","Italy",0.001521,89228.88
"Albania","Japan",0.000001,83.205
"Albania","KoreaRepublicof",0.000088,5184.177
"Albania","Lebanon",0.000001,53.145
"Albania","Luxembourg",0.000000,4.954
"Albania","Malta",0.000001,64.481
"Albania","Mexico",0.000000,17.121
"Albania","Montenegro",0.000047,2766.959
"Albania","Morocco",0.000000,4.782
"Albania","Netherlands",0.000125,7352.556
"Albania","Norway",0.000002,114.652
"Albania","Peru",0.000003,179.819
"Albania","Portugal",0.000044,2576.649
"Albania","Qatar",0.000027,1601.536
"Albania","SaudiArabia",0.000026,1536.581
"Albania","Serbia",0.000363,21295.53
"Albania","Singapore",0.000001,53.023
"Albania","Slovenia",0.000274,16098.38
"Albania","Spain",0.000092,5390.428
"Albania","Sweden",0.000003,155.411
"Albania","Switzerland",0.000380,22297.48
"Albania","TFYRofMacedonia",0.000221,12977.58
"Albania","Thailand",0.000005,312.451
"Albania","Tunisia",0.000056,3295.387
"Albania","Turkey",0.000590,34590.33
"Albania","Ukraine",0.000104,6113.607
"Albania","UnitedArabEmirates",0.000005,274.745
"Albania","UnitedKingdom",0.000043,2505.742
"Albania","UnitedStates",0.000079,4648.574
"Algeria","Angola",0.000000,11.045
"Algeria","Austria",0.000540,31652.63
"Algeria","Belgium",0.007932,465369.9
"Algeria","Brazil",0.000438,25718.46
"Algeria","Canada",0.000062,3664.677
"Algeria","China",0.003656,214507.5
"Algeria","ChinaHongKongSAR",0.000021,1212.419
"Algeria","ChinaTaiwanProvince",0.000228,13390.3
"Algeria","Congo",0.000000,.42
"Algeria","CotedIvoire",0.000002,125.448
"Algeria","Cuba",0.000033,1907.892
"Algeria","CzechRepublic",0.000065,3791.8
"Algeria","Denmark",0.000450,26385.76
"Algeria","Egypt",0.001491,87471.48
"Algeria","EquatorialGuinea",0.000000,.621
"Algeria","France",0.025414,1490986
"Algeria","Gabon",0.000000,.004
"Algeria","Germany",0.008051,472335.5
"Algeria","Ghana",0.000001,33.181
"Algeria","Greece",0.000144,8455.252
"Algeria","Hungary",0.000653,38302.09
"Algeria","India",0.002374,139289.8
"Algeria","Ireland",0.000342,20088.29
"Algeria","Italy",0.005907,346551
"Algeria","Japan",0.000089,5200.614
"Algeria","Jordan",0.002132,125055.9
"Algeria","KoreaRepublicof",0.000763,44790.15
"Algeria","Lebanon",0.000124,7298.642
"Algeria","Libya",0.000048,2812.346
"Algeria","Luxembourg",0.000037,2199.498
"Algeria","Madagascar",0.000003,174.284
"Algeria","Malaysia",0.000093,5457.285
"Algeria","Mali",0.000000,7.397
"Algeria","Malta",0.000003,199.843
"Algeria","Mexico",0.000090,5282.226
"Algeria","Morocco",0.001157,67902.1
"Algeria","Netherlands",0.004536,266131.9
"Algeria","Nigeria",0.000002,138.939
"Algeria","Norway",0.000888,52086.03
"Algeria","Poland",0.000862,50571.17
"Algeria","Portugal",0.000877,51427.2
"Algeria","Qatar",0.001148,67342.21
"Algeria","RussianFederation",0.000253,14861.59
"Algeria","SaintKittsandNevis",0.000044,2564.085
"Algeria","SaudiArabia",0.008210,481695.3
"Algeria","Senegal",0.000014,821.646
"Algeria","Slovenia",0.000210,12323.15
"Algeria","SouthAfrica",0.000016,964.043
"Algeria","Spain",0.011943,700664.4
"Algeria","Sudan",0.000001,57.843
"Algeria","Sweden",0.000559,32801.75
"Algeria","Switzerland",0.003917,229782.7
"Algeria","SyrianArabRepublic",0.000010,600.235
"Algeria","Tajikistan",0.000037,2189.672
"Algeria","Tunisia",0.001513,88781.73
"Algeria","Turkey",0.002497,146493.1
"Algeria","UnitedArabEmirates",0.001306,76640.84
"Algeria","UnitedKingdom",0.002093,122793
"Algeria","UnitedStates",0.002615,153399.3
"Algeria","Yemen",0.000000,18.209
"AmericanSamoa","Australia",0.000011,654.207
"AmericanSamoa","Canada",0.000000,7.329
"AmericanSamoa","Fiji",0.000018,1080.244
"AmericanSamoa","France",0.000038,2239.441
"AmericanSamoa","India",0.000001,87.304
"AmericanSamoa","Indonesia",0.000068,3998.433
"AmericanSamoa","KoreaRepublicof",0.000001,56.94
"AmericanSamoa","Malaysia",0.000012,701.193
"AmericanSamoa","Netherlands",0.000001,57.145
"AmericanSamoa","NewZealand",0.000010,607.9659
"AmericanSamoa","Samoa",0.000005,316.646
"AmericanSamoa","Tonga",0.000001,30.237
"AmericanSamoa","Turkey",0.000004,261.555
"Andorra","Austria",0.000000,17.069
"Andorra","Belgium",0.000076,4431.245
"Andorra","China",0.000000,4.808
"Andorra","ChinaTaiwanProvince",0.000000,7.826
"Andorra","Denmark",0.000000,.342
"Andorra","France",0.000625,36655.96
"Andorra","Germany",0.000024,1379.144
"Andorra","Greece",0.000002,94.518
"Andorra","Italy",0.000020,1158.021
"Andorra","Luxembourg",0.000000,13.014
"Andorra","Mexico",0.000001,44.956
"Andorra","Netherlands",0.000012,702.052
"Andorra","Poland",0.000001,41.55
"Andorra","Portugal",0.000000,4.971
"Andorra","Slovakia",0.000000,1.142
"Andorra","Spain",0.002097,123054.3
"Andorra","Sweden",0.000001,74.245
"Andorra","Switzerland",0.000004,219.384
"Andorra","UnitedArabEmirates",0.000000,15.389
"Andorra","UnitedKingdom",0.000011,623.052
"Andorra","UnitedStates",0.000017,999.978
"Angola","Austria",0.000006,333.897
"Angola","Belgium",0.000665,39034.75
"Angola","Botswana",0.000000,24.704
"Angola","CaboVerde",0.000000,4.059
"Angola","Cameroon",0.000015,864.751
"Angola","Canada",0.000011,659.121
"Angola","China",0.002755,161659.5
"Angola","ChinaHongKongSAR",0.000031,1843.222
"Angola","Congo",0.000002,125.997
"Angola","CotedIvoire",0.000034,1983.131
"Angola","France",0.000798,46841.93
"Angola","Ghana",0.000017,1017.449
"Angola","Guinea",0.000000,8.303
"Angola","India",0.001155,67765.08
"Angola","Indonesia",0.000668,39201.98
"Angola","Italy",0.000274,16062.44
"Angola","Kenya",0.000010,580.462
"Angola","KoreaRepublicof",0.001465,85932.8
"Angola","Mexico",0.000006,352.544
"Angola","Morocco",0.000041,2382.534
"Angola","Mozambique",0.000002,103.057
"Angola","Namibia",0.000236,13866.08
"Angola","Netherlands",0.000517,30322.63
"Angola","Nigeria",0.000004,250.042
"Angola","Norway",0.000022,1267.025
"Angola","Portugal",0.004016,235588.7
"Angola","Qatar",0.000125,7336.698
"Angola","SaoTomeandPricipe",0.000000,13.211
"Angola","SouthAfrica",0.001350,79211.55
"Angola","Spain",0.000270,15846
"Angola","Switzerland",0.000047,2756.396
"Angola","TanzaniaUnitedRepublic",0.000001,58.456
"Angola","Thailand",0.000239,14014.23
"Angola","Turkey",0.000143,8397.235
"Angola","UnitedArabEmirates",0.000605,35510.64
"Angola","UnitedKingdom",0.000671,39392.87
"Anguilla","AntiguaandBarbuda",0.000000,4.391
"Anguilla","Canada",0.000001,72.544
"Anguilla","ChinaTaiwanProvince",0.000001,61.337
"Anguilla","CzechRepublic",0.000000,24.854
"Anguilla","Dominica",0.000002,94.063
"Anguilla","France",0.000000,27.295
"Anguilla","Guyana",0.000000,22.738
"Anguilla","UnitedStates",0.000051,2974.16
"AntiguaandBarbuda","Austria",0.000000,.198
"AntiguaandBarbuda","Bahrain",0.000000,1.465
"AntiguaandBarbuda","Barbados",0.000106,6239.44
"AntiguaandBarbuda","BritishVirginIslands",0.000000,.643
"AntiguaandBarbuda","Canada",0.000003,200.366
"AntiguaandBarbuda","China",0.000038,2210.806
"AntiguaandBarbuda","Colombia",0.000000,21.395
"AntiguaandBarbuda","Denmark",0.000000,4.869
"AntiguaandBarbuda","Dominica",0.000018,1065.581
"AntiguaandBarbuda","DominicanRepublic",0.000003,182.971
"AntiguaandBarbuda","ElSalvador",0.000001,48.189
"AntiguaandBarbuda","France",0.000003,192.718
"AntiguaandBarbuda","Ghana",0.000000,.711
"AntiguaandBarbuda","Grenada",0.000000,22.444
"AntiguaandBarbuda","Guyana",0.000004,256.381
"AntiguaandBarbuda","Ireland",0.000000,3.027
"AntiguaandBarbuda","Italy",0.000001,42.091
"AntiguaandBarbuda","Jamaica",0.000008,480.616
"AntiguaandBarbuda","Malaysia",0.000000,17.669
"AntiguaandBarbuda","Malta",0.000000,.134
"AntiguaandBarbuda","Montserrat",0.000000,12.273
"AntiguaandBarbuda","Netherlands",0.000008,478.273
"AntiguaandBarbuda","NewZealand",0.000001,41.641
"AntiguaandBarbuda","Poland",0.000001,47.29
"AntiguaandBarbuda","SaintKittsandNevis",0.000002,88.498
"AntiguaandBarbuda","SaintLucia",0.000005,268.731
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000000,6.229
"AntiguaandBarbuda","Spain",0.000003,182.858
"AntiguaandBarbuda","Sweden",0.000000,5.905
"AntiguaandBarbuda","TrinidadandTobago",0.000031,1820.198
"AntiguaandBarbuda","Ukraine",0.000000,2.374
"AntiguaandBarbuda","UnitedKingdom",0.000133,7829.194
"AntiguaandBarbuda","UnitedStates",0.000184,10783.42
"AntiguaandBarbuda","Venezuela",0.000011,630.333
"Argentina","Australia",0.000618,36278.67
"Argentina","Austria",0.000626,36715.89
"Argentina","Azerbaijan",0.000038,2218.604
"Argentina","Bahrain",0.000022,1290.259
"Argentina","Bangladesh",0.000039,2282.679
"Argentina","Barbados",0.000000,20.531
"Argentina","Belarus",0.000130,7602.211
"Argentina","Belgium",0.004023,236027.9
"Argentina","Belize",0.000003,192.553
"Argentina","Bolivia",0.002652,155569.6
"Argentina","BosniaandHerzegovina",0.000000,13.205
"Argentina","Brazil",0.054403,3191761
"Argentina","Bulgaria",0.000043,2535.335
"Argentina","Cambodia",0.000001,34.634
"Argentina","Cameroon",0.000002,109.07
"Argentina","Canada",0.002006,117707.7
"Argentina","Chile",0.009857,578273.1
"Argentina","China",0.021286,1248786
"Argentina","ChinaHongKongSAR",0.000098,5730.656
"Argentina","ChinaTaiwanProvince",0.001149,67394.73
"Argentina","Colombia",0.002084,122275.2
"Argentina","CostaRica",0.000169,9915.376
"Argentina","Croatia",0.000003,160.913
"Argentina","Cuba",0.000302,17728.51
"Argentina","Cyprus",0.000004,252.839
"Argentina","CzechRepublic",0.000164,9626.872
"Argentina","Denmark",0.000950,55706.26
"Argentina","DominicanRepublic",0.000336,19715.3
"Argentina","Ecuador",0.000916,53723.24
"Argentina","Egypt",0.000081,4733.875
"Argentina","ElSalvador",0.000054,3145.273
"Argentina","Estonia",0.000007,427.602
"Argentina","Finland",0.000130,7634.494
"Argentina","France",0.008499,498645.9
"Argentina","Germany",0.013202,774561.1
"Argentina","Greece",0.000010,570.695
"Argentina","Guatemala",0.000316,18518.08
"Argentina","Guyana",0.000001,62.796
"Argentina","Haiti",0.000003,200.466
"Argentina","Honduras",0.000059,3435.012
"Argentina","Hungary",0.000075,4372.676
"Argentina","India",0.003360,197110.5
"Argentina","Indonesia",0.000823,48276.56
"Argentina","IranIslamicRepublic",0.000088,5137.075
"Argentina","Ireland",0.002259,132533
"Argentina","Israel",0.000959,56262.86
"Argentina","Italy",0.002782,163195.2
"Argentina","Japan",0.002346,137616.1
"Argentina","Jordan",0.000034,1974.8
"Argentina","Kenya",0.000020,1182.145
"Argentina","KoreaRepublicof",0.002911,170756.1
"Argentina","Kuwait",0.000042,2477.324
"Argentina","Kyrgyzstan",0.000004,224.625
"Argentina","Latvia",0.000009,508.144
"Argentina","Lebanon",0.000227,13296.83
"Argentina","Lithuania",0.000103,6045.157
"Argentina","Malaysia",0.000265,15573.82
"Argentina","Mauritania",0.000001,81.297
"Argentina","Mexico",0.007990,468741.4
"Argentina","Mongolia",0.000001,46.998
"Argentina","Morocco",0.000124,7252.143
"Argentina","Netherlands",0.004090,239944.2
"Argentina","NewZealand",0.000099,5797.232
"Argentina","Nicaragua",0.000096,5632.951
"Argentina","Niger",0.000002,99.35899
"Argentina","Nigeria",0.000073,4277.601
"Argentina","Norway",0.000007,396.508
"Argentina","Oman",0.000034,1979.668
"Argentina","Pakistan",0.000081,4781.254
"Argentina","Paraguay",0.004585,269007
"Argentina","Peru",0.003543,207845.9
"Argentina","Philippines",0.000064,3737.876
"Argentina","Poland",0.000181,10623.48
"Argentina","Portugal",0.000087,5127.341
"Argentina","Qatar",0.000314,18409.01
"Argentina","RepublicofMoldova",0.000000,7.72
"Argentina","Romania",0.000109,6414.922
"Argentina","RussianFederation",0.000845,49601.79
"Argentina","SaudiArabia",0.000877,51458.54
"Argentina","Serbia",0.000002,120.432
"Argentina","Singapore",0.000884,51888.73
"Argentina","Slovakia",0.000026,1522.07
"Argentina","Slovenia",0.000028,1647.63
"Argentina","Somalia",0.000000,7.272
"Argentina","SouthAfrica",0.000560,32868.74
"Argentina","Spain",0.004886,286671.9
"Argentina","SriLanka",0.000021,1246.049
"Argentina","Suriname",0.000001,85.908
"Argentina","Sweden",0.000584,34270.04
"Argentina","Switzerland",0.010504,616272.9
"Argentina","SyrianArabRepublic",0.000001,31.745
"Argentina","TanzaniaUnitedRepublic",0.000001,47.149
"Argentina","Thailand",0.000795,46627.69
"Argentina","TrinidadandTobago",0.000095,5578.2
"Argentina","Tunisia",0.000291,17091.43
"Argentina","Turkey",0.000227,13328.59
"Argentina","Uganda",0.000000,22.372
"Argentina","Ukraine",0.000167,9784.971
"Argentina","UnitedArabEmirates",0.000331,19419.78
"Argentina","UnitedKingdom",0.003338,195824.2
"Argentina","UnitedStates",0.053784,3155434
"Argentina","Uruguay",0.007117,417550.3
"Argentina","Uzbekistan",0.000003,163.721
"Argentina","Venezuela",0.004990,292776.1
"Argentina","VietNam",0.000165,9680.342
"Armenia","Australia",0.000001,78.844
"Armenia","Austria",0.000096,5630.605
"Armenia","Bahrain",0.000001,52.87
"Armenia","Belarus",0.000044,2582.899
"Armenia","Belgium",0.000120,7043.214
"Armenia","Brazil",0.000001,52.318
"Armenia","Bulgaria",0.000133,7801.344
"Armenia","Canada",0.000003,169.662
"Armenia","China",0.000079,4612.466
"Armenia","ChinaTaiwanProvince",0.000002,122.876
"Armenia","Croatia",0.000005,302.616
"Armenia","CzechRepublic",0.000072,4250.785
"Armenia","Estonia",0.000002,104.604
"Armenia","Finland",0.000009,536.475
"Armenia","France",0.000191,11182.97
"Armenia","Georgia",0.000753,44189.3
"Armenia","Germany",0.000318,18677.84
"Armenia","Greece",0.000030,1781.395
"Armenia","Hungary",0.000181,10591.71
"Armenia","India",0.000032,1883.57
"Armenia","Indonesia",0.000009,518.662
"Armenia","IranIslamicRepublic",0.001058,62090.93
"Armenia","Ireland",0.000013,777.362
"Armenia","Israel",0.000007,423.528
"Armenia","Italy",0.000132,7746.559
"Armenia","Japan",0.000003,160.736
"Armenia","Jordan",0.000002,100.639
"Armenia","Kazakhstan",0.000004,246.615
"Armenia","KoreaRepublicof",0.000020,1194.782
"Armenia","Kuwait",0.000000,21.587
"Armenia","Latvia",0.000015,884.695
"Armenia","Lebanon",0.000001,83.133
"Armenia","Lithuania",0.000019,1124.545
"Armenia","Netherlands",0.000142,8323.833
"Armenia","Poland",0.000160,9364.682
"Armenia","Qatar",0.000005,289.298
"Armenia","RepublicofMoldova",0.000013,760.593
"Armenia","RussianFederation",0.000645,37850.96
"Armenia","SaudiArabia",0.000049,2875.481
"Armenia","Singapore",0.000009,544.5081
"Armenia","Slovakia",0.000003,147.697
"Armenia","SouthAfrica",0.000001,34.666
"Armenia","Spain",0.000019,1093.079
"Armenia","Switzerland",0.000200,11725.58
"Armenia","SyrianArabRepublic",0.000000,25.014
"Armenia","Thailand",0.000002,96.92
"Armenia","Turkmenistan",0.000020,1181.842
"Armenia","Ukraine",0.000106,6208.376
"Armenia","UnitedArabEmirates",0.000083,4858.756
"Armenia","UnitedKingdom",0.000021,1228.987
"Armenia","UnitedStates",0.000047,2732.33
"Armenia","Uzbekistan",0.000047,2773.586
"Armenia","VietNam",0.000000,14.225
"Aruba","Belgium",0.000002,128.51
"Aruba","Canada",0.000017,978.222
"Aruba","China",0.000034,1968.569
"Aruba","ChinaHongKongSAR",0.000001,65.654
"Aruba","ChinaTaiwanProvince",0.000000,14.142
"Aruba","Colombia",0.000021,1202.827
"Aruba","CostaRica",0.000105,6155.118
"Aruba","Cuba",0.000000,25.213
"Aruba","Denmark",0.000002,126.769
"Aruba","DominicanRepublic",0.000006,328.578
"Aruba","France",0.000027,1567.36
"Aruba","Guatemala",0.000050,2929.147
"Aruba","Honduras",0.000000,4.572
"Aruba","Ireland",0.000001,59.626
"Aruba","Jamaica",0.000000,4.207
"Aruba","KoreaRepublicof",0.000000,9.731
"Aruba","Mexico",0.000020,1185.163
"Aruba","Netherlands",0.000327,19202.63
"Aruba","SaintLucia",0.000000,.26
"Aruba","Spain",0.000022,1316.941
"Aruba","Suriname",0.000001,72.95399
"Aruba","Switzerland",0.000003,193.162
"Aruba","TrinidadandTobago",0.000005,307.346
"Aruba","Turkey",0.000001,77.733
"Aruba","UnitedArabEmirates",0.000001,44.201
"Aruba","UnitedKingdom",0.000004,240.506
"Aruba","UnitedStates",0.000605,35499.57
"Aruba","Venezuela",0.000388,22757.9
"Australia","Austria",0.001442,84595.37
"Australia","Bahamas",0.000006,351.438
"Australia","Bangladesh",0.001942,113920.7
"Australia","Barbados",0.000010,576.452
"Australia","Belarus",0.000018,1047.823
"Australia","Belgium",0.015531,911176.5
"Australia","Benin",0.000005,300.326
"Australia","Bermuda",0.000023,1364.446
"Australia","BosniaandHerzegovina",0.000002,137.748
"Australia","Botswana",0.000001,77.00999
"Australia","Brazil",0.001707,100135.2
"Australia","BruneiDarussalam",0.000022,1309.884
"Australia","Bulgaria",0.000179,10492.41
"Australia","BurkinaFaso",0.000017,1006.105
"Australia","Cambodia",0.000031,1812.173
"Australia","Cameroon",0.000000,25.556
"Australia","Canada",0.004070,238780
"Australia","Chile",0.000439,25782.71
"Australia","China",0.062608,3673114
"Australia","ChinaHongKongSAR",0.003590,210620.6
"Australia","ChinaMacaoSAR",0.000136,7988.308
"Australia","ChinaTaiwanProvince",0.009368,549619.2
"Australia","Colombia",0.000148,8667.654
"Australia","Congo",0.000002,127.854
"Australia","CostaRica",0.000016,957.12
"Australia","CotedIvoire",0.000009,520.667
"Australia","Croatia",0.000003,165.627
"Australia","Cuba",0.000007,425.34
"Australia","Cyprus",0.000075,4390.076
"Australia","CzechRepublic",0.000285,16749.75
"Australia","DemRepoftheCongo",0.000000,9.13
"Australia","Denmark",0.001886,110631.6
"Australia","Djibouti",0.000007,395.491
"Australia","DominicanRepublic",0.000024,1390.207
"Australia","Ecuador",0.000026,1533.672
"Australia","Egypt",0.000248,14538.55
"Australia","ElSalvador",0.000004,213.547
"Australia","Eritrea",0.000002,129.811
"Australia","Estonia",0.000060,3510.296
"Australia","Ethiopia",0.000002,124.011
"Australia","FalklandIslands",0.000000,18.264
"Australia","Fiji",0.000480,28136.18
"Australia","Finland",0.000303,17752.28
"Australia","France",0.010300,604268.1
"Australia","FrenchPolynesia",0.000029,1700.053
"Australia","Gabon",0.000733,43012.05
"Australia","Georgia",0.000005,267.485
"Australia","Germany",0.027764,1628888
"Australia","Ghana",0.000024,1431.621
"Australia","Greece",0.000490,28734.3
"Australia","Guam",0.000001,76.495
"Australia","Guatemala",0.000009,530.967
"Australia","Guinea",0.000000,6.736
"Australia","Guyana",0.000000,10.461
"Australia","Honduras",0.000001,72.57401
"Australia","Hungary",0.000355,20803.83
"Australia","Iceland",0.000012,678.624
"Australia","India",0.008578,503271.5
"Australia","Indonesia",0.008701,510475.5
"Australia","IranIslamicRepublic",0.000087,5128.451
"Australia","Ireland",0.010134,594523
"Australia","Israel",0.002885,169286.3
"Australia","Italy",0.006371,373772.9
"Australia","Jamaica",0.000015,877.554
"Australia","Japan",0.010137,594697.3
"Australia","Jordan",0.000165,9703.166
"Australia","Kazakhstan",0.000060,3509.342
"Australia","Kenya",0.000014,827.208
"Australia","Kiribati",0.000010,614.647
"Australia","KoreaRepublicof",0.015322,898901.8
"Australia","Kuwait",0.000111,6494.83
"Australia","Kyrgyzstan",0.000001,30.645
"Australia","LaoPeoplesDemRep",0.000021,1239.047
"Australia","Latvia",0.000022,1298.215
"Australia","Lebanon",0.000024,1436.656
"Australia","Liberia",0.000000,1.046
"Australia","Lithuania",0.000023,1335.992
"Australia","Luxembourg",0.000038,2227.811
"Australia","Madagascar",0.000002,135.665
"Australia","Malawi",0.000000,27.797
"Australia","Malaysia",0.009174,538211
"Australia","Mali",0.000029,1711.672
"Australia","Malta",0.000080,4666.186
"Australia","MarshallIslands",0.000001,80.174
"Australia","Mauritius",0.000032,1861.171
"Australia","Mexico",0.002798,164168.5
"Australia","Mongolia",0.000019,1139.923
"Australia","Morocco",0.000198,11631.59
"Australia","Mozambique",0.000000,25.283
"Australia","Myanmar",0.000091,5335.719
"Australia","Namibia",0.000026,1501.788
"Australia","Nepal",0.000006,338.728
"Australia","Netherlands",0.013364,784044.3
"Australia","NewCaledonia",0.000875,51328.85
"Australia","NewZealand",0.019331,1134113
"Australia","Nigeria",0.000077,4520.961
"Australia","Norway",0.000149,8734.396
"Australia","Oman",0.000801,46968.77
"Australia","Pakistan",0.001780,104401.9
"Australia","Panama",0.000030,1753.765
"Australia","PapuaNewGuinea",0.001442,84574.51
"Australia","Paraguay",0.000003,172.202
"Australia","Peru",0.000375,21981.51
"Australia","Philippines",0.001926,113022.6
"Australia","Poland",0.001424,83532.52
"Australia","Portugal",0.000143,8374.33
"Australia","Qatar",0.003241,190127.2
"Australia","Romania",0.000043,2512.054
"Australia","RussianFederation",0.000585,34340.93
"Australia","Samoa",0.000052,3058.801
"Australia","SaudiArabia",0.004467,262050.9
"Australia","Senegal",0.000006,343.292
"Australia","Serbia",0.000011,663.912
"Australia","SierraLeone",0.000004,225.349
"Australia","Singapore",0.018247,1070496
"Australia","Slovakia",0.000050,2926.06
"Australia","Slovenia",0.000286,16790.44
"Australia","SolomonIslands",0.000066,3872.726
"Australia","SouthAfrica",0.002073,121616.1
"Australia","Spain",0.006878,403539.7
"Australia","SriLanka",0.000308,18042.7
"Australia","Sudan",0.000007,411.005
"Australia","Suriname",0.000001,81.599
"Australia","Swaziland",0.000030,1738.553
"Australia","Sweden",0.006215,364622.8
"Australia","Switzerland",0.021971,1289031
"Australia","SyrianArabRepublic",0.000000,5.336
"Australia","TFYRofMacedonia",0.000002,142.977
"Australia","TanzaniaUnitedRepublic",0.000050,2957.305
"Australia","Thailand",0.014536,852818.4
"Australia","TimorLeste",0.000017,1021.73
"Australia","Tonga",0.000013,767.71
"Australia","TrinidadandTobago",0.000063,3700.506
