source,target,weight,flow
"Afghanistan","Australia",0.000002,140.263
"Afghanistan","Austria",0.000004,295.011
"Afghanistan","Bahrain",0.000001,41.087
"Afghanistan","Bangladesh",0.000010,742.645
"Afghanistan","Belarus",0.000006,457.802
"Afghanistan","Belgium",0.000004,293.449
"Afghanistan","Brazil",0.000003,241.54
"Afghanistan","Bulgaria",0.000002,176.323
"Afghanistan","Canada",0.000009,656.62
"Afghanistan","China",0.001097,81899.66
"Afghanistan","ChinaHongKongSAR",0.000011,837.217
"Afghanistan","ChinaTaiwanProvince",0.000000,4.005
"Afghanistan","Colombia",0.000001,79.938
"Afghanistan","CzechRepublic",0.000005,395.107
"Afghanistan","Denmark",0.000002,120.674
"Afghanistan","Egypt",0.000005,344.27
"Afghanistan","Finland",0.000005,362.414
"Afghanistan","France",0.000055,4136.49
"Afghanistan","Georgia",0.000000,8.418
"Afghanistan","Germany",0.000062,4611.788
"Afghanistan","Greece",0.000000,5.114
"Afghanistan","Hungary",0.000001,63.803
"Afghanistan","India",0.002390,178362.4
"Afghanistan","Indonesia",0.000028,2086.279
"Afghanistan","Ireland",0.000000,17.388
"Afghanistan","Italy",0.000018,1369.151
"Afghanistan","Japan",0.000089,6641.835
"Afghanistan","Jordan",0.000000,3.579
"Afghanistan","Kazakhstan",0.000272,20326.57
"Afghanistan","Kenya",0.000010,745.7339
"Afghanistan","KoreaRepublicof",0.000154,11523.53
"Afghanistan","Kyrgyzstan",0.000030,2235.961
"Afghanistan","Lebanon",0.000000,27.963
"Afghanistan","Netherlands",0.000016,1203.719
"Afghanistan","NewZealand",0.000000,19.546
"Afghanistan","Nigeria",0.000000,29.71
"Afghanistan","Norway",0.000001,66.019
"Afghanistan","Pakistan",0.003987,297618.4
"Afghanistan","Poland",0.000004,307.628
"Afghanistan","RussianFederation",0.000437,32615.38
"Afghanistan","Singapore",0.000013,991.418
"Afghanistan","Slovakia",0.000000,1.368
"Afghanistan","SouthAfrica",0.000002,181.09
"Afghanistan","Spain",0.000006,461.217
"Afghanistan","SriLanka",0.000001,60.161
"Afghanistan","Sweden",0.000006,446.96
"Afghanistan","Switzerland",0.000013,988.693
"Afghanistan","TFYRofMacedonia",0.000000,3.205
"Afghanistan","Thailand",0.000033,2433.115
"Afghanistan","Tunisia",0.000001,64.468
"Afghanistan","Turkey",0.000793,59196.15
"Afghanistan","UnitedArabEmirates",0.000159,11854.56
"Afghanistan","UnitedKingdom",0.000018,1353.832
"Afghanistan","UnitedStates",0.000198,14800.21
"Albania","Algeria",0.000003,243.96
"Albania","Australia",0.000000,33.819
"Albania","Austria",0.000200,14908.17
"Albania","Belgium",0.000040,3003.533
"Albania","BosniaandHerzegovina",0.000123,9212.39
"Albania","Brazil",0.000002,119.938
"Albania","Bulgaria",0.000298,22248.35
"Albania","Cameroon",0.000000,.159
"Albania","Canada",0.000032,2402.066
"Albania","China",0.002165,161561.5
"Albania","ChinaHongKongSAR",0.000001,38.139
"Albania","ChinaTaiwanProvince",0.000013,990.301
"Albania","CostaRica",0.000000,9.294
"Albania","CotedIvoire",0.000000,9.882
"Albania","Croatia",0.000053,3929.801
"Albania","Cyprus",0.000000,6.329
"Albania","CzechRepublic",0.000059,4380.334
"Albania","Denmark",0.000004,299.884
"Albania","DominicanRepublic",0.000002,119.723
"Albania","Egypt",0.000075,5597.712
"Albania","Estonia",0.000000,32.491
"Albania","Finland",0.000010,749.557
"Albania","France",0.000182,13554.77
"Albania","Germany",0.000554,41383.86
"Albania","Greece",0.001300,97028.55
"Albania","Hungary",0.000093,6974.576
"Albania","India",0.000226,16841.43
"Albania","Indonesia",0.000014,1012.259
"Albania","Ireland",0.000000,15.696
"Albania","Italy",0.006997,522240.3
"Albania","Japan",0.000024,1779.573
"Albania","KoreaRepublicof",0.000036,2723.283
"Albania","Lithuania",0.000002,136.463
"Albania","Luxembourg",0.000000,5.456
"Albania","Malaysia",0.000005,354.145
"Albania","Montenegro",0.000253,18851.46
"Albania","Morocco",0.000001,53.52
"Albania","Netherlands",0.000149,11155.77
"Albania","Norway",0.000008,570.436
"Albania","Oman",0.000004,286.098
"Albania","Pakistan",0.000022,1664.685
"Albania","Poland",0.000098,7301.475
"Albania","Portugal",0.000031,2284.258
"Albania","Qatar",0.000002,145.042
"Albania","Romania",0.000132,9838.665
"Albania","RussianFederation",0.000051,3822.02
"Albania","SaudiArabia",0.000004,294.943
"Albania","Senegal",0.000004,311.096
"Albania","Serbia",0.000599,44726.86
"Albania","Singapore",0.000003,212.562
"Albania","Slovakia",0.000037,2769.876
"Albania","Slovenia",0.000076,5671.272
"Albania","SouthAfrica",0.000003,219.993
"Albania","Spain",0.000327,24420.95
"Albania","Swaziland",0.000000,9.968
"Albania","Sweden",0.000011,838.99
"Albania","Switzerland",0.000015,1117.932
"Albania","SyrianArabRepublic",0.000001,77.011
"Albania","TFYRofMacedonia",0.000565,42153.77
"Albania","Thailand",0.000026,1925.605
"Albania","Tunisia",0.000004,320.774
"Albania","Turkey",0.001778,132685.9
"Albania","Ukraine",0.000105,7806.638
"Albania","UnitedArabEmirates",0.000010,782.851
"Albania","UnitedKingdom",0.000018,1308.588
"Albania","UnitedStates",0.000052,3899.381
"Algeria","Angola",0.000010,775.59
"Algeria","Australia",0.000009,659.254
"Algeria","Austria",0.000369,27541.43
"Algeria","Belgium",0.001952,145697.7
"Algeria","Benin",0.000000,16.247
"Algeria","Brazil",0.000429,31993.61
"Algeria","BurkinaFaso",0.000000,29.402
"Algeria","Cameroon",0.000001,101.655
"Algeria","Canada",0.000099,7368.759
"Algeria","Chad",0.000000,23.188
"Algeria","China",0.030503,2276739
"Algeria","ChinaHongKongSAR",0.000006,480.649
"Algeria","Colombia",0.000001,106.506
"Algeria","Congo",0.000001,74.358
"Algeria","CotedIvoire",0.000002,166.392
"Algeria","Cuba",0.000000,.816
"Algeria","CzechRepublic",0.000432,32245.89
"Algeria","Egypt",0.002122,158395.1
"Algeria","France",0.008938,667090.3
"Algeria","Gabon",0.000000,24.523
"Algeria","Germany",0.004000,298552.9
"Algeria","Ghana",0.000004,282.35
"Algeria","Guinea",0.000001,90.492
"Algeria","Honduras",0.000000,8.987
"Algeria","India",0.001596,119160.3
"Algeria","Indonesia",0.000228,17051.18
