source,target,weight,flow
"Afghanistan","Australia",0.000001,154.564
"Afghanistan","Austria",0.000003,406.206
"Afghanistan","Bahrain",0.000003,458.083
"Afghanistan","Bangladesh",0.000001,75.54
"Afghanistan","Belgium",0.000027,3884.493
"Afghanistan","Brazil",0.000000,2.207
"Afghanistan","Bulgaria",0.000005,739.69
"Afghanistan","Canada",0.000005,717.74
"Afghanistan","China",0.000543,79365.02
"Afghanistan","ChinaTaiwanProvince",0.000002,317.237
"Afghanistan","Colombia",0.000000,54.029
"Afghanistan","CzechRepublic",0.000024,3542.536
"Afghanistan","Denmark",0.000005,723.0861
"Afghanistan","Egypt",0.000001,126.709
"Afghanistan","Finland",0.000002,269.975
"Afghanistan","France",0.000008,1188.349
"Afghanistan","Georgia",0.000000,46.195
"Afghanistan","Germany",0.000057,8343.257
"Afghanistan","Hungary",0.000000,53.093
"Afghanistan","India",0.001349,197152
"Afghanistan","Indonesia",0.000017,2469.791
"Afghanistan","Ireland",0.000000,14.278
"Afghanistan","Italy",0.000006,828.953
"Afghanistan","Japan",0.000004,539.438
"Afghanistan","Jordan",0.000000,11.742
"Afghanistan","Kazakhstan",0.000006,929.118
"Afghanistan","Kenya",0.000001,208.104
"Afghanistan","KoreaRepublicof",0.000003,470.842
"Afghanistan","Kyrgyzstan",0.000012,1806.731
"Afghanistan","Lithuania",0.000001,134.367
"Afghanistan","Malaysia",0.000002,332.437
"Afghanistan","Netherlands",0.000021,3032.378
"Afghanistan","NewZealand",0.000000,26.785
"Afghanistan","Norway",0.000001,200.465
"Afghanistan","Pakistan",0.000388,56687.7
"Afghanistan","Philippines",0.000009,1298.012
"Afghanistan","Poland",0.000001,104.754
"Afghanistan","Romania",0.000000,6.97
"Afghanistan","RussianFederation",0.000020,2902.97
"Afghanistan","Serbia",0.000000,2.288
"Afghanistan","Singapore",0.000004,628.212
"Afghanistan","Slovakia",0.000000,23.315
"Afghanistan","SouthAfrica",0.000000,17.357
"Afghanistan","Spain",0.000004,550.546
"Afghanistan","SriLanka",0.000003,400.853
"Afghanistan","Sweden",0.000002,286.394
"Afghanistan","Switzerland",0.000006,911.024
"Afghanistan","TFYRofMacedonia",0.000001,176.75
"Afghanistan","Thailand",0.000014,2047.05
"Afghanistan","Turkey",0.000132,19345.56
"Afghanistan","Ukraine",0.000011,1536.665
"Afghanistan","UnitedArabEmirates",0.000282,41209.66
"Afghanistan","UnitedKingdom",0.000020,2857.084
"Afghanistan","UnitedStates",0.000965,140995.7
"Albania","Argentina",0.000002,263.792
"Albania","Australia",0.000005,664.02
"Albania","Austria",0.000040,5840.889
"Albania","Belarus",0.000030,4414.695
"Albania","Belgium",0.000025,3604.811
"Albania","BosniaandHerzegovina",0.000012,1739.914
"Albania","Brazil",0.000002,265.967
"Albania","Bulgaria",0.000073,10687.91
"Albania","Cameroon",0.000000,.851
"Albania","Canada",0.000031,4476.015
"Albania","China",0.000960,140214.7
"Albania","ChinaHongKongSAR",0.000008,1181.689
