source,target,weight,flow
"Afghanistan","Australia",,
"Afghanistan","Bulgaria",0.00,27.166
"Afghanistan","Canada",0.00,1665.596
"Afghanistan","ChinaHongKongSAR",0.00,2.199
"Afghanistan","ChinaTaiwanProvince",0.00,12.935
"Afghanistan","Denmark",0.00,145.533
"Afghanistan","France",0.00,38.127
"Afghanistan","Germany",0.00,7498.897
"Afghanistan","India",0.00,30745.97
"Afghanistan","Italy",0.00,395.784
"Afghanistan","Japan",0.00,625.904
"Afghanistan","Malaysia",0.00,13.324
"Afghanistan","Netherlands",0.00,508.103
"Afghanistan","Pakistan",0.00,10940.84
"Afghanistan","Poland",0.00,9.473
"Afghanistan","Romania",0.00,7135.742
"Afghanistan","Serbia",0.00,12139.31
"Afghanistan","Singapore",0.00,5.061
"Afghanistan","Spain",0.00,237.861
"Afghanistan","Sweden",0.00,26.697
"Afghanistan","Switzerland",0.00,16.132
"Afghanistan","Turkey",0.00,213.243
"Afghanistan","UnitedArabEmirates",0.00,2284.472
"Afghanistan","UnitedKingdom",0.00,542.655
"Afghanistan","UnitedStates",0.00,132570.4
"Albania","BosniaandHerzegovina",0.00,12294.38
"Albania","Brazil",0.00,248.045
"Albania","Bulgaria",0.00,3364.917
"Albania","Cameroon",0.00,36.845
"Albania","Canada",0.00,277.844
"Albania","ChinaTaiwanProvince",0.00,223.546
"Albania","Cyprus",0.00,46.769
"Albania","Finland",0.00,102.771
"Albania","France",0.00,3792.956
"Albania","Germany",0.00,13695.58
"Albania","Greece",0.00,24268.55
"Albania","Guinea",0.00,7.553
"Albania","Hungary",0.00,1686.329
"Albania","Iceland",0.00,140.708
"Albania","India",0.00,703.309
"Albania","IranIslamicRepublic",0.00,752.311
"Albania","Ireland",0.00,103.744
"Albania","Italy",0.00,47520.59
"Albania","Japan",0.00,1639.65
"Albania","Jordan",0.00,318.099
"Albania","Kyrgyzstan",0.00,15.411
"Albania","Latvia",0.00,98.127
"Albania","Luxembourg",0.00,849.242
"Albania","Malaysia",0.00,77.924
"Albania","Malta",0.00,23437.75
"Albania","Montenegro",0.00,10010.9
"Albania","Netherlands",0.00,8238.357
"Albania","Norway",0.00,66.983
"Albania","Poland",0.00,410.14
"Albania","Portugal",0.00,32.495
"Albania","Qatar",0.00,40.889
"Albania","RepublicofMoldova",0.00,434.42
"Albania","Romania",0.00,3022.623
"Albania","SaudiArabia",0.00,1278.459
"Albania","Senegal",0.00,38.865
"Albania","Serbia",0.00,4409.224
"Albania","Slovenia",0.00,379.529
"Albania","SouthAfrica",0.00,13.556
"Albania","Spain",0.00,29294.59
"Albania","Sweden",0.00,98.763
"Albania","Switzerland",0.00,3306.634
"Albania","TFYRofMacedonia",0.00,10238.61
"Albania","Turkey",0.00,14408.15
"Albania","Turkmenistan",0.00,69.474
"Albania","TurksandCaicos",0.00,60.74
"Albania","UnitedArabEmirates",0.00,4597.074
"Albania","UnitedKingdom",0.00,7462.327
"Albania","UnitedStates",0.00,2981.13
"AmericanSamoa","Australia",0.00,677.605
"AmericanSamoa","France",0.00,41.816
"AmericanSamoa","Germany",0.00,22.877
"AmericanSamoa","Malaysia",0.00,24.764
"AmericanSamoa","NewZealand",0.00,46.678
"AmericanSamoa","Pakistan",0.00,.088
"AmericanSamoa","Spain",0.00,1.139
"AmericanSamoa","UnitedKingdom",0.00,3.447
"Andorra","Brazil",0.00,153.068
"Andorra","Bulgaria",0.00,.71
"Andorra","ChinaTaiwanProvince",0.00,4.351
"Andorra","France",0.00,473.354
"Andorra","Germany",0.00,1748.71
"Andorra","Ireland",0.00,.001
"Andorra","Italy",0.00,343.658
"Andorra","Mexico",0.00,64.084
"Andorra","Portugal",0.00,8.487
"Andorra","Spain",0.00,4700.394
"Andorra","Switzerland",0.00,233.097
"Andorra","Turkey",0.00,63.37
"Andorra","UnitedKingdom",0.00,10.472
"Andorra","UnitedStates",0.00,40.56
"Angola","Australia",0.00,85.939
"Angola","Botswana",0.00,.22
"Angola","Bulgaria",0.00,1.747
"Angola","Canada",0.00,251.761
"Angola","ChinaHongKongSAR",0.00,1.4
"Angola","ChinaTaiwanProvince",0.00,30.57
"Angola","Denmark",0.00,196.564
"Angola","France",0.00,2667.164
"Angola","Germany",0.00,57713.74
"Angola","Ireland",0.00,5.336
"Angola","Italy",0.00,1302.687
"Angola","Japan",0.00,2800.498
"Angola","Malaysia",0.00,106.058
"Angola","Namibia",0.00,179.901
"Angola","Netherlands",0.00,6739.914
"Angola","Poland",0.00,10.27
"Angola","Portugal",0.00,.122
"Angola","Serbia",0.00,2387.957
"Angola","Singapore",0.00,3662.789
"Angola","SouthAfrica",0.00,942.154
"Angola","Spain",0.00,1358.742
"Angola","UnitedKingdom",0.00,866.3849
