source,target,weight,flow
"Afghanistan","Australia",0.000004,854.598
"Afghanistan","Austria",0.000044,9134.273
"Afghanistan","Azerbaijan",0.000013,2638.076
"Afghanistan","Bangladesh",0.000001,166.98
"Afghanistan","Belgium",0.000012,2601.848
"Afghanistan","Brazil",0.000001,313.502
"Afghanistan","Bulgaria",0.000002,411.593
"Afghanistan","Canada",0.000019,3922.458
"Afghanistan","China",0.000109,22781.75
"Afghanistan","Croatia",0.000001,122.621
"Afghanistan","Cyprus",0.000000,92.328
"Afghanistan","CzechRepublic",0.000014,2873.249
"Afghanistan","Denmark",0.000037,7793.849
"Afghanistan","Egypt",0.000006,1172.722
"Afghanistan","Finland",0.000005,1028.404
"Afghanistan","France",0.000076,15872.9
"Afghanistan","Germany",0.000390,81740.11
"Afghanistan","Greece",0.000003,528.009
"Afghanistan","Hungary",0.000006,1168.501
"Afghanistan","India",0.000112,23389.12
"Afghanistan","Indonesia",0.000004,808.857
"Afghanistan","IranIslamicRepublic",0.000213,44648.24
"Afghanistan","Ireland",0.000012,2547.952
"Afghanistan","Italy",0.000065,13644.9
"Afghanistan","Japan",0.000158,33094.1
"Afghanistan","Kazakhstan",0.000033,6841.485
"Afghanistan","KoreaRepublicof",0.000040,8398.807
"Afghanistan","Lithuania",0.000043,9082.366
"Afghanistan","Luxembourg",0.000003,608.751
"Afghanistan","Madagascar",0.000000,10.774
"Afghanistan","Malaysia",0.000012,2490.39
"Afghanistan","Malta",0.000002,434.884
"Afghanistan","Mexico",0.000001,248.629
"Afghanistan","Netherlands",0.000031,6452.707
"Afghanistan","NewZealand",0.000001,281.389
"Afghanistan","Norway",0.000003,533.963
"Afghanistan","Pakistan",0.000154,32328.5
"Afghanistan","Philippines",0.000000,12.515
"Afghanistan","Poland",0.000003,587.204
"Afghanistan","Qatar",0.000005,960.984
"Afghanistan","Romania",0.000000,23.286
"Afghanistan","RussianFederation",0.000173,36207.8
"Afghanistan","SaudiArabia",0.000000,75.002
"Afghanistan","Singapore",0.000007,1418.984
"Afghanistan","SouthAfrica",0.000024,4980.436
"Afghanistan","Spain",0.000024,5101.105
"Afghanistan","Sweden",0.000001,236.135
"Afghanistan","Switzerland",0.000009,1908.121
"Afghanistan","Thailand",0.000268,56108.84
"Afghanistan","Tunisia",0.000004,820.299
"Afghanistan","Turkey",0.000148,30899.61
"Afghanistan","UnitedArabEmirates",0.000238,49936.24
"Afghanistan","UnitedKingdom",0.000049,10254.6
"Afghanistan","UnitedStates",0.000867,181626.4
"Albania","Australia",0.000002,322.861
"Albania","Austria",0.000106,22187.91
"Albania","Belgium",0.000016,3248.294
"Albania","BosniaandHerzegovina",0.000001,174.372
"Albania","Brazil",0.000009,1920.247
"Albania","Bulgaria",0.000055,11558.04
"Albania","Canada",0.000016,3336.133
"Albania","China",0.000143,29854.78
"Albania","ChinaHongKongSAR",0.000004,896.54
"Albania","CostaRica",0.000000,25.566
"Albania","Croatia",0.000035,7358.496
"Albania","CzechRepublic",0.000030,6244.969
"Albania","Denmark",0.000010,2145.833
"Albania","Egypt",0.000003,568.916
"Albania","Finland",0.000012,2580.285
"Albania","France",0.000050,10374.11
"Albania","Germany",0.000381,79768.19
"Albania","Greece",0.000223,46696.77
"Albania","Honduras",0.000006,1268.105
"Albania","Hungary",0.000037,7825.355
"Albania","India",0.000003,552.471
"Albania","IranIslamicRepublic",0.000001,281.397
"Albania","Ireland",0.000001,262.511
"Albania","Israel",0.000001,169.336
"Albania","Italy",0.000999,209241.5
"Albania","Japan",0.000003,549.9771
"Albania","Jordan",0.000000,9.129
"Albania","KoreaRepublicof",0.000017,3537.012
"Albania","Mali",0.000000,87.313
"Albania","Mexico",0.000001,161.287
"Albania","Netherlands",0.000054,11229.68
"Albania","NewZealand",0.000000,19.215
"Albania","Norway",0.000004,811.456
"Albania","Poland",0.000011,2231.82
"Albania","Romania",0.000008,1675.383
"Albania","SaudiArabia",0.000003,625.288
"Albania","Senegal",0.000000,30.41
