source,target,weight,flow
"Afghanistan","Australia",0.000132,3042.772
"Afghanistan","Cambodia",0.000000,3.68
"Afghanistan","Canada",0.000026,599.755
"Afghanistan","ChinaTaiwanProvince",0.000000,7.657
"Afghanistan","Denmark",0.000002,51.391
"Afghanistan","Germany",0.000512,11810.88
"Afghanistan","India",0.000079,1811.405
"Afghanistan","Japan",0.000121,2792.823
"Afghanistan","Malaysia",0.000002,35.108
"Afghanistan","Netherlands",0.000010,239.128
"Afghanistan","Pakistan",0.000004,95.798
"Afghanistan","Philippines",0.000000,1.22
"Afghanistan","Spain",0.000074,1704.184
"Afghanistan","Thailand",0.000003,66.249
"Afghanistan","Ukraine",0.000011,257.493
"Afghanistan","UnitedArabEmirates",0.000039,891.53
"Afghanistan","UnitedKingdom",0.000033,770.4
"Afghanistan","UnitedStates",0.002188,50464.18
"Albania","Austria",0.000086,1984.923
"Albania","Belgium",0.000034,788.508
"Albania","BosniaandHerzegovina",0.000001,24.632
"Albania","Brazil",0.000001,14.719
"Albania","Canada",0.000011,249.851
"Albania","ChinaHongKongSAR",0.000001,24.585
"Albania","Denmark",0.000020,451.716
"Albania","France",0.000001,22.397
"Albania","Germany",0.000372,8591.994
"Albania","Greece",0.000053,1231.456
"Albania","Hungary",0.000007,169.807
"Albania","Israel",0.000117,2691.001
"Albania","Malaysia",0.000002,36.801
"Albania","Netherlands",0.000067,1546.53
"Albania","Spain",0.000001,13.671
"Albania","Sweden",0.000122,2816.623
"Albania","Switzerland",0.000006,131.485
"Albania","TFYRofMacedonia",0.000002,47.902
"Albania","Ukraine",0.000000,4.522
"Albania","UnitedKingdom",0.000233,5364.501
"Albania","UnitedStates",0.000033,753.499
"Algeria","NewZealand",0.000000,3.558
"AmericanSamoa","Australia",0.000110,2529.66
"AmericanSamoa","ChinaHongKongSAR",0.000008,187.504
"AmericanSamoa","ChinaTaiwanProvince",0.000002,46.342
"AmericanSamoa","Fiji",0.000003,78.13901
"AmericanSamoa","India",0.000066,1524.025
"AmericanSamoa","Malaysia",0.000013,304.11
"AmericanSamoa","Samoa",0.000509,11734.42
"AmericanSamoa","SouthAfrica",0.000000,.02
"AmericanSamoa","Thailand",0.000006,132.831
"AmericanSamoa","Tonga",0.000047,1092.093
"AmericanSamoa","UnitedKingdom",0.000043,1000.334
"Andorra","Austria",0.000007,151.855
"Andorra","Canada",0.000001,12.458
"Andorra","France",0.000054,1249.391
"Andorra","Germany",0.000011,262.821
"Andorra","Italy",0.000027,627.107
"Andorra","Malaysia",0.000001,12.703
"Andorra","Netherlands",0.000004,81.574
"Andorra","Portugal",0.000001,16.82
"Andorra","Spain",0.000107,2477.086
"Andorra","Switzerland",0.000000,2.625
"Andorra","UnitedKingdom",0.000010,219.639
"Andorra","UnitedStates",0.000004,103.408
"Angola","Austria",0.000006,149.312
"Angola","Belgium",0.000033,751.993
"Angola","Botswana",0.000000,9.474
"Angola","Canada",0.000039,890.472
"Angola","ChinaHongKongSAR",0.000007,166.428
"Angola","CotedIvoire",0.000004,91.84
"Angola","Denmark",0.000001,14.46
"Angola","Germany",0.000244,5617.852
"Angola","India",0.000007,154.413
"Angola","Malaysia",0.000011,254.202
"Angola","Mexico",0.000001,16.583
"Angola","Namibia",0.000009,204.887
"Angola","Portugal",0.000442,10194.98
"Angola","Singapore",0.000072,1668.416
"Angola","Spain",0.000064,1477.012
"Angola","Thailand",0.000000,8.900001
"Angola","UnitedKingdom",0.000207,4777.558
"Angola","UnitedStates",0.001117,25762.39
"Anguilla","Canada",0.000004,84.78
"Anguilla","Chile",0.000000,.002
"Anguilla","Germany",0.000004,82.362
"Anguilla","Israel",0.000001,18.072
"Anguilla","SaintLucia",0.000001,22.339
"Anguilla","UnitedKingdom",0.000005,105.902
"Anguilla","UnitedStates",0.000233,5380.774
"AntiguaandBarbuda","Aruba",0.000014,312.513
"AntiguaandBarbuda","Barbados",0.000002,44.471
"AntiguaandBarbuda","Canada",0.000173,3993.683
