source,target,weight,flow
"Afghanistan","Australia",0.000008,2109.684
"Afghanistan","Austria",0.000002,545.022
"Afghanistan","Bahrain",0.000000,20.93
"Afghanistan","Bulgaria",0.000032,8807.183
"Afghanistan","Canada",0.000019,5137.954
"Afghanistan","China",0.000183,50827.3
"Afghanistan","ChinaTaiwanProvince",0.000006,1685.997
"Afghanistan","Colombia",0.000001,397.265
"Afghanistan","Croatia",0.000000,76.195
"Afghanistan","CzechRepublic",0.000006,1797.496
"Afghanistan","Denmark",0.000018,4868.362
"Afghanistan","Ecuador",0.000000,76.459
"Afghanistan","Egypt",0.000001,362.593
"Afghanistan","Estonia",0.000002,571.146
"Afghanistan","Finland",0.000009,2387.727
"Afghanistan","France",0.000052,14508.98
"Afghanistan","Germany",0.000095,26267.86
"Afghanistan","Greece",0.000001,139.03
"Afghanistan","Guatemala",0.000000,29.391
"Afghanistan","India",0.000103,28511.36
"Afghanistan","Indonesia2002",0.000014,3842.636
"Afghanistan","IranIslamicRepublic",0.000044,12296.37
"Afghanistan","Ireland",0.000003,829.827
"Afghanistan","Italy",0.000009,2530.703
"Afghanistan","Japan",0.000309,85622.78
"Afghanistan","Jordan",0.000001,235.792
"Afghanistan","Kazakhstan",0.000011,3025.651
"Afghanistan","KoreaRepublicof",0.000078,21661.99
"Afghanistan","Kuwait",0.000003,767.888
"Afghanistan","Kyrgyzstan",0.000182,50609.44
"Afghanistan","Latvia",0.000001,324.891
"Afghanistan","Lithuania",0.000000,26.053
"Afghanistan","Malaysia",0.000053,14613.74
"Afghanistan","Malta",0.000016,4459.399
"Afghanistan","Mexico",0.000023,6253.972
"Afghanistan","Netherlands",0.000011,2938.13
"Afghanistan","Norway",0.000002,680.5909
"Afghanistan","Pakistan",0.000137,37945.59
"Afghanistan","Poland",0.000008,2271.379
"Afghanistan","Portugal",0.000001,250.608
"Afghanistan","Qatar",0.000000,23.08
"Afghanistan","Romania",0.000001,150.498
"Afghanistan","RussianFederation",0.000110,30639.22
"Afghanistan","SaudiArabia",0.000005,1257.214
"Afghanistan","Singapore",0.000063,17444.25
"Afghanistan","Slovakia",0.000004,1226.98
"Afghanistan","Slovenia",0.000005,1373.073
"Afghanistan","Spain",0.000012,3293.802
"Afghanistan","Sweden",0.000001,227.419
"Afghanistan","Switzerland",0.000008,2198.282
"Afghanistan","SyrianArabRepublic",0.000000,112.418
"Afghanistan","Thailand",0.000051,14208.06
"Afghanistan","Turkey",0.000002,558.578
"Afghanistan","Turkmenistan",0.000098,27053.63
"Afghanistan","Ukraine",0.000010,2704.784
"Afghanistan","UnitedKingdom",0.000048,13383.95
"Afghanistan","UnitedStates",0.000038,10664.38
"Albania","Australia",0.000000,76.346
"Albania","Austria",0.000060,16534.48
"Albania","Bolivia",0.000000,95.64
"Albania","Brazil",0.000001,298.92
"Albania","Bulgaria",0.000170,47064.79
"Albania","Canada",0.000007,1943.806
"Albania","ChinaHongKongSAR",0.000000,138.972
"Albania","Colombia",0.000001,184.695
"Albania","CostaRica",0.000000,14.14
"Albania","Croatia",0.000017,4711.322
"Albania","Cyprus",0.000005,1411.661
"Albania","CzechRepublic",0.000023,6516.596
"Albania","Denmark",0.000030,8390.896
"Albania","Egypt",0.000013,3611.966
"Albania","ElSalvador",0.000001,216.196
"Albania","Finland",0.000001,295.794
"Albania","France",0.000068,18918.25
"Albania","Germany",0.000213,59050.27
"Albania","Greece",0.001052,291899.7
"Albania","Hungary",0.000021,5882.431
"Albania","IranIslamicRepublic",0.000001,412.052
"Albania","Ireland",0.000002,651.56
"Albania","Italy",0.001477,409635
"Albania","Japan",0.000012,3383.828
"Albania","Jordan",0.000001,171.172
"Albania","Kuwait",0.000000,62.592
"Albania","Lebanon",0.000001,333.457
"Albania","Malaysia",0.000002,430.778
"Albania","Malta",0.000008,2219.863
"Albania","Morocco",0.000002,622.011
"Albania","Netherlands",0.000038,10551.06
"Albania","NewZealand",0.000006,1668.798
"Albania","Norway",0.000002,440.947
"Albania","Pakistan",0.000000,11.454
"Albania","Poland",0.000004,1131.521
"Albania","Portugal",0.000002,688.469
"Albania","RepublicofMoldova",0.000002,519.039
"Albania","Romania",0.000026,7200.289
"Albania","RussianFederation",0.000004,1133.94
"Albania","SaudiArabia",0.000000,118.849
"Albania","SerbiaandMontenegro",0.000031,8707.792
"Albania","Slovakia",0.000004,1183.567
"Albania","Slovenia",0.000033,9234.942
"Albania","Spain",0.000007,1806.014
"Albania","Sweden",0.000015,4125.084
"Albania","Switzerland",0.000049,13461.52
"Albania","TFYRofMacedonia",0.000117,32367.83
"Albania","Thailand",0.000004,1167.557
"Albania","Turkey",0.000226,62592.77
"Albania","Ukraine",0.000001,180.409
"Albania","UnitedKingdom",0.000045,12547.34
"Albania","UnitedStates",0.000074,20393.64
"Algeria","Argentina",0.000273,75819.48
"Algeria","Austria",0.000709,196556.7
"Algeria","Bahrain",0.000013,3601.969
"Algeria","Bangladesh",0.000013,3701.537
"Algeria","Belgium",0.002613,724796.4
"Algeria","Botswana",0.000000,13.861
"Algeria","Brazil",0.001167,323674.1
"Algeria","Bulgaria",0.000314,87003.42
"Algeria","CaboVerde",0.000002,428.177
"Algeria","Canada",0.002219,615569.5
"Algeria","Chad",0.000010,2760.966
"Algeria","China",0.000236,65496.95
"Algeria","ChinaTaiwanProvince",0.000047,12906.26
"Algeria","Congo",0.000002,443.567
"Algeria","Croatia",0.000072,20062.52
"Algeria","Cuba",0.000169,46986.46
"Algeria","Cyprus",0.000014,3805.223
"Algeria","CzechRepublic",0.000084,23167.76
"Algeria","Denmark",0.000064,17679.06
