source,target,weight,flow
"Afghanistan","Slovenia",0.000262,584.614
"Afghanistan","UnitedStates",0.000216,482.305
"Albania","Croatia",0.000059,131.807
"Albania","CzechRepublic",0.000054,119.799
"Albania","Germany",0.000272,605.5
"Albania","Greece",0.020957,46699.8
"Albania","Hungary",0.000047,104.896
"Albania","Netherlands",0.000546,1216.417
"Albania","SerbiaandMontenegro",0.001076,2398.627
"Albania","Slovakia",0.000051,113.023
"Albania","Slovenia",0.000171,382.178
"Albania","TFYRofMacedonia",0.001785,3977.252
"Albania","Ukraine",0.000057,127.036
"Algeria","Belgium",0.001265,2819.531
"Algeria","Canada",0.000047,104.015
"Algeria","France",0.005302,11814.14
"Algeria","Germany",0.001262,2811.212
"Algeria","Norway",0.000008,17.849
"Algeria","Sweden",0.000185,411.27
"Algeria","Tunisia",0.002147,4783.421
"Algeria","UnitedKingdom",0.001624,3617.874
"Andorra","Belgium",0.000232,517.541
"Andorra","CzechRepublic",0.000003,6.475
"Andorra","France",0.010610,23642.99
"Andorra","Luxembourg",0.000030,67.09
"Andorra","Netherlands",0.002424,5402.43
"Andorra","Spain",0.017452,38890.05
"Andorra","Switzerland",0.001466,3266.712
"Angola","Congo",0.000006,13.394
"Angola","Namibia",0.026218,58423.92
"Angola","Netherlands",0.001955,4355.411
"Angola","SouthAfrica",0.021040,46885.68
"Anguilla","SaintKittsandNevis",0.000009,19.911
"Anguilla","Ukraine",0.000158,352.303
"AntiguaandBarbuda","Dominica",0.000020,43.701
"AntiguaandBarbuda","Grenada",0.000003,7.794
"AntiguaandBarbuda","Portugal",0.000004,9.169001
"AntiguaandBarbuda","SaintKittsandNevis",0.000049,108.877
"AntiguaandBarbuda","SaintLucia",0.000476,1060.314
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000010,21.406
"AntiguaandBarbuda","UnitedKingdom",0.000775,1726.15
"AntiguaandBarbuda","UnitedStates",0.000891,1984.989
"Argentina","Australia",0.000321,715.541
"Argentina","Austria",0.000041,92.13
"Argentina","Barbados",0.000124,277.376
"Argentina","Belgium",0.006042,13464.41
"Argentina","Bolivia",0.002863,6378.903
"Argentina","Brazil",0.030667,68336.57
"Argentina","Chile",0.007287,16239.01
"Argentina","ChinaHongKongSAR",0.000092,205.865
"Argentina","Colombia",0.000251,558.355
"Argentina","CostaRica",0.000081,180.903
"Argentina","Cuba",0.000163,362.887
"Argentina","Denmark",0.000343,764.693
"Argentina","Finland",0.000147,326.778
"Argentina","France",0.009968,22212.71
"Argentina","Germany",0.006902,15381.17
"Argentina","Greece",0.000354,789.472
"Argentina","Honduras",0.000015,33.457
"Argentina","Ireland",0.000200,446.064
"Argentina","Israel",0.000074,164.119
"Argentina","Italy",0.001404,3129.707
"Argentina","Jamaica",0.000026,57.774
"Argentina","Japan",0.006374,14204.52
"Argentina","Malaysia",0.000010,21.532
"Argentina","Mexico",0.001214,2704.303
"Argentina","Netherlands",0.003417,7615.118
"Argentina","Norway",0.000172,383.641
"Argentina","Panama",0.000181,402.865
"Argentina","Paraguay",0.020834,46426.62
"Argentina","Peru",0.000309,688.19
"Argentina","Portugal",0.000778,1733.092
"Argentina","RussianFederation",0.000125,278.008
"Argentina","Singapore",0.000154,343.427
"Argentina","Slovenia",0.000029,63.593
"Argentina","SouthAfrica",0.001427,3179.25
"Argentina","Spain",0.015078,33599.75
"Argentina","Sweden",0.000776,1729.796
"Argentina","Switzerland",0.000325,724.092
"Argentina","UnitedKingdom",0.017666,39367.33
"Argentina","UnitedStates",0.017222,38376.14
"Argentina","Uruguay",0.005562,12394.8
"Argentina","Venezuela",0.001464,3261.434
"Armenia","Bulgaria",0.004603,10256.2
"Armenia","CzechRepublic",0.000095,212.342
"Armenia","France",0.000562,1251.857
"Armenia","Georgia",0.000873,1944.344
"Armenia","Germany",0.000172,382.732
"Armenia","IranIslamicRepublic",0.000607,1352.52
"Armenia","Israel",0.000017,38.347
"Armenia","Japan",0.000114,254.317
"Armenia","Kazakhstan",0.000006,12.521
"Armenia","Lithuania",0.000053,119.033
"Armenia","RepublicofMoldova",0.000628,1400.002
"Armenia","RussianFederation",0.012927,28805.77
"Armenia","Turkmenistan",0.000628,1400.046
"Armenia","Ukraine",0.001476,3288.735
"Armenia","UnitedStates",0.000081,179.764
"Aruba","Netherlands",0.003014,6716.851
"Aruba","NetherlandsAntilles",0.001387,3089.669
"Aruba","UnitedKingdom",0.040528,90310.52
"Australia","Austria",0.000128,284.552
"Australia","Bahrain",0.000472,1051.8
"Australia","Barbados",0.000067,148.814
"Australia","Belgium",0.001055,2350.17
"Australia","Brazil",0.003412,7603.991
"Australia","Canada",0.007264,16186.48
"Australia","Chile",0.001124,2503.744
"Australia","China",0.001305,2908.789
"Australia","ChinaHongKongSAR",0.007805,17392.07
"Australia","ChinaMacaoSAR",0.000025,55.553
"Australia","ChinaTaiwanProvince",0.004912,10946.18
"Australia","Cyprus",0.000085,188.336
"Australia","Denmark",0.002331,5194.28
"Australia","Egypt",0.000023,50.497
"Australia","Fiji",0.002351,5239.299
"Australia","Finland",0.000915,2038.865
"Australia","France",0.018379,40954.3
"Australia","Germany",0.004472,9965.527
"Australia","Greece",0.000962,2143.042
"Australia","India",0.000429,955.259
"Australia","Indonesia2002",0.001457,3246.909
"Australia","Ireland",0.013196,29405.03
"Australia","Israel",0.000140,310.975
"Australia","Italy",0.010205,22740.15
"Australia","Japan",0.019820,44166.85
"Australia","Jordan",0.000001,2.163
"Australia","Kenya",0.000051,113.017
"Australia","KoreaRepublicof",0.000931,2074.222
"Australia","Lebanon",0.000243,541.777
"Australia","Luxembourg",0.000027,59.803
"Australia","Malaysia",0.000956,2130.738
"Australia","Mauritius",0.000022,48.96
"Australia","Namibia",0.000006,13.674
"Australia","Netherlands",0.010417,23212.12
"Australia","NewCaledonia",0.002055,4579.459
"Australia","NewZealand",0.029130,64913.34
"Australia","Norway",0.001506,3356.743
"Australia","PapuaNewGuinea",0.003334,7428.733
"Australia","Philippines",0.000591,1316.545
"Australia","Poland",0.000052,114.938
"Australia","RussianFederation",0.002087,4650.02
"Australia","Seychelles",0.000021,46.672
"Australia","Singapore",0.005498,12250.46
"Australia","SolomonIslands",0.001443,3216.302
"Australia","SouthAfrica",0.000503,1121.952
"Australia","Spain",0.000545,1213.697
"Australia","SriLanka",0.000075,168.253
"Australia","Sweden",0.005588,12451.82
"Australia","Switzerland",0.002481,5528.388
"Australia","SyrianArabRepublic",0.000015,33.189
"Australia","TFYRofMacedonia",0.000071,157.331
"Australia","Thailand",0.001877,4182.89
"Australia","Turkey",0.000143,318.671
"Australia","UnitedKingdom",0.098001,218382.3
"Australia","UnitedStates",0.052373,116706.6
"Australia","Vanuatu",0.002867,6388.643
"Australia","VietNam",0.000364,811.152
"Australia","Zimbabwe",0.004096,9126.694
"Austria","Bahamas",0.000002,4.487
"Austria","Belgium",0.001280,2852.799
"Austria","Brazil",0.001260,2808.133
"Austria","Bulgaria",0.000950,2117.216
"Austria","Canada",0.000108,239.658
"Austria","Chile",0.000107,237.783
"Austria","China",0.000144,320.144
"Austria","ChinaHongKongSAR",0.000258,574.222
"Austria","ChinaTaiwanProvince",0.001314,2928.083
"Austria","Croatia",0.007166,15969.09
"Austria","Cyprus",0.000014,32.248
"Austria","CzechRepublic",0.009954,22181.22
"Austria","Denmark",0.001113,2479.137
"Austria","Egypt",0.000013,29.752
"Austria","Estonia",0.000285,635.388
"Austria","Finland",0.000431,961.43
"Austria","France",0.013767,30678.56
"Austria","Germany",0.096149,214254.9
"Austria","Greece",0.002143,4774.796
"Austria","Hungary",0.008183,18235.19
"Austria","India",0.000017,38.644
"Austria","Indonesia2002",0.000016,35.967
"Austria","Ireland",0.001373,3058.532
"Austria","Israel",0.000066,147.144
"Austria","Italy",0.028911,64423.49
"Austria","Japan",0.001622,3614.06
"Austria","Lebanon",0.000039,86.422
"Austria","Luxembourg",0.000116,259.031
"Austria","Malta",0.000339,755.029
"Austria","Mexico",0.000280,623.458
"Austria","Namibia",0.000000,.121
"Austria","Netherlands",0.006791,15132.53
"Austria","NewZealand",0.000007,14.777
"Austria","Paraguay",0.000195,435.476
"Austria","Philippines",0.000638,1421.044
"Austria","Poland",0.002743,6111.358
"Austria","Portugal",0.000399,889.99
"Austria","Romania",0.004190,9337.311
"Austria","RussianFederation",0.013327,29698.5
"Austria","SerbiaandMontenegro",0.000147,326.677
"Austria","Singapore",0.000167,372.078
"Austria","Slovakia",0.002192,4884.861
"Austria","Slovenia",0.011102,24738.52
"Austria","SouthAfrica",0.000388,863.955
"Austria","Spain",0.006565,14630.28
"Austria","Sweden",0.001618,3606.168
"Austria","Switzerland",0.023831,53104.91
"Austria","TFYRofMacedonia",0.001385,3087.169
"Austria","Thailand",0.000029,64.668
"Austria","Turkey",0.001713,3816.22
"Austria","Ukraine",0.003399,7573.864
"Austria","UnitedKingdom",0.008924,19885.92
"Austria","UnitedStates",0.006756,15054.59
"Austria","Venezuela",0.000004,9.52
"Azerbaijan","Estonia",0.000036,79.177
"Azerbaijan","Georgia",0.001318,2936.741
"Azerbaijan","Kyrgyzstan",0.000028,61.622
"Azerbaijan","Latvia",0.000269,599.358
"Azerbaijan","Lithuania",0.000622,1386.972
"Azerbaijan","RussianFederation",0.009793,21823.26
"Azerbaijan","Sweden",0.000037,82.3
"Azerbaijan","Switzerland",0.000006,13.217
"Azerbaijan","Turkmenistan",0.000029,65.687
"Azerbaijan","Ukraine",0.001269,2827.994
"Azerbaijan","UnitedKingdom",0.000034,75.086
"Bahamas","Barbados",0.000047,105.766
"Bahamas","Canada",0.000279,621.261
"Bahamas","France",0.001167,2600.945
"Bahamas","Germany",0.001161,2586.453
"Bahamas","Haiti",0.000006,12.392
"Bahamas","Ireland",0.000591,1317.584
"Bahamas","Netherlands",0.000296,659.076
"Bahamas","RussianFederation",0.000381,848.905
"Bahamas","SouthAfrica",0.000049,109.967
"Bahamas","Spain",0.000163,364.122
"Bahamas","UnitedKingdom",0.005709,12721.1
