source,target,weight,flow
"Afghanistan","China",0.001200,18971.49
"Afghanistan","CzechRepublic",0.000003,43.952
"Afghanistan","Germany",0.000145,2294.685
"Afghanistan","India",0.000120,1901.137
"Afghanistan","IranIslamicRepublic",0.000017,269.794
"Afghanistan","Netherlands",0.000001,23.015
"Afghanistan","Pakistan",0.000471,7439.564
"Afghanistan","Romania",0.000005,71.96
"Afghanistan","RussianFederation",0.000053,841.908
"Afghanistan","Thailand",0.000069,1096.008
"Afghanistan","Turkmenistan",0.000132,2092.614
"Afghanistan","UnitedStates",0.000355,5605.786
"Albania","Austria",0.000087,1370.713
"Albania","Bulgaria",0.000006,94.398
"Albania","Croatia",0.000013,206.534
"Albania","Egypt",0.000021,325.521
"Albania","France",0.000118,1858.039
"Albania","Germany",0.000364,5752.192
"Albania","Greece",0.000311,4910.212
"Albania","Hungary",0.000003,42.731
"Albania","Italy",0.001081,17081.69
"Albania","Netherlands",0.000128,2023.411
"Albania","SerbiaandMontenegro",0.000045,707.189
"Albania","Slovenia",0.000131,2063.542
"Albania","TFYRofMacedonia",0.000144,2281.993
"Albania","Turkey",0.000147,2317.269
"Albania","UnitedKingdom",0.000003,50.614
"Albania","UnitedStates",0.000153,2412.876
"Algeria","Austria",0.000474,7486.554
"Algeria","Belgium",0.000272,4304.923
"Algeria","Bulgaria",0.000013,201.978
"Algeria","ChinaTaiwanProvince",0.000002,35.256
"Algeria","France",0.003130,49474.72
"Algeria","Germany",0.000386,6099.975
"Algeria","Greece",0.000050,785.715
"Algeria","Italy",0.000415,6566.363
"Algeria","Lebanon",0.000003,50.723
"Algeria","Morocco",0.001110,17550.03
"Algeria","Niger",0.000004,64.086
"Algeria","Poland",0.000040,636.541
"Algeria","Portugal",0.000757,11960.67
"Algeria","Romania",0.000033,522.173
"Algeria","RussianFederation",0.000575,9091.688
"Algeria","Spain",0.003068,48487.26
"Algeria","Switzerland",0.000160,2530.672
"Algeria","SyrianArabRepublic",0.000926,14632.45
"Algeria","Tunisia",0.000403,6365.149
"Algeria","Turkey",0.000223,3530.906
"Algeria","UnitedArabEmirates",0.000012,184.595
"Algeria","UnitedKingdom",0.000079,1249.022
"Andorra","France",0.000071,1126.804
"Andorra","Spain",0.000662,10461.7
"Angola","France",0.000087,1371.554
"Angola","Germany",0.000090,1429.352
"Angola","Italy",0.000084,1333.729
"Angola","Namibia",0.000067,1062.641
"Angola","Netherlands",0.000222,3514.699
"Angola","Portugal",0.000179,2834.445
"Angola","SouthAfrica",0.000302,4775.445
"Angola","Spain",0.000033,522.653
"Angola","TanzaniaUnitedRepublic",0.000008,122.202
"Angola","UnitedKingdom",0.000059,936.908
"Anguilla","Ukraine",0.000002,23.755
"Anguilla","Venezuela",0.000011,175.566
"AntiguaandBarbuda","Bahamas",0.000001,13.666
"AntiguaandBarbuda","Barbados",0.000002,30.901
"AntiguaandBarbuda","Ireland",0.000072,1144.037
"AntiguaandBarbuda","SaintKittsandNevis",0.000000,5.416
"AntiguaandBarbuda","UnitedKingdom",0.000045,711.849
"AntiguaandBarbuda","UnitedStates",0.000266,4203.259
"Argentina","Australia",0.000685,10823.1
"Argentina","Austria",0.000024,379.01
"Argentina","Belgium",0.001973,31185.72
