source,target,weight,flow
"Afghanistan","UnitedStates",0.000013,220.856
"Albania","Austria",0.000001,16.369
"Albania","Croatia",0.000039,673.209
"Albania","Germany",0.000000,6.866
"Albania","Greece",0.001303,22318.96
"Albania","Italy",0.000523,8950.811
"Albania","TFYRofMacedonia",0.000184,3148.818
"Albania","Turkey",0.000025,430.593
"Algeria","Austria",0.006637,113674.7
"Algeria","Belgium",0.021264,364211
"Algeria","China",0.000472,8084.537
"Algeria","France",0.073085,1251831
"Algeria","Germany",0.009783,167565.3
"Algeria","Greece",0.001624,27812.75
"Algeria","Italy",0.119457,2046103
"Algeria","Japan",0.004156,71185.89
"Algeria","Malta",0.002627,44989.7
"Algeria","Mauritania",0.001214,20801.85
"Algeria","Netherlands",0.056664,970552.7
"Algeria","Portugal",0.008230,140966.8
"Algeria","SerbiaandMontenegro",0.000521,8926.288
"Algeria","Spain",0.035438,606989.3
"Algeria","Sweden",0.000257,4400.324
"Algeria","Switzerland",0.006152,105366.2
"Algeria","Tunisia",0.005338,91426.47
"Algeria","Turkey",0.018255,312674.5
"Algeria","UnitedKingdom",0.011614,198922.8
"Algeria","UnitedStates",0.091809,1572537
"Andorra","France",0.001923,32930.52
"Andorra","Spain",0.000988,16915.53
"Angola","Argentina",0.000380,6513.442
"Angola","Brazil",0.002473,42366.13
"Angola","Congo",0.000002,36.515
"Angola","CotedIvoire",0.000123,2109.139
"Angola","France",0.005188,88870.17
"Angola","Germany",0.014515,248623.5
"Angola","Italy",0.006392,109492.3
"Angola","Namibia",0.000085,1453.108
"Angola","Netherlands",0.000912,15629.67
"Angola","Portugal",0.000424,7255.11
"Angola","SouthAfrica",0.001431,24516.55
"Angola","Spain",0.004536,77701.15
"Angola","UnitedKingdom",0.001866,31954
"Angola","UnitedStates",0.136169,2332358
"Argentina","Belgium",0.000629,10779.26
"Argentina","Bolivia",0.007881,134986.5
"Argentina","Brazil",0.045318,776227.1
"Argentina","Canada",0.001583,27122.15
"Argentina","Chile",0.036114,618575.1
