source,target,weight,flow
"Albania","Germany",0.000155,145.839
"Albania","Greece",0.003137,2952.97
"Albania","Italy",0.001520,1430.828
"Albania","TFYRofMacedonia",0.000268,252.272
"Albania","Turkey",0.001373,1292.42
"Angola","Namibia",0.006254,5886.513
"Argentina","Australia",0.017561,16527.7
"Argentina","Bolivia",0.008776,8260.081
"Argentina","Brazil",0.139049,130867.3
"Argentina","Chile",0.103283,97206.13
"Argentina","ChinaHongKongSAR",0.000006,5.985
"Argentina","ChinaTaiwanProvince",0.005147,4844.235
"Argentina","Denmark",0.002793,2629.226
"Argentina","France",0.021060,19821.16
"Argentina","Germany",0.003617,3404.792
"Argentina","Greece",0.000417,393.309
"Argentina","India",0.109473,103031.4
"Argentina","Italy",0.000726,683.429
"Argentina","Lebanon",0.001708,1608
"Argentina","Malaysia",0.063732,59981.75
"Argentina","Mexico",0.061856,58216.83
"Argentina","Netherlands",0.069885,65773.25
"Argentina","Paraguay",0.008936,8410.988
"Argentina","Singapore",0.070739,66576.65
"Argentina","SouthAfrica",0.195088,183608.9
"Argentina","Spain",0.027561,25939.8
"Argentina","Turkey",0.079465,74788.92
"Argentina","UnitedStates",0.008096,7620.232
"Argentina","Uruguay",0.013693,12887.8
"Argentina","Venezuela",0.200131,188354.8
"Armenia","Georgia",0.000237,223.041
"Armenia","IranIslamicRepublic",0.003992,3757.502
"Australia","Belgium",0.000120,113.463
"Australia","Brazil",0.007538,7094.599
"Australia","Canada",0.000022,21.534
"Australia","Chile",0.000776,730.5
"Australia","China",0.046784,44031.32
"Australia","ChinaHongKongSAR",0.003704,3486.748
"Australia","ChinaTaiwanProvince",0.024730,23275.04
"Australia","Denmark",0.000066,62.901
"Australia","Fiji",0.003316,3121.618
"Australia","France",0.001186,1116.702
"Australia","Germany",0.001905,1792.842
"Australia","India",0.002175,2047.161
"Australia","Indonesia2002",0.016218,15263.71
"Australia","Italy",0.016730,15745.66
"Australia","Japan",0.013878,13061.49
"Australia","Jordan",0.000048,45.323
"Australia","KoreaRepublicof",0.003288,3095.232
"Australia","Lebanon",0.000551,518.727
"Australia","Malaysia",0.076794,72275.23
"Australia","Mexico",0.000310,291.837
"Australia","Namibia",0.000113,106.281
"Australia","Netherlands",0.001934,1820.876
"Australia","NewZealand",0.009333,8784.605
"Australia","Samoa",0.000405,381.476
"Australia","SaudiArabia",0.000041,39.152
"Australia","Singapore",0.015137,14247.11
"Australia","SouthAfrica",0.027378,25767.71
"Australia","SriLanka",0.003879,3651.192
"Australia","Switzerland",0.000347,326.932
"Australia","Thailand",0.002146,2019.998
"Australia","Turkey",0.000246,231.993
"Australia","UnitedKingdom",0.004368,4111.041
"Australia","UnitedStates",0.006537,6152.246
"Austria","Belgium",0.008198,7715.601
"Austria","Bulgaria",0.000046,43.415
"Austria","Croatia",0.001133,1067.127
"Austria","CzechRepublic",0.004132,3889.039
"Austria","Denmark",0.003329,3133.387
"Austria","France",0.000505,475.422
"Austria","Germany",0.067605,63627.52
"Austria","Greece",0.000352,331.703
"Austria","Hungary",0.003640,3426.549
"Austria","Italy",0.021986,20693.06
"Austria","Netherlands",0.027940,26296.1
"Austria","Poland",0.000123,115.941
"Austria","Romania",0.000828,780.026
"Austria","SerbiaandMontenegro",0.000277,261.308
"Austria","Slovenia",0.007017,6604.093
"Austria","Spain",0.000602,566.979
"Austria","Sweden",0.000253,238.735
"Austria","Switzerland",0.003017,2840.277
"Austria","TFYRofMacedonia",0.000258,243.402
"Austria","Ukraine",0.001198,1127.45
"Austria","UnitedKingdom",0.000458,431.143
"Austria","UnitedStates",0.000093,88.13
"Azerbaijan","Georgia",0.000156,147.071
"Azerbaijan","IranIslamicRepublic",0.001469,1383.136
"Azerbaijan","RussianFederation",0.000317,298.799
"Bahrain","Cyprus",0.000171,161.148
"Bahrain","Indonesia2002",0.000754,710.077
"Bahrain","IranIslamicRepublic",0.015179,14286
"Bahrain","Kuwait",0.004710,4433.137
"Bahrain","Lebanon",0.000108,101.704
"Bahrain","Oman",0.005530,5205.036
"Bahrain","Qatar",0.005521,5196.492
"Bahrain","SaudiArabia",0.026861,25281.04
"Bahrain","UnitedArabEmirates",0.019923,18751.42
"Bangladesh","Germany",0.001872,1762.106
"Bangladesh","Italy",0.000512,482.247
"Bangladesh","SaudiArabia",0.000017,16.154
"Bangladesh","Singapore",0.006509,6126.736
"Bangladesh","Sweden",0.000085,79.96101
"Barbados","Dominica",0.000088,83.4
"Barbados","Netherlands",0.000030,28.967
"Barbados","SaintKittsandNevis",0.000038,35.982
"Barbados","SaintLucia",0.000136,128.143
"Barbados","SaintVincentandGrenadines",0.000017,16.796
"Barbados","UnitedStates",0.000910,857.066
"Belarus","Estonia",0.000442,416.61
"Belarus","Kyrgyzstan",0.000068,64.33
"Belarus","Latvia",0.000193,181.621
"Belarus","Lithuania",0.001907,1794.715
"Belarus","Ukraine",0.028630,26945.51
"Belgium","Brazil",0.004583,4313.96
"Belgium","Chile",0.000033,31.41
"Belgium","China",0.001581,1488.568
"Belgium","ChinaTaiwanProvince",0.000739,695.947
"Belgium","CotedIvoire",0.000942,886.558
"Belgium","Denmark",0.003662,3446.909
"Belgium","Estonia",0.006713,6318.757
"Belgium","Finland",0.002919,2747.183
"Belgium","France",0.369750,347992.5
"Belgium","Germany",0.159533,150145.8
"Belgium","Greece",0.013772,12961.66
"Belgium","Hungary",0.001462,1376.592
"Belgium","Indonesia2002",0.037855,35628.03
"Belgium","Ireland",0.011871,11172.56
"Belgium","Israel",0.000500,471.084
"Belgium","Italy",0.052916,49802.91
"Belgium","Luxembourg",0.007030,6616.968
"Belgium","Malaysia",0.003786,3563.665
"Belgium","Morocco",0.006011,5657.33
"Belgium","Netherlands",0.456004,429170.8
"Belgium","Norway",0.000173,163.15
"Belgium","Philippines",0.007442,7004.636
"Belgium","Portugal",0.000435,409.912
"Belgium","Singapore",0.000153,144.698
"Belgium","SouthAfrica",0.000940,885.034
"Belgium","Spain",0.011891,11191.89
"Belgium","Sudan2011",0.005426,5107.438
"Belgium","Sweden",0.010176,9577.634
"Belgium","Switzerland",0.001355,1275.326
"Belgium","Tunisia",0.000705,663.868
"Belgium","Turkey",0.002291,2156.621
"Belgium","UnitedKingdom",0.067195,63240.92
"Belgium","UnitedStates",0.024018,22605.26
"Belize","UnitedStates",0.002089,1966
"Benin","Togo",0.000377,355.033
"Bolivia","Brazil",0.001023,962.794
"Bolivia","Chile",0.004593,4323.577
"Bolivia","Peru",0.022617,21286.96
"BosniaandHerzegovina","Croatia",0.005016,4721.105
"BosniaandHerzegovina","SerbiaandMontenegro",0.003046,2867.096
"Botswana","France",0.000002,2.517
"Botswana","Malawi",0.000058,55.381
"Botswana","Namibia",0.000002,1.798
"Botswana","SouthAfrica",0.006797,6397.477
"Botswana","Zimbabwe",0.001305,1228.566
"Brazil","Canada",0.000555,523.177
"Brazil","Chile",0.004138,3895.271
"Brazil","CostaRica",0.000139,131.449
"Brazil","France",0.010772,10138.56
"Brazil","Germany",0.034085,32079.71
"Brazil","Greece",0.000158,149.054
"Brazil","Iceland",0.001072,1008.93
"Brazil","India",0.053593,50440.07
"Brazil","Indonesia2002",0.030430,28639.39
"Brazil","Italy",0.011809,11114.27
"Brazil","Japan",0.025451,23953.93
"Brazil","Malaysia",0.010253,9649.84
"Brazil","Mexico",0.006037,5681.903
"Brazil","Netherlands",0.113987,107279.7
"Brazil","Paraguay",0.126289,118858.4
"Brazil","Philippines",0.000210,197.794
"Brazil","Portugal",0.036640,34484.16
"Brazil","Singapore",0.006673,6280.562
"Brazil","SouthAfrica",0.003688,3471.063
"Brazil","Spain",0.028355,26686.73
"Brazil","Switzerland",0.006382,6007.179
"Brazil","UnitedKingdom",0.007348,6916.215
"Brazil","UnitedStates",0.057333,53959.68
"Brazil","Uruguay",0.008988,8459.775
"Brazil","Venezuela",0.007824,7363.947
"BruneiDarussalam","Malaysia",0.003023,2845.935
"BruneiDarussalam","Singapore",0.003347,3150.367
"Bulgaria","Cyprus",0.000001,1.522
"Bulgaria","France",0.000098,92.951
"Bulgaria","Germany",0.005628,5297
"Bulgaria","Greece",0.001491,1403.318
"Bulgaria","Netherlands",0.000634,597.539
"Bulgaria","RepublicofMoldova",0.000175,165.527
"Bulgaria","Romania",0.000996,938
"Bulgaria","RussianFederation",0.001010,951
"Bulgaria","SerbiaandMontenegro",0.000988,930
"Bulgaria","Spain",0.001125,1059.123
"Bulgaria","TFYRofMacedonia",0.000591,556.274
