source,target,weight,flow
"Afghanistan","Bulgaria",0.000004,74.102
"Afghanistan","China",0.000108,2068.989
"Afghanistan","Greece",0.000003,51.383
"Afghanistan","India",0.000148,2839.886
"Afghanistan","Indonesia2002",0.000012,235.05
"Afghanistan","IranIslamicRepublic",0.000110,2108.081
"Afghanistan","Kazakhstan",0.000001,25.656
"Afghanistan","Malaysia",0.000066,1273.443
"Afghanistan","Pakistan",0.000091,1749.478
"Afghanistan","RussianFederation",0.000106,2025.622
"Afghanistan","Slovenia",0.000003,57.613
"Afghanistan","Switzerland",0.000012,239.036
"Afghanistan","Thailand",0.000068,1302.254
"Afghanistan","Turkmenistan",0.000316,6060.857
"Afghanistan","UnitedStates",0.000074,1419.947
"Albania","Austria",0.000062,1186.902
"Albania","CzechRepublic",0.000011,212.955
"Albania","Finland",0.000004,75.85201
"Albania","France",0.000108,2067.936
"Albania","Germany",0.000068,1298.766
"Albania","Greece",0.000731,14032.79
"Albania","Hungary",0.000014,259.104
"Albania","Italy",0.000912,17497.1
"Albania","Jordan",0.000003,59.432
"Albania","Netherlands",0.000048,916.486
"Albania","SerbiaandMontenegro",0.000039,757.014
"Albania","Slovenia",0.000107,2050.787
"Albania","Spain",0.000012,237.213
"Albania","TFYRofMacedonia",0.000134,2566.082
"Albania","Turkey",0.000391,7501.883
"Albania","UnitedStates",0.000015,294.304
"Algeria","Austria",0.000761,14603.07
"Algeria","Egypt",0.000214,4105.685
"Algeria","France",0.025278,484943.8
"Algeria","Germany",0.001972,37840.64
"Algeria","Greece",0.000593,11381.1
"Algeria","India",0.000142,2719.838
"Algeria","Italy",0.005279,101283.7
"Algeria","Japan",0.000058,1115.214
"Algeria","Libya",0.000060,1156.739
"Algeria","Morocco",0.000828,15881.23
"Algeria","Netherlands",0.001905,36545.41
"Algeria","Norway",0.000140,2683.54
"Algeria","Portugal",0.000031,598.903
"Algeria","RussianFederation",0.001090,20911.9
"Algeria","SaudiArabia",0.000238,4572.666
"Algeria","Spain",0.009110,174764.9
"Algeria","Switzerland",0.001436,27552.38
"Algeria","Tunisia",0.001671,32062.35
"Algeria","Turkey",0.000647,12418.99
"Algeria","Ukraine",0.000029,551.066
"Algeria","UnitedKingdom",0.000856,16413.87
"Algeria","UnitedStates",0.000276,5300.958
"Andorra","France",0.002841,54512.48
"Andorra","Germany",0.000370,7091.535
"Andorra","Spain",0.001922,36879.57
"Angola","Chile",0.000001,17.171
"Angola","Congo",0.000090,1725.887
"Angola","Ireland",0.000001,14.704
"Angola","Mexico",0.000000,5.98
"Angola","Namibia",0.000281,5381.861
"Angola","SouthAfrica",0.001182,22680.61
"Anguilla","SaintKittsandNevis",0.000000,5.278
"Anguilla","Thailand",0.000003,54.202
"Anguilla","Ukraine",0.000010,197.859
"Anguilla","Venezuela",0.000063,1205.846
"AntiguaandBarbuda","Barbados",0.000101,1937.595
"AntiguaandBarbuda","Canada",0.000055,1051.361
"AntiguaandBarbuda","China",0.000003,66.48
"AntiguaandBarbuda","CostaRica",0.000002,48.038
"AntiguaandBarbuda","CzechRepublic",0.000001,20.901
"AntiguaandBarbuda","Dominica",0.000044,838.437
"AntiguaandBarbuda","Grenada",0.000005,88.595
"AntiguaandBarbuda","Ireland",0.000249,4773.947
"AntiguaandBarbuda","Jamaica",0.000039,739.457
"AntiguaandBarbuda","SaintKittsandNevis",0.000013,250.479
"AntiguaandBarbuda","SaintLucia",0.000021,410.581
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000005,92.803
"AntiguaandBarbuda","Switzerland",0.000006,123.397
"AntiguaandBarbuda","UnitedKingdom",0.000254,4866.619
"AntiguaandBarbuda","UnitedStates",0.000246,4713.723
"Argentina","Australia",0.000342,6554.714
"Argentina","Austria",0.000670,12863.48
"Argentina","Belgium",0.004419,84777.91
"Argentina","Bolivia",0.002061,39543.99
"Argentina","Brazil",0.053566,1027644
"Argentina","Canada",0.000809,15522.41
"Argentina","Chile",0.008731,167495.9
"Argentina","China",0.001622,31122.99
"Argentina","ChinaHongKongSAR",0.002542,48769.31
"Argentina","ChinaTaiwanProvince",0.002342,44940.22
"Argentina","Colombia",0.001470,28211.1
"Argentina","CostaRica",0.000191,3667.726
"Argentina","Cuba",0.000228,4379.156
"Argentina","Cyprus",0.000001,26.73
"Argentina","CzechRepublic",0.000026,490.045
"Argentina","Denmark",0.000947,18167.2
"Argentina","DominicanRepublic",0.000046,889.122
