source,target,weight,flow
"Afghanistan","Bahrain",0.000000,14.683
"Afghanistan","Bulgaria",0.000003,133.388
"Afghanistan","Canada",0.000004,151.649
"Afghanistan","China",0.000101,4309.343
"Afghanistan","ChinaTaiwanProvince",0.000011,481.597
"Afghanistan","Finland",0.000000,14.865
"Afghanistan","France",0.000203,8641.11
"Afghanistan","Germany",0.000192,8191.671
"Afghanistan","India",0.000263,11201.46
"Afghanistan","IranIslamicRepublic",0.000073,3114.641
"Afghanistan","Italy",0.000010,419.235
"Afghanistan","Japan",0.001022,43511.05
"Afghanistan","Kazakhstan",0.000012,505.907
"Afghanistan","Kuwait",0.000000,8.245
"Afghanistan","Lithuania",0.000001,26.053
"Afghanistan","Malaysia",0.000014,601.253
"Afghanistan","Netherlands",0.000012,516.242
"Afghanistan","Pakistan",0.000034,1457.374
"Afghanistan","Portugal",0.000001,40.027
"Afghanistan","RussianFederation",0.000212,9024.866
"Afghanistan","SaudiArabia",0.000006,268.544
"Afghanistan","Singapore",0.000042,1801.648
"Afghanistan","Slovenia",0.000010,417.879
"Afghanistan","Spain",0.000069,2939.468
"Afghanistan","Switzerland",0.000042,1806.575
"Afghanistan","Thailand",0.000134,5695.484
"Afghanistan","Turkey",0.000001,60.366
"Afghanistan","Turkmenistan",0.000044,1854.57
"Afghanistan","UnitedKingdom",0.000036,1514.595
"Afghanistan","UnitedStates",0.000010,408.797
"Albania","Austria",0.000061,2607.392
"Albania","Bolivia",0.000000,13.229
"Albania","Bulgaria",0.000179,7613.875
"Albania","Croatia",0.000041,1752.022
"Albania","CzechRepublic",0.000052,2194.933
"Albania","France",0.000046,1954.481
"Albania","Germany",0.000255,10833.72
"Albania","Greece",0.001625,69145.66
"Albania","Hungary",0.000008,340.249
"Albania","Italy",0.001783,75890.59
"Albania","Japan",0.000036,1527.134
"Albania","Jordan",0.000003,111.74
"Albania","Lebanon",0.000001,44.189
"Albania","Malaysia",0.000001,43.016
"Albania","Malta",0.000019,802.24
"Albania","Netherlands",0.000041,1728.658
"Albania","Norway",0.000000,6.66
"Albania","Poland",0.000006,240.923
"Albania","Portugal",0.000003,145.537
"Albania","Romania",0.000027,1169.58
"Albania","RussianFederation",0.000006,271.396
"Albania","SerbiaandMontenegro",0.000014,602.739
"Albania","Slovakia",0.000019,826.313
"Albania","Slovenia",0.000064,2729.347
"Albania","Spain",0.000009,370.4
"Albania","Switzerland",0.000005,211.413
"Albania","TFYRofMacedonia",0.000137,5848.625
"Albania","Thailand",0.000014,590.286
"Albania","Turkey",0.000388,16525.68
"Albania","UnitedKingdom",0.000020,849.742
"Albania","UnitedStates",0.000117,4976.486
"Algeria","Belgium",0.001001,42608.47
"Algeria","Bulgaria",0.000259,11024.89
"Algeria","Canada",0.000053,2252.357
"Algeria","CzechRepublic",0.000232,9860.966
"Algeria","Egypt",0.000632,26889.16
"Algeria","France",0.008812,375025.2
"Algeria","Germany",0.002848,121221.6
"Algeria","India",0.000146,6195.778
"Algeria","Italy",0.004123,175468.8
"Algeria","KoreaRepublicof",0.000342,14565.46
"Algeria","Lebanon",0.000059,2506.905
"Algeria","Libya",0.000030,1264.035
"Algeria","Luxembourg",0.000018,757.346
"Algeria","Malta",0.000002,76.086
"Algeria","Morocco",0.000775,32983.82
"Algeria","Netherlands",0.000566,24097.12
"Algeria","Portugal",0.000400,17006.8
"Algeria","RussianFederation",0.000802,34113.65
"Algeria","Spain",0.006758,287586.7
"Algeria","Switzerland",0.000182,7747.519
"Algeria","Tunisia",0.002239,95275.95
"Algeria","Turkey",0.003034,129122.8
"Algeria","UnitedArabEmirates",0.000009,403.015
"Algeria","UnitedKingdom",0.000539,22939.53
"Algeria","UnitedStates",0.001398,59507.03
"Andorra","Belgium",0.000012,495.417
"Andorra","France",0.000558,23732.07
"Andorra","Luxembourg",0.000000,11.736
"Andorra","Spain",0.001755,74665.77
"Andorra","UnitedKingdom",0.000015,650.546
"Angola","Belgium",0.003650,155346.4
"Angola","China",0.000141,6006.681
"Angola","Congo",0.000031,1298.079
"Angola","Denmark",0.000009,374.181
"Angola","France",0.000471,20047.96
"Angola","Germany",0.000076,3216.052
"Angola","Italy",0.000078,3311.561
"Angola","Kenya",0.000163,6932.365
"Angola","KoreaRepublicof",0.000021,907.455
"Angola","Mexico",0.000000,14.718
"Angola","Namibia",0.000352,14980.58
"Angola","Netherlands",0.000130,5523.333
"Angola","Portugal",0.001184,50400.63
"Angola","SaudiArabia",0.000001,39.847
"Angola","SouthAfrica",0.000979,41657.03
"Angola","Switzerland",0.000008,333.822
"Angola","Thailand",0.000011,466.404
"Angola","Togo",0.000016,688.148
"Angola","UnitedKingdom",0.000128,5436.93
"Angola","UnitedStates",0.000999,42501.95
"Angola","Zambia",0.000002,76.95
"Anguilla","Austria",0.000001,36.002
"Anguilla","RussianFederation",0.000006,273.939
"Anguilla","SaintKittsandNevis",0.000000,4.799
"Anguilla","Spain",0.000000,15.737
"Anguilla","Venezuela",0.000099,4223.596
"AntiguaandBarbuda","Aruba",0.000002,106.159
"AntiguaandBarbuda","Bahamas",0.000001,24.365
"AntiguaandBarbuda","Barbados",0.000009,397.093
"AntiguaandBarbuda","Canada",0.000010,425.226
"AntiguaandBarbuda","CzechRepublic",0.000002,85.963
"AntiguaandBarbuda","Dominica",0.000004,168.645
"AntiguaandBarbuda","France",0.000003,127.004
"AntiguaandBarbuda","Grenada",0.000002,84.21301
"AntiguaandBarbuda","Jamaica",0.000007,294.502
"AntiguaandBarbuda","Japan",0.000001,56.844
"AntiguaandBarbuda","Malaysia",0.000002,64.311
"AntiguaandBarbuda","Netherlands",0.000003,121.968
"AntiguaandBarbuda","SaintKittsandNevis",0.000006,259.995
"AntiguaandBarbuda","SaintLucia",0.000003,120.429
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000010,410.89
"AntiguaandBarbuda","Slovenia",0.000008,345.079
"AntiguaandBarbuda","Sweden",0.000027,1154.812
"AntiguaandBarbuda","Switzerland",0.000007,308.347
"AntiguaandBarbuda","Thailand",0.000005,205.284
"AntiguaandBarbuda","TrinidadandTobago",0.000107,4566.256
"AntiguaandBarbuda","UnitedKingdom",0.000125,5302.506
"AntiguaandBarbuda","UnitedStates",0.000240,10197.16
