source,target,weight,flow
"Afghanistan","Colombia",0.000000,7.223
"Afghanistan","Croatia",0.000000,7.897
"Afghanistan","CzechRepublic",0.000001,13.627
"Afghanistan","Egypt",0.000000,9.723
"Afghanistan","Estonia",0.000001,15.516
"Afghanistan","France",0.000019,487.706
"Afghanistan","Germany",0.000023,613.796
"Afghanistan","Indonesia2002",0.000001,34.403
"Afghanistan","IranIslamicRepublic",0.000100,2627.77
"Afghanistan","Ireland",0.000000,9.746
"Afghanistan","Italy",0.000007,188.411
"Afghanistan","Japan",0.000100,2610.071
"Afghanistan","KoreaRepublicof",0.000002,60.276
"Afghanistan","Malaysia",0.000006,163.149
"Afghanistan","Malta",0.000167,4388.109
"Afghanistan","Netherlands",0.000007,180.436
"Afghanistan","Norway",0.000001,23.053
"Afghanistan","Pakistan",0.000026,694.659
"Afghanistan","Slovenia",0.000002,46.903
"Afghanistan","Spain",0.000002,42.85
"Afghanistan","Sweden",0.000004,112.399
"Afghanistan","Switzerland",0.000003,71.13
"Afghanistan","Ukraine",0.000002,45.665
"Afghanistan","UnitedKingdom",0.000043,1114.466
"Afghanistan","UnitedStates",0.000037,964.433
"Albania","Austria",0.000145,3800.5
"Albania","Bulgaria",0.000158,4139.895
"Albania","Canada",0.000017,442.94
"Albania","Croatia",0.000003,74.244
"Albania","CzechRepublic",0.000001,36.733
"Albania","Denmark",0.000075,1968.202
"Albania","Egypt",0.000001,16.239
"Albania","Finland",0.000002,51.861
"Albania","France",0.000056,1458.482
"Albania","Germany",0.000540,14165.3
"Albania","Greece",0.001560,40906.22
"Albania","Hungary",0.000009,243.543
"Albania","IranIslamicRepublic",0.000002,49.218
"Albania","Ireland",0.000006,147.283
"Albania","Italy",0.005426,142280
"Albania","Japan",0.000000,5.952
"Albania","Kuwait",0.000000,9.059999
"Albania","Malaysia",0.000008,218.386
"Albania","Netherlands",0.000013,328.791
"Albania","NewZealand",0.000000,1.924
"Albania","Romania",0.000027,713.321
"Albania","RussianFederation",0.000000,11.554
"Albania","SaudiArabia",0.000002,41.893
"Albania","SerbiaandMontenegro",0.000002,43.234
"Albania","Slovenia",0.000024,640.77
"Albania","Spain",0.000010,269.573
"Albania","Sweden",0.000037,978.724
"Albania","Switzerland",0.000055,1432.305
"Albania","TFYRofMacedonia",0.000045,1182.956
"Albania","Turkey",0.000317,8302.246
"Albania","UnitedKingdom",0.000067,1751.639
"Albania","UnitedStates",0.000063,1654.661
"Algeria","Belgium",0.000676,17734.92
"Algeria","Bulgaria",0.000022,582.716
"Algeria","Canada",0.000107,2815.744
"Algeria","CzechRepublic",0.000070,1833.198
"Algeria","Egypt",0.000088,2306.942
"Algeria","France",0.006133,160825.1
"Algeria","Germany",0.000939,24614.49
"Algeria","Italy",0.001541,40402.66
"Algeria","Libya",0.000011,297.213
"Algeria","Morocco",0.000114,3000.759
"Algeria","Netherlands",0.000132,3461.585
"Algeria","RussianFederation",0.000248,6506.144
"Algeria","SaudiArabia",0.000024,630.874
"Algeria","Spain",0.000862,22597.82
"Algeria","Switzerland",0.000200,5242.735
"Algeria","SyrianArabRepublic",0.000156,4081.429
"Algeria","Tunisia",0.000394,10339.41
"Algeria","UnitedArabEmirates",0.000030,779.534
"Algeria","UnitedKingdom",0.000353,9248.412
"Algeria","UnitedStates",0.000491,12886.74
"Andorra","Austria",0.000057,1496.651
"Andorra","Belgium",0.000042,1112.702
"Andorra","Chile",0.000000,7.691999
"Andorra","Denmark",0.000007,178.641
"Andorra","France",0.004087,107171.4
"Andorra","Germany",0.000307,8042.647
"Andorra","Italy",0.000700,18367.25
"Andorra","Luxembourg",0.000025,662.074
"Andorra","Netherlands",0.000090,2370.44
"Andorra","Portugal",0.000027,699.293
"Andorra","Spain",0.004623,121217.5
"Andorra","UnitedKingdom",0.000087,2289.773
"Angola","Austria",0.000001,16.387
"Angola","Botswana",0.000001,14.247
"Angola","ChinaTaiwanProvince",0.000008,200.919
"Angola","Congo",0.000048,1252.523
"Angola","Cyprus",0.000000,6.962
"Angola","France",0.000498,13049.37
"Angola","Germany",0.000074,1928.879
"Angola","Italy",0.000249,6531.011
"Angola","KoreaRepublicof",0.000050,1319.796
"Angola","Namibia",0.000608,15954.91
"Angola","Netherlands",0.000104,2718.145
"Angola","Portugal",0.002481,65054.85
"Angola","SouthAfrica",0.000782,20499.35
"Angola","Sweden",0.000019,508.553
"Angola","Tunisia",0.000003,89.473
"Angola","UnitedKingdom",0.000172,4499.091
