source,target,weight,flow
"Afghanistan","Argentina",0.000001,309.851
"Afghanistan","Armenia",0.000000,237.707
"Afghanistan","Australia",0.000005,2840.898
"Afghanistan","Austria",0.000017,10306.61
"Afghanistan","Azerbaijan",0.000407,251178.3
"Afghanistan","Bahrain",0.000002,1283.476
"Afghanistan","Bangladesh",0.000013,8304.342
"Afghanistan","Belarus",0.000027,16708.57
"Afghanistan","Belgium",0.000076,46932.72
"Afghanistan","Brazil",0.000012,7113.931
"Afghanistan","BruneiDarussalam",0.000000,176.902
"Afghanistan","Bulgaria",0.000004,2376.303
"Afghanistan","Canada",0.000020,12251.8
"Afghanistan","China",0.000604,372839.9
"Afghanistan","ChinaHongKongSAR",0.000017,10206.47
"Afghanistan","ChinaTaiwanProvince",0.000002,1093.217
"Afghanistan","Colombia",0.000000,161.655
"Afghanistan","CostaRica",0.000000,47.519
"Afghanistan","CotedIvoire",0.000000,91.252
"Afghanistan","Croatia",0.000000,139.514
"Afghanistan","CzechRepublic",0.000013,8092.028
"Afghanistan","Denmark",0.000021,12740.88
"Afghanistan","DominicanRepublic",0.000001,360.918
"Afghanistan","Ecuador",0.000000,5.193
"Afghanistan","Egypt",0.000010,6018.434
"Afghanistan","Estonia",0.000002,968.491
"Afghanistan","Finland",0.000017,10710.36
"Afghanistan","France",0.000045,27801.91
"Afghanistan","Georgia",0.000001,651.033
"Afghanistan","Germany",0.000169,104539.7
"Afghanistan","Greece",0.000001,700.164
"Afghanistan","Guatemala",0.000000,225.327
"Afghanistan","Hungary",0.000010,6097.182
"Afghanistan","India",0.001084,669473.8
"Afghanistan","Indonesia",0.000066,40733.99
"Afghanistan","Ireland",0.000007,4307.203
"Afghanistan","Italy",0.000021,13208.08
"Afghanistan","Japan",0.000041,25413.11
"Afghanistan","Jordan",0.000005,3101.756
"Afghanistan","Kazakhstan",0.000267,164630.5
"Afghanistan","Kenya",0.000182,112102
"Afghanistan","KoreaRepublicof",0.000072,44212.97
"Afghanistan","Kyrgyzstan",0.000112,68908.16
"Afghanistan","Latvia",0.000008,5077.838
"Afghanistan","Lebanon",0.000002,1043.772
"Afghanistan","Lithuania",0.000008,5012.358
"Afghanistan","Luxembourg",0.000002,1373.257
"Afghanistan","Malaysia",0.000161,99526.91
"Afghanistan","Mauritius",0.000000,14.236
"Afghanistan","Netherlands",0.000094,57853.98
"Afghanistan","NewZealand",0.000001,451.721
"Afghanistan","Nigeria",0.000000,154.654
"Afghanistan","Norway",0.000004,2487.176
"Afghanistan","Oman",0.000000,172.418
"Afghanistan","Pakistan",0.003033,1873025
"Afghanistan","Peru",0.000005,3141.252
"Afghanistan","Philippines",0.000011,6550.843
"Afghanistan","Poland",0.000016,9607.024
"Afghanistan","Portugal",0.000001,347.489
