source,target,weight,flow
"Afghanistan","Australia",0.000032,1396.31
"Afghanistan","Austria",0.000014,607.642
"Afghanistan","Bahrain",0.000016,673.613
"Afghanistan","Bangladesh",0.000062,2673.125
"Afghanistan","Belgium",0.000059,2551.546
"Afghanistan","Brazil",0.000156,6764.062
"Afghanistan","Canada",0.000014,587.868
"Afghanistan","China",0.000452,19618.63
"Afghanistan","CostaRica",0.000001,31.235
"Afghanistan","CzechRepublic",0.000001,52.429
"Afghanistan","Denmark",0.000041,1776.653
"Afghanistan","DominicanRepublic",0.000002,104.229
"Afghanistan","Egypt",0.000006,245.218
"Afghanistan","Finland",0.000002,82.46201
"Afghanistan","France",0.000237,10263.95
"Afghanistan","Germany",0.000149,6470.119
"Afghanistan","Hungary",0.000011,481.682
"Afghanistan","India",0.002340,101537.3
"Afghanistan","Indonesia",0.000042,1835.837
"Afghanistan","Ireland",0.000077,3322.923
"Afghanistan","Italy",0.000077,3349.327
"Afghanistan","Jordan",0.000009,386.924
"Afghanistan","Kazakhstan",0.002552,110721.5
"Afghanistan","KoreaRepublicof",0.000003,116.733
"Afghanistan","Kyrgyzstan",0.000009,392.076
"Afghanistan","Latvia",0.000037,1618.56
"Afghanistan","Lebanon",0.000011,477.576
"Afghanistan","Lithuania",0.000043,1845.975
"Afghanistan","Malaysia",0.000001,31.546
"Afghanistan","Netherlands",0.000412,17865.2
"Afghanistan","NewZealand",0.000008,343.929
"Afghanistan","Norway",0.000003,124.959
"Afghanistan","Pakistan",0.025298,1097692
"Afghanistan","Philippines",0.000008,352.766
"Afghanistan","Poland",0.000069,2990.998
"Afghanistan","RussianFederation",0.000194,8397.662
"Afghanistan","SaudiArabia",0.000028,1229.844
"Afghanistan","Senegal",0.000020,849.57
"Afghanistan","Spain",0.000034,1469.497
"Afghanistan","SriLanka",0.000001,45.298
"Afghanistan","Switzerland",0.000013,581.636
"Afghanistan","TFYRofMacedonia",0.000000,16.023
"Afghanistan","Turkey",0.000228,9879.3
"Afghanistan","Ukraine",0.000030,1304.349
"Afghanistan","UnitedArabEmirates",0.000443,19213
"Afghanistan","UnitedKingdom",0.000022,950.071
"Afghanistan","UnitedStates",0.000762,33057.06
"Afghanistan","Uruguay",0.000004,194.275
"Albania","Algeria",0.000343,14864.1
"Albania","Argentina",0.000106,4583.229
"Albania","Australia",0.000007,324.901
"Albania","Austria",0.000096,4169.767
"Albania","Belgium",0.000077,3340.921
"Albania","BosniaandHerzegovina",0.000080,3466.28
"Albania","Bulgaria",0.000342,14819.4
"Albania","Cameroon",0.000001,56.249
"Albania","Canada",0.000092,3977.803
"Albania","Chile",0.000001,28.829
"Albania","China",0.000193,8363.793
"Albania","ChinaHongKongSAR",0.000002,65.607
"Albania","CotedIvoire",0.000002,79.271
"Albania","Croatia",0.000541,23454.95
"Albania","Cyprus",0.000001,24.382
"Albania","CzechRepublic",0.000015,639.616
"Albania","Denmark",0.000022,934.594
"Albania","DominicanRepublic",0.000000,6.374
"Albania","Egypt",0.000049,2106.749
"Albania","Estonia",0.000001,26.268
"Albania","France",0.000130,5631.851
"Albania","Germany",0.000455,19752.71
"Albania","Greece",0.001869,81104.97
"Albania","Hungary",0.000096,4185.709
"Albania","Indonesia",0.000012,505.91
"Albania","Ireland",0.000018,791.173
"Albania","Italy",0.003342,144999
"Albania","Jordan",0.000000,15.392
"Albania","KoreaRepublicof",0.000005,201.946
"Albania","Latvia",0.000003,109.192
"Albania","Lithuania",0.000035,1500.965
"Albania","Mexico",0.000060,2621.236
"Albania","Montenegro",0.000179,7746.101
"Albania","Netherlands",0.000185,8009.697
"Albania","NewZealand",0.000002,95.896
"Albania","Philippines",0.000003,125.712
"Albania","Poland",0.000158,6843.76
"Albania","RepublicofMoldova",0.000031,1344.607
"Albania","Romania",0.000316,13720.96
"Albania","RussianFederation",0.000706,30649.61
"Albania","Senegal",0.000087,3792.096
"Albania","Serbia",0.000997,43273.98
"Albania","Slovakia",0.000012,535.611
"Albania","Slovenia",0.000159,6892.673
"Albania","SouthAfrica",0.000008,344.805
"Albania","Spain",0.000320,13892.15
"Albania","SriLanka",0.000200,8691.64
"Albania","Switzerland",0.000008,332.859
"Albania","SyrianArabRepublic",0.000001,59.59
"Albania","TFYRofMacedonia",0.000366,15878.52
"Albania","Turkey",0.000635,27536.7
"Albania","Ukraine",0.000042,1816.929
"Albania","UnitedArabEmirates",0.000002,80.394
"Albania","UnitedKingdom",0.000053,2289.771
"Albania","UnitedStates",0.000218,9470.484
"Albania","Uruguay",0.000001,33.544
"Albania","Venezuela",0.000000,7.215
"Algeria","Angola",0.000002,105.205
"Algeria","Australia",0.000167,7259.465
"Algeria","Bahrain",0.000003,123.021
"Algeria","Belgium",0.004373,189725.6
"Algeria","Bulgaria",0.000202,8775.409
"Algeria","BurkinaFaso",0.000002,105.092
"Algeria","CaboVerde",0.000001,37.307
"Algeria","Cameroon",0.000027,1169.12
"Algeria","Canada",0.008674,376387.5
"Algeria","China",0.003866,167751.1
"Algeria","ChinaTaiwanProvince",0.000003,133.909
"Algeria","Colombia",0.000153,6617.797
"Algeria","Congo",0.000001,36.345
"Algeria","CotedIvoire",0.002090,90678.08
"Algeria","CzechRepublic",0.000053,2298.633
"Algeria","Denmark",0.000305,13223.04
"Algeria","Egypt",0.001956,84871.91
"Algeria","France",0.034980,1517812
"Algeria","Germany",0.008782,381070
"Algeria","Ghana",0.000100,4353.141
"Algeria","Greece",0.000240,10424.4
"Algeria","Guatemala",0.000078,3394.852
"Algeria","Guinea",0.000024,1047.466
"Algeria","India",0.004265,185067.3
"Algeria","Indonesia",0.001619,70234.37
"Algeria","Iraq",0.000839,36388.05
"Algeria","Ireland",0.000962,41727.22
"Algeria","Italy",0.002530,109760.8
"Algeria","Jordan",0.000574,24910.75
"Algeria","Kenya",0.000001,24.445
"Algeria","KoreaRepublicof",0.000054,2332.797
"Algeria","Kuwait",0.000135,5878.419
"Algeria","Lebanon",0.000576,24982.06
"Algeria","Libya",0.000324,14063.1
"Algeria","Lithuania",0.002095,90908.63
"Algeria","Luxembourg",0.000000,1.572
"Algeria","Malaysia",0.000441,19150.94
"Algeria","Mali",0.000023,1002.476
"Algeria","Malta",0.000000,16.383
"Algeria","Mauritania",0.000833,36144.16
"Algeria","Mexico",0.003568,154824.8
"Algeria","Morocco",0.000705,30585.24
"Algeria","Netherlands",0.004698,203868.5
"Algeria","Niger",0.000086,3747.344
"Algeria","Nigeria",0.000042,1818.158
"Algeria","Pakistan",0.000095,4109.022
"Algeria","Poland",0.003451,149757
"Algeria","Portugal",0.000087,3780.243
"Algeria","Romania",0.000547,23756.05
"Algeria","RussianFederation",0.000418,18131.99
"Algeria","SaudiArabia",0.000222,9632.014
"Algeria","Senegal",0.000057,2489.119
"Algeria","SouthAfrica",0.000106,4618.559
"Algeria","Spain",0.007336,318309.5
"Algeria","Sweden",0.001880,81576.58
"Algeria","Switzerland",0.000466,20229.9
"Algeria","SyrianArabRepublic",0.000677,29389.93
"Algeria","Tajikistan",0.000219,9501.721
"Algeria","Thailand",0.001295,56194.78
"Algeria","Togo",0.000142,6166.324
"Algeria","Tunisia",0.001413,61291.8
"Algeria","Turkey",0.002409,104512.2
"Algeria","Ukraine",0.001007,43688.87
"Algeria","UnitedArabEmirates",0.000360,15627.92
"Algeria","UnitedKingdom",0.001330,57719.88
"Algeria","UnitedStates",0.002890,125388
"Algeria","Uruguay",0.001045,45336.25
"Algeria","Yemen",0.000001,22.74
"AmericanSamoa","Australia",0.000598,25927.47
"AmericanSamoa","Canada",0.000005,233.345
"AmericanSamoa","Fiji",0.000509,22070.86
"AmericanSamoa","France",0.000019,808.599
"AmericanSamoa","Indonesia",0.000133,5756.531
"AmericanSamoa","KoreaRepublicof",0.000220,9524.989
"AmericanSamoa","Samoa",0.000026,1133.83
"AmericanSamoa","Singapore",0.000002,70.2
"AmericanSamoa","Tonga",0.000029,1259.504
"Andorra","France",0.000649,28153.3
"Andorra","Spain",0.003508,152199.3
"Angola","Austria",0.000006,278.111
"Angola","Belgium",0.001649,71541.49
"Angola","Cameroon",0.000043,1875.898
"Angola","Canada",0.000740,32090.76
"Angola","ChinaHongKongSAR",0.000006,280.47
"Angola","ChinaTaiwanProvince",0.000014,592.065
"Angola","Congo",0.000001,51.738
"Angola","CotedIvoire",0.000045,1935.907
"Angola","France",0.001378,59784.14
"Angola","Germany",0.000301,13049.97
"Angola","Ghana",0.000047,2058.824
"Angola","Greece",0.000002,89.613
"Angola","KoreaRepublicof",0.000044,1928.426
"Angola","Malawi",0.000000,1.973
"Angola","Malaysia",0.000599,25981.72
"Angola","Mozambique",0.000001,47.023
"Angola","Namibia",0.001258,54602.03
"Angola","Netherlands",0.002578,111855.6
"Angola","Nigeria",0.000056,2445.959
"Angola","Norway",0.000292,12662.54
"Angola","Paraguay",0.000432,18742.74
"Angola","Portugal",0.008208,356130
"Angola","RussianFederation",0.000000,6.674
"Angola","SaoTomeandPricipe",0.000003,117.87
"Angola","SouthAfrica",0.002890,125402.4
"Angola","Spain",0.000671,29097.96
"Angola","SriLanka",0.000037,1601.696
"Angola","Switzerland",0.000013,566.827
"Angola","Thailand",0.003307,143489.4
"Angola","Turkey",0.002641,114610.9
"Angola","UnitedArabEmirates",0.000487,21128.4
"Angola","Zambia",0.000013,575.959
"Anguilla","AntiguaandBarbuda",0.000000,.056
"Anguilla","Barbados",0.000009,410.814
"Anguilla","Canada",0.000006,277.691
"Anguilla","France",0.000000,.124
"Anguilla","Germany",0.000000,5.192
"Anguilla","Netherlands",0.000010,450.179
"Anguilla","NewZealand",0.000002,89.54
"Anguilla","SaintVincentandGrenadines",0.000001,25.425
"Anguilla","Switzerland",0.000003,145.654
"Anguilla","UnitedKingdom",0.000007,317.141
"Anguilla","UnitedStates",0.000124,5369.657
"AntiguaandBarbuda","Australia",0.000005,217.507
"AntiguaandBarbuda","Bahrain",0.000000,2.979
"AntiguaandBarbuda","Barbados",0.000067,2894.341
"AntiguaandBarbuda","BritishVirginIslands",0.000000,.187
"AntiguaandBarbuda","Cameroon",0.000018,771.028
"AntiguaandBarbuda","Canada",0.000071,3065.542
"AntiguaandBarbuda","China",0.000001,58.884
"AntiguaandBarbuda","Denmark",0.000012,531.438
"AntiguaandBarbuda","Dominica",0.000040,1719.709
"AntiguaandBarbuda","ElSalvador",0.000000,.248
"AntiguaandBarbuda","France",0.000016,712.969
"AntiguaandBarbuda","Germany",0.000011,456.298
"AntiguaandBarbuda","Ghana",0.000000,.061
"AntiguaandBarbuda","Grenada",0.000011,480.432
"AntiguaandBarbuda","Guyana",0.000052,2259.791
"AntiguaandBarbuda","India",0.000000,21.198
"AntiguaandBarbuda","Ireland",0.000001,22.102
"AntiguaandBarbuda","Italy",0.000010,419.495
"AntiguaandBarbuda","Jamaica",0.000089,3853.741
"AntiguaandBarbuda","KoreaRepublicof",0.000005,208.734
"AntiguaandBarbuda","Malaysia",0.000008,350.543
"AntiguaandBarbuda","Montserrat",0.000000,18.252
"AntiguaandBarbuda","NewZealand",0.000016,708.692
"AntiguaandBarbuda","Poland",0.000001,54.886
"AntiguaandBarbuda","SaintKittsandNevis",0.000000,19.831
"AntiguaandBarbuda","SaintLucia",0.000010,454.589
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000035,1536.636
"AntiguaandBarbuda","Senegal",0.000068,2943.273
"AntiguaandBarbuda","Spain",0.000001,25.643
"AntiguaandBarbuda","Suriname",0.000001,25.875
"AntiguaandBarbuda","Switzerland",0.000000,2.255
"AntiguaandBarbuda","TrinidadandTobago",0.000060,2618.521
"AntiguaandBarbuda","Ukraine",0.000000,7.144
"AntiguaandBarbuda","UnitedArabEmirates",0.000001,31.422
"AntiguaandBarbuda","UnitedKingdom",0.000073,3183.457
"AntiguaandBarbuda","UnitedStates",0.000593,25720.08
"AntiguaandBarbuda","Zambia",0.000002,70.669
"Argentina","Australia",0.006369,276358.7
"Argentina","Austria",0.000098,4267.005
"Argentina","Belgium",0.003403,147668.5
"Argentina","Bolivia",0.005274,228850.3
"Argentina","Brazil",0.065037,2821967
"Argentina","Bulgaria",0.000160,6932.871
"Argentina","Canada",0.001569,68063.68
"Argentina","Chile",0.026090,1132051
