source,target,weight,flow
"Afghanistan","Belgium",0.000014,507.874
"Afghanistan","Bulgaria",0.000000,9.237
"Afghanistan","Canada",0.000003,114.767
"Afghanistan","China",0.000155,5743.653
"Afghanistan","Denmark",0.000005,202.239
"Afghanistan","Egypt",0.000011,419.856
"Afghanistan","France",0.000014,508.114
"Afghanistan","Germany",0.000036,1338.748
"Afghanistan","India",0.000999,37090.18
"Afghanistan","Indonesia",0.000000,1.92
"Afghanistan","Italy",0.000019,699.924
"Afghanistan","Japan",0.000005,187.072
"Afghanistan","Kazakhstan",0.000092,3406.29
"Afghanistan","Kenya",0.000002,73.471
"Afghanistan","KoreaRepublicof",0.000000,12.726
"Afghanistan","Kyrgyzstan",0.000093,3470.77
"Afghanistan","Netherlands",0.000026,971.882
"Afghanistan","Norway",0.000000,6.157
"Afghanistan","Pakistan",0.002107,78209.25
"Afghanistan","Philippines",0.000002,76.365
"Afghanistan","Poland",0.000002,91.46
"Afghanistan","RussianFederation",0.000929,34467.02
"Afghanistan","Spain",0.000015,540.641
"Afghanistan","SriLanka",0.000000,9.359
"Afghanistan","Sweden",0.000000,7.539
"Afghanistan","Switzerland",0.000001,28.71
"Afghanistan","Thailand",0.000001,25.309
"Afghanistan","Turkey",0.000109,4040.536
"Afghanistan","Ukraine",0.000001,47.306
"Afghanistan","UnitedArabEmirates",0.000023,844.735
"Afghanistan","UnitedKingdom",0.000038,1418.84
"Afghanistan","UnitedStates",0.000071,2634.629
"Albania","Argentina",0.000003,96.90401
"Albania","Australia",0.000023,856.1949
"Albania","Austria",0.000037,1382.941
"Albania","Belgium",0.000070,2610.798
"Albania","BosniaandHerzegovina",0.000160,5940.555
"Albania","Brazil",0.000010,370.756
"Albania","Bulgaria",0.000204,7575.229
"Albania","Cameroon",0.000000,8.765
"Albania","Canada",0.000007,270.564
"Albania","China",0.002603,96621.94
"Albania","CostaRica",0.000000,.224
"Albania","CotedIvoire",0.000001,46.062
"Albania","Croatia",0.000030,1111.363
"Albania","Cyprus",0.000003,101.018
"Albania","CzechRepublic",0.000011,418.274
"Albania","Denmark",0.000002,67.00301
"Albania","DominicanRepublic",0.000000,14.768
"Albania","Egypt",0.000009,328.564
"Albania","France",0.000051,1880.18
"Albania","Germany",0.000229,8505.647
"Albania","Greece",0.000366,13580.98
"Albania","Hungary",0.000008,284.648
"Albania","Iceland",0.000015,550.825
"Albania","India",0.000048,1794.39
"Albania","Indonesia",0.000001,47.798
"Albania","Ireland",0.000002,75.57
"Albania","Italy",0.001115,41398.85
"Albania","Japan",0.000005,173.06
"Albania","KoreaRepublicof",0.000000,15.128
"Albania","Latvia",0.000002,66.866
"Albania","Lebanon",0.000012,432.99
"Albania","Malta",0.000002,77.591
"Albania","Montenegro",0.000229,8508.722
"Albania","Morocco",0.000001,19.779
"Albania","Netherlands",0.000081,3008.55
"Albania","Norway",0.000002,68.9
"Albania","Pakistan",0.000012,439.21
"Albania","Poland",0.000038,1398.374
"Albania","Romania",0.000007,271.058
"Albania","RussianFederation",0.000035,1298.436
"Albania","Senegal",0.000019,721.812
"Albania","Serbia",0.000303,11233.02
"Albania","Slovakia",0.000000,7.372
"Albania","Slovenia",0.000007,251.729
"Albania","SouthAfrica",0.000006,211.636
"Albania","Spain",0.000019,719.063
"Albania","SriLanka",0.000003,124.455
"Albania","Swaziland",0.000000,5.119
"Albania","Switzerland",0.000088,3251.299
"Albania","SyrianArabRepublic",0.000000,4.605
"Albania","TFYRofMacedonia",0.000256,9517.52
"Albania","Turkey",0.000240,8910.755
"Albania","Ukraine",0.000005,170.34
"Albania","UnitedArabEmirates",0.000016,609.077
"Albania","UnitedKingdom",0.000051,1891.952
"Albania","UnitedStates",0.000272,10085.08
"Albania","Uruguay",0.000003,123.904
"Algeria","Australia",0.000004,142.282
"Algeria","Austria",0.000344,12754.73
"Algeria","Belgium",0.000515,19110.13
"Algeria","Brazil",0.000992,36831.16
"Algeria","Bulgaria",0.000419,15571.55
"Algeria","Cameroon",0.000006,229.799
"Algeria","Canada",0.000008,287.441
"Algeria","China",0.000224,8311.337
"Algeria","ChinaTaiwanProvince",0.000022,820.681
"Algeria","CotedIvoire",0.000017,624.202
"Algeria","Croatia",0.000299,11083.91
"Algeria","Denmark",0.000036,1341.193
"Algeria","Egypt",0.000322,11943.38
"Algeria","France",0.001712,63548.09
"Algeria","Germany",0.001052,39039.61
"Algeria","Ghana",0.000002,76.888
"Algeria","Greece",0.000270,10038.41
"Algeria","India",0.000564,20942.79
"Algeria","Indonesia",0.000043,1594.852
"Algeria","Italy",0.000782,29033.16
"Algeria","Japan",0.000002,88.216
"Algeria","KoreaRepublicof",0.000012,430.629
"Algeria","Libya",0.000002,60.328
"Algeria","Malaysia",0.000004,154.949
"Algeria","Mali",0.000037,1377.922
"Algeria","Mexico",0.000001,31.875
"Algeria","Morocco",0.000426,15802.37
"Algeria","Netherlands",0.000801,29731.35
"Algeria","Niger",0.000009,352.07
"Algeria","Nigeria",0.000011,425.056
"Algeria","Pakistan",0.000037,1383.869
"Algeria","Poland",0.000924,34282.95
"Algeria","Portugal",0.000168,6236.392
"Algeria","SaudiArabia",0.000083,3063.028
"Algeria","Senegal",0.000014,528.934
"Algeria","Slovenia",0.002461,91345.26
"Algeria","SouthAfrica",0.000050,1857.601
"Algeria","Spain",0.001085,40272.64
"Algeria","Switzerland",0.000006,239.003
"Algeria","SyrianArabRepublic",0.000006,209.723
"Algeria","Tajikistan",0.000028,1029.824
"Algeria","Thailand",0.000032,1183.268
"Algeria","Tunisia",0.000205,7622.578
"Algeria","Turkey",0.000224,8309.522
"Algeria","Ukraine",0.000458,17006.31
"Algeria","UnitedArabEmirates",0.000029,1068.733
"Algeria","UnitedKingdom",0.000081,3015.996
"Algeria","UnitedStates",0.001168,43348.74
"AmericanSamoa","Canada",0.000012,456.037
"AmericanSamoa","Fiji",0.000023,835.59
"AmericanSamoa","Indonesia",0.000074,2740.949
"AmericanSamoa","NewZealand",0.000186,6897.115
"AmericanSamoa","Samoa",0.000001,52.386
"AmericanSamoa","Tonga",0.000001,27.123
"Andorra","France",0.000015,538.399
"Andorra","Italy",0.000001,44.913
"Andorra","Spain",0.000343,12736.65
"Angola","Argentina",0.000115,4255.058
"Angola","Belgium",0.000148,5477.22
"Angola","Canada",0.000149,5518.522
"Angola","China",0.000707,26242.88
"Angola","ChinaHongKongSAR",0.000008,283.248
"Angola","ChinaTaiwanProvince",0.000049,1800.963
"Angola","Congo",0.000000,17.03
"Angola","DominicanRepublic",0.000001,54.302
"Angola","France",0.000023,868.186
"Angola","Germany",0.000265,9846.527
"Angola","Ghana",0.000173,6423.09
"Angola","India",0.000980,36368.63
"Angola","Ireland",0.000002,89.153
"Angola","Italy",0.000273,10143.8
"Angola","Japan",0.000057,2100.124
"Angola","Kenya",0.000001,26.221
"Angola","KoreaRepublicof",0.000778,28883.64
"Angola","Lebanon",0.000003,105.926
"Angola","Malawi",0.000001,19.996
"Angola","Malaysia",0.000059,2172.324
"Angola","Morocco",0.000152,5640.4
"Angola","Mozambique",0.000001,29.908
"Angola","Namibia",0.000223,8280.633
"Angola","Netherlands",0.000184,6811.96
"Angola","Nigeria",0.000000,17.139
"Angola","Norway",0.000000,5.672
"Angola","Pakistan",0.000022,803.269
"Angola","Poland",0.000087,3219.877
"Angola","Portugal",0.000286,10603.09
"Angola","RussianFederation",0.000002,86.99699
"Angola","SaoTomeandPricipe",0.000000,5.199
"Angola","Singapore",0.000010,374.759
"Angola","SouthAfrica",0.000101,3763.319
"Angola","Spain",0.000125,4622.992
"Angola","SriLanka",0.000001,37.893
"Angola","Switzerland",0.000000,.43
"Angola","TanzaniaUnitedRepublic",0.000002,86.634
"Angola","Thailand",0.000023,858.228
"Angola","Turkey",0.000063,2325.883
"Angola","UnitedArabEmirates",0.000227,8437.004
"Angola","UnitedKingdom",0.000022,804.362
"Angola","UnitedStates",0.000605,22461.71
"Anguilla","AntiguaandBarbuda",0.000000,.073
"Anguilla","Canada",0.000003,121.826
"Anguilla","Guyana",0.000001,41.041
"Anguilla","UnitedStates",0.000072,2688.861
"AntiguaandBarbuda","Bahrain",0.000000,.079
"AntiguaandBarbuda","Barbados",0.000007,246.185
"AntiguaandBarbuda","BritishVirginIslands",0.000000,.01
"AntiguaandBarbuda","Cameroon",0.000001,49.901
"AntiguaandBarbuda","Canada",0.000002,72.91299
"AntiguaandBarbuda","China",0.000000,3.508
"AntiguaandBarbuda","Colombia",0.000001,23.177
"AntiguaandBarbuda","Dominica",0.000006,232.29
"AntiguaandBarbuda","DominicanRepublic",0.000001,33.447
"AntiguaandBarbuda","France",0.000000,3.839
"AntiguaandBarbuda","Germany",0.000000,1.413
"AntiguaandBarbuda","Ghana",0.000000,1.164
"AntiguaandBarbuda","Guyana",0.000008,282.263
"AntiguaandBarbuda","Italy",0.000004,157.395
"AntiguaandBarbuda","Jamaica",0.000000,3.388
"AntiguaandBarbuda","Montserrat",0.000000,6.011
"AntiguaandBarbuda","SaintKittsandNevis",0.000000,2.515
"AntiguaandBarbuda","SaintLucia",0.000002,82.303
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000002,81.31
"AntiguaandBarbuda","Suriname",0.000000,1.665
"AntiguaandBarbuda","Sweden",0.000080,2954.208
"AntiguaandBarbuda","Thailand",0.000003,105.38
"AntiguaandBarbuda","TrinidadandTobago",0.000000,7.559
"AntiguaandBarbuda","Ukraine",0.000000,10.685
"AntiguaandBarbuda","UnitedArabEmirates",0.000000,3.887
"AntiguaandBarbuda","UnitedKingdom",0.000001,44.449
"AntiguaandBarbuda","UnitedStates",0.000143,5311.435
"AntiguaandBarbuda","Venezuela",0.000972,36089.48
"Argentina","Australia",0.000388,14401.94
"Argentina","Austria",0.000044,1639.559
"Argentina","Bangladesh",0.000675,25039.37
"Argentina","Belgium",0.002473,91810.11
"Argentina","Bolivia",0.001119,41553.22
"Argentina","Brazil",0.022693,842383.9
"Argentina","Bulgaria",0.002227,82656.93
"Argentina","Canada",0.001221,45313.27
"Argentina","Chile",0.003232,119960
"Argentina","China",0.098529,3657478
"Argentina","ChinaHongKongSAR",0.000048,1792.783
"Argentina","ChinaTaiwanProvince",0.000345,12791.34
"Argentina","Colombia",0.000188,6974.351
"Argentina","Congo",0.000216,8000.363
"Argentina","CostaRica",0.000020,730.573
"Argentina","CotedIvoire",0.000038,1411.421
"Argentina","Cuba",0.000261,9693.605
"Argentina","CzechRepublic",0.000170,6300.685
"Argentina","Denmark",0.000040,1484.629
"Argentina","DominicanRepublic",0.000078,2908.235
"Argentina","Ecuador",0.000134,4965.37
"Argentina","Egypt",0.005248,194792.7
"Argentina","ElSalvador",0.000013,476.81
"Argentina","EquatorialGuinea",0.000013,470.669
"Argentina","Finland",0.000012,430.554
"Argentina","France",0.000575,21352.47
"Argentina","Gabon",0.000077,2873.049
"Argentina","Germany",0.008176,303512.7
"Argentina","Ghana",0.000092,3419.241
