source,target,weight,flow
"Afghanistan","Belgium",0.000002,142.551
"Afghanistan","Kenya",0.000001,55.909
"Afghanistan","Kyrgyzstan",0.000425,40242.06
"Afghanistan","Pakistan",0.000912,86448.36
"Afghanistan","Turkey",0.000015,1380.999
"Afghanistan","UnitedArabEmirates",0.000025,2407.383
"Albania","Belgium",0.000005,438.297
"Albania","BosniaandHerzegovina",0.000017,1643.534
"Albania","Bulgaria",0.000033,3132.23
"Albania","China",0.000000,29.431
"Albania","Croatia",0.000332,31454.76
"Albania","CzechRepublic",0.000007,657.363
"Albania","Denmark",0.000008,742.34
"Albania","Egypt",0.000020,1910.268
"Albania","France",0.000004,350.837
"Albania","Germany",0.000032,3000.309
"Albania","Greece",0.001126,106671.4
"Albania","Italy",0.004335,410760
"Albania","Malta",0.000170,16091.56
"Albania","Montenegro",0.000085,8039.525
"Albania","Netherlands",0.000016,1472.568
"Albania","Portugal",0.000002,173.179
"Albania","Qatar",0.000000,16.066
"Albania","Romania",0.000036,3426.963
"Albania","Serbia",0.000186,17605.44
"Albania","Slovenia",0.000027,2604.286
"Albania","Spain",0.000590,55945.75
"Albania","TFYRofMacedonia",0.000027,2580.629
"Albania","Turkey",0.000091,8631.787
"Albania","UnitedArabEmirates",0.000000,30.023
"Albania","UnitedStates",0.001116,105783.3
"Algeria","Austria",0.003615,342545.7
"Algeria","Belgium",0.011466,1086474
"Algeria","Brazil",0.020486,1941195
"Algeria","Canada",0.008494,804881.6
"Algeria","China",0.008197,776714.1
"Algeria","ChinaHongKongSAR",0.000009,816.036
"Algeria","Cyprus",0.000211,19975.26
"Algeria","Denmark",0.000004,367.155
"Algeria","Egypt",0.005366,508459.2
"Algeria","France",0.044791,4244281
"Algeria","Germany",0.015297,1449453
"Algeria","Greece",0.001674,158611.4
"Algeria","India",0.003873,366976.3
"Algeria","Italy",0.039660,3758059
"Algeria","Japan",0.009637,913201.8
"Algeria","KoreaRepublicof",0.008982,851117.8
"Algeria","Lebanon",0.000702,66548.83
"Algeria","Liberia",0.000078,7426.4
"Algeria","Libya",0.000255,24160.54
"Algeria","Luxembourg",0.000000,1.637
"Algeria","Malaysia",0.001707,161755.9
"Algeria","Malta",0.000172,16268.02
"Algeria","Mexico",0.000078,7371.627
"Algeria","Morocco",0.010443,989504.2
"Algeria","Netherlands",0.019109,1810709
"Algeria","Nigeria",0.000040,3800.037
"Algeria","Portugal",0.006343,601062.8
"Algeria","SaudiArabia",0.000046,4348.009
"Algeria","Singapore",0.000417,39500.82
"Algeria","Spain",0.074189,7029940
"Algeria","Sweden",0.000227,21523.51
"Algeria","Switzerland",0.000040,3752.932
"Algeria","SyrianArabRepublic",0.000000,43.632
"Algeria","Tunisia",0.018555,1758198
"Algeria","Turkey",0.007653,725159.8
"Algeria","Ukraine",0.000119,11245.92
"Algeria","UnitedArabEmirates",0.000220,20844.85
"Algeria","UnitedKingdom",0.028207,2672832
"Algeria","UnitedStates",0.035559,3369473
"AmericanSamoa","Samoa",0.000000,7.533
"AmericanSamoa","Singapore",0.000621,58839.63
"Andorra","France",0.000456,43232.88
"Andorra","Netherlands",0.000000,2.082
"Andorra","Spain",0.000739,70046.42
"Angola","Belgium",0.000394,37319.38
"Angola","Brazil",0.004785,453441.1
"Angola","Canada",0.006758,640391.9
"Angola","China",0.164715,1.56e+07
"Angola","Congo",0.000106,10011.73
"Angola","CotedIvoire",0.000103,9726.188
"Angola","France",0.008648,819435.9
"Angola","Germany",0.002103,199308.8
"Angola","India",0.032535,3082912
"Angola","Italy",0.005004,474187.1
"Angola","Japan",0.002435,230707.5
"Angola","KoreaRepublicof",0.003335,315967.5
"Angola","Malaysia",0.002822,267392.4
"Angola","Morocco",0.000037,3466.668
"Angola","Namibia",0.000054,5105.11
"Angola","Netherlands",0.008128,770209.1
"Angola","Norway",0.000093,8818.83
"Angola","Portugal",0.014981,1419549
"Angola","Singapore",0.003834,363294.8
"Angola","SouthAfrica",0.010453,990503
"Angola","Spain",0.016825,1594298
"Angola","Sweden",0.000151,14296.52
"Angola","Turkey",0.000019,1782.134
"Angola","UnitedKingdom",0.004244,402182.7
"Angola","UnitedStates",0.038705,3667596
"Anguilla","UnitedStates",0.000013,1189.169
"AntiguaandBarbuda","Barbados",0.000001,80.185
"AntiguaandBarbuda","BritishVirginIslands",0.000000,7.921
"AntiguaandBarbuda","Canada",0.000000,45.354
"AntiguaandBarbuda","China",0.000275,26071.93
"AntiguaandBarbuda","Dominica",0.000004,368.42
"AntiguaandBarbuda","DominicanRepublic",0.000035,3280.541
"AntiguaandBarbuda","France",0.000018,1724.569
"AntiguaandBarbuda","Germany",0.000007,637.392
"AntiguaandBarbuda","Grenada",0.000000,20.059
"AntiguaandBarbuda","Portugal",0.000003,262.165
"AntiguaandBarbuda","SaintKittsandNevis",0.000000,17.97
"AntiguaandBarbuda","SaintLucia",0.000028,2640.349
"AntiguaandBarbuda","SaintVincentandGrenadines",0.000002,182.899
"AntiguaandBarbuda","SouthAfrica",0.000066,6207.865
"AntiguaandBarbuda","Suriname",0.000071,6699.661
"AntiguaandBarbuda","TrinidadandTobago",0.000326,30899.7
"AntiguaandBarbuda","UnitedKingdom",0.000000,13.464
"AntiguaandBarbuda","UnitedStates",0.004688,444192.2
"Argentina","Belize",0.000001,89.821
"Argentina","Bolivia",0.018891,1790044
"Argentina","Brazil",0.003313,313934.7
"Argentina","Canada",0.000019,1813.791
"Argentina","Chile",0.001487,140876.2
"Argentina","China",0.001982,187848.6
"Argentina","ChinaTaiwanProvince",0.000025,2335.193
"Argentina","Colombia",0.000340,32187.21
"Argentina","CostaRica",0.000000,21.023
"Argentina","DominicanRepublic",0.000071,6692.786
"Argentina","Ecuador",0.000106,10057.66
"Argentina","France",0.000092,8698.696
"Argentina","Germany",0.000132,12538.56
"Argentina","India",0.000787,74606.38
"Argentina","Japan",0.000011,997.954
"Argentina","KoreaRepublicof",0.000021,1952.596
"Argentina","Mexico",0.000009,890.715
"Argentina","Netherlands",0.002807,265939.8
"Argentina","Paraguay",0.006409,607330.4
"Argentina","Peru",0.000249,23616.24
"Argentina","Singapore",0.000070,6663.844
"Argentina","SouthAfrica",0.000154,14555.15
"Argentina","UnitedKingdom",0.000009,870.121
"Argentina","UnitedStates",0.022253,2108673
"Argentina","Uruguay",0.000799,75665.73
"Argentina","Venezuela",0.000009,821.877
"Armenia","Belarus",0.000007,657.062
"Armenia","CzechRepublic",0.000000,35.004
"Armenia","Georgia",0.000122,11554.03
"Armenia","IranIslamicRepublic",0.001815,171951.4
"Armenia","RussianFederation",0.001085,102771.6
"Armenia","Switzerland",0.000000,2.769
"Armenia","VietNam",0.000055,5199.711
"Aruba","Belgium",0.000002,155.775
"Aruba","Brazil",0.000174,16496.21
"Aruba","Colombia",0.009538,903787
"Aruba","CostaRica",0.000000,.883
"Aruba","DominicanRepublic",0.000103,9802.68
"Aruba","France",0.000043,4047.49
"Aruba","KoreaRepublicof",0.000768,72755.08
"Aruba","Mexico",0.000365,34598.81
"Aruba","Netherlands",0.000002,213.095
"Aruba","Peru",0.000228,21563.66
"Aruba","Suriname",0.000024,2307.933
"Aruba","TrinidadandTobago",0.000032,3036.14
"Aruba","UnitedStates",0.008460,801618.1
"Aruba","Venezuela",0.000290,27458.26
"Australia","Azerbaijan",0.000001,69.11
"Australia","Belgium",0.001514,143488.5
"Australia","Brazil",0.006912,654975.7
"Australia","BurkinaFaso",0.000001,69.941
"Australia","Canada",0.000032,3015.381
"Australia","China",0.063283,5996499
"Australia","ChinaHongKongSAR",0.000685,64877.9
"Australia","ChinaTaiwanProvince",0.028121,2664648
"Australia","Congo",0.000802,75958.31
"Australia","Denmark",0.000040,3745.379
"Australia","Egypt",0.000002,150.291
"Australia","EquatorialGuinea",0.000196,18536.82
"Australia","Fiji",0.000143,13533.76
"Australia","France",0.003703,350907
"Australia","Germany",0.001364,129210
"Australia","Ghana",0.000000,6.284
"Australia","Greece",0.000001,90.383
"Australia","India",0.055172,5227946
"Australia","Indonesia",0.010781,1021605
"Australia","Ireland",0.000006,543.489
"Australia","Israel",0.000121,11453.29
"Australia","Italy",0.000927,87852.14
"Australia","Japan",0.123622,1.17e+07
"Australia","Kiribati",0.000000,27.267
"Australia","KoreaRepublicof",0.074229,7033732
"Australia","Kuwait",0.000033,3117.538
"Australia","Malaysia",0.027106,2568473
"Australia","Maldives",0.000000,29.31
"Australia","Mexico",0.002245,212700.4
"Australia","Mongolia",0.000000,40.745
"Australia","Netherlands",0.007154,677859.4
"Australia","NewCaledonia",0.000769,72840.6
"Australia","NewZealand",0.006765,640998.7
"Australia","Nigeria",0.002278,215845.6
"Australia","Norway",0.000001,82.501
"Australia","Oman",0.000107,10141.65
"Australia","Pakistan",0.000260,24667.51
"Australia","PapuaNewGuinea",0.002980,282354.4
"Australia","Philippines",0.000788,74681.12
"Australia","Poland",0.001438,136299.2
"Australia","Samoa",0.000002,176.275
"Australia","SaudiArabia",0.000001,114.487
"Australia","Singapore",0.051598,4889236
"Australia","SolomonIslands",0.000070,6678.171
"Australia","SouthAfrica",0.001029,97477.09
"Australia","Spain",0.001293,122545.8
"Australia","SriLanka",0.000001,96.146
"Australia","Sweden",0.001397,132337.4
"Australia","TanzaniaUnitedRepublic",0.000001,77.616
"Australia","Thailand",0.011110,1052760
"Australia","TimorLeste",0.000016,1482.97
"Australia","Turkey",0.001945,184329.8
"Australia","Ukraine",0.001043,98869.62
"Australia","UnitedArabEmirates",0.017981,1703817
"Australia","UnitedKingdom",0.001992,188730
"Australia","UnitedStates",0.004668,442283.8
"Australia","Vanuatu",0.000047,4444.349
"Australia","VietNam",0.012975,1229475
"Austria","Azerbaijan",0.002994,283710.2
"Austria","Bahrain",0.000004,403.584
"Austria","Belarus",0.000015,1464.445
"Austria","Belgium",0.000666,63126.52
"Austria","BosniaandHerzegovina",0.000213,20214.75
"Austria","Bulgaria",0.000286,27064.26
"Austria","BurkinaFaso",0.000000,43.96
"Austria","Canada",0.000001,52.944
"Austria","China",0.000085,8048.028
"Austria","Colombia",0.000000,26.596
"Austria","Croatia",0.000086,8181.667
"Austria","CzechRepublic",0.005057,479144.6
"Austria","Denmark",0.000004,390.665
"Austria","Egypt",0.000054,5115.36
