source,target,weight,flow
"Afghanistan","India",0.000069,321.394
"Afghanistan","Kazakhstan",0.000095,442.276
"Afghanistan","Turkey",0.001439,6674.424
"Albania","BosniaandHerzegovina",0.000007,32.236
"Albania","China",0.000081,376.891
"Albania","France",0.000001,5.104
"Albania","Greece",0.000525,2435.286
"Albania","Italy",0.001243,5765.155
"Albania","Serbia",0.000380,1762.33
"Albania","Spain",0.000073,339.7
"Albania","Switzerland",0.000008,38.856
"Albania","Turkey",0.000033,151.007
"Algeria","BurkinaFaso",0.000000,.27
"Algeria","Canada",0.000812,3769.102
"Algeria","China",0.000212,985.634
"Algeria","CotedIvoire",0.000324,1504.375
"Algeria","Egypt",0.000260,1204
"Algeria","France",0.000449,2080.573
"Algeria","Italy",0.001621,7519.52
"Algeria","Jordan",0.000023,105.301
"Algeria","Lebanon",0.000273,1265.388
"Algeria","Netherlands",0.011462,53170.76
"Algeria","Pakistan",0.000000,1.674
"Algeria","Portugal",0.000008,38.543
"Algeria","RussianFederation",0.028459,132019.5
"Algeria","SaudiArabia",0.000276,1279.053
"Algeria","Spain",0.015659,72641.97
"Algeria","Sweden",0.000065,302.877
"Algeria","Switzerland",0.000000,.262
"Algeria","SyrianArabRepublic",0.000019,88.816
"Algeria","Tunisia",0.000993,4607.918
"Algeria","UnitedArabEmirates",0.000054,249.814
"Algeria","UnitedStates",0.001718,7967.652
"AmericanSamoa","Samoa",0.000002,7.495
"Andorra","Spain",0.001137,5276.72
"Angola","Congo",0.000029,136.394
"Angola","Indonesia",0.013490,62577.3
"Angola","Namibia",0.000346,1605.365
"Angola","SaoTomeandPricipe",0.000000,2.148
"Angola","SouthAfrica",0.000128,593.083
"Angola","Turkey",0.000041,188.672
"Angola","UnitedKingdom",0.000003,12.55
"Angola","Zambia",0.000011,50.782
"Anguilla","UnitedStates",0.000009,43.022
"AntiguaandBarbuda","Canada",0.000005,25.208
"AntiguaandBarbuda","Dominica",0.000001,3.965
"AntiguaandBarbuda","Guyana",0.000000,1.441
"AntiguaandBarbuda","SaintLucia",0.000000,.276
"Argentina","Belgium",0.002334,10828.25
"Argentina","Bolivia",0.000350,1625.438
"Argentina","Brazil",0.015574,72246.54
"Argentina","Canada",0.000301,1398.07
"Argentina","Chile",0.044062,204400.8
"Argentina","China",0.094905,440255.6
"Argentina","ChinaTaiwanProvince",0.000491,2277.967
"Argentina","Colombia",0.002369,10991.32
"Argentina","CostaRica",0.000873,4048.216
"Argentina","Ecuador",0.002990,13871.56
"Argentina","Egypt",0.032904,152637.3
"Argentina","France",0.007436,34495.34
