source,target,weight,flow
"Afghanistan","Australia",0.000002,757.136
"Afghanistan","Austria",0.000007,2902.974
"Afghanistan","Azerbaijan",0.000001,537.445
"Afghanistan","Bahrain",0.000000,109.005
"Afghanistan","Belgium",0.000010,4370.737
"Afghanistan","Brazil",0.000000,104.688
"Afghanistan","BruneiDarussalam",0.000000,56.599
"Afghanistan","Bulgaria",0.000002,897.643
"Afghanistan","Canada",0.000020,8475.606
"Afghanistan","China",0.000399,170075.6
"Afghanistan","ChinaHongKongSAR",0.000022,9235.108
"Afghanistan","ChinaTaiwanProvince",0.000000,173.134
"Afghanistan","Colombia",0.000000,15.688
"Afghanistan","CotedIvoire",0.000000,58.425
"Afghanistan","Croatia",0.000000,136.678
"Afghanistan","CzechRepublic",0.000009,3936.598
"Afghanistan","Denmark",0.000022,9569.763
"Afghanistan","DominicanRepublic",0.000000,181.454
"Afghanistan","Egypt",0.000009,3980.644
"Afghanistan","Estonia",0.000002,966.797
"Afghanistan","Finland",0.000004,1702.331
"Afghanistan","France",0.000015,6394.707
"Afghanistan","Georgia",0.000001,290.758
"Afghanistan","Germany",0.000156,66527.24
"Afghanistan","Greece",0.000002,641.162
"Afghanistan","Hungary",0.000012,5221.873
"Afghanistan","India",0.000091,38792.92
"Afghanistan","Indonesia",0.000006,2541.472
"Afghanistan","Ireland",0.000001,214.4
"Afghanistan","Italy",0.000014,5963.426
"Afghanistan","Japan",0.000038,16202.92
"Afghanistan","Kazakhstan",0.000021,9078.194
"Afghanistan","Kenya",0.000000,178.122
"Afghanistan","KoreaRepublicof",0.000015,6541.315
"Afghanistan","Kyrgyzstan",0.000046,19438.84
"Afghanistan","Latvia",0.000002,937.236
"Afghanistan","Lebanon",0.000001,248.162
"Afghanistan","Lithuania",0.000006,2464.786
"Afghanistan","Luxembourg",0.000003,1074.217
"Afghanistan","Malaysia",0.000007,2894.584
"Afghanistan","Netherlands",0.000063,27026.52
"Afghanistan","NewZealand",0.000000,53.8
"Afghanistan","Nigeria",0.000000,59.545
"Afghanistan","Norway",0.000005,2088.297
"Afghanistan","Pakistan",0.000117,49787.47
"Afghanistan","Philippines",0.000008,3239.554
"Afghanistan","Poland",0.000014,5765.014
"Afghanistan","Portugal",0.000000,187.014
"Afghanistan","Qatar",0.000001,322.515
"Afghanistan","Romania",0.000002,740.594
"Afghanistan","RussianFederation",0.000020,8592.45
"Afghanistan","Senegal",0.000000,115.469
