ifs,country,PPPGDP,PPPPC
512,Afghanistan,62.00911997,1937.361201
914,Albania,32.65981598,11304.23266
612,Algeria,580.7390511,14531.9183
862,AmericanSamoa,1.001930076,5183.258927
1116,Andorra,1,1
614,Angola,184.8297467,6958.245337
1111,Anguilla,1,1
311,AntiguaandBarbuda,2.100828055,23523.42674
213,Argentina,884.1549511,20498.83261
911,Armenia,25.39491748,8492.036256
1117,Aruba,1,1
193,Australia,1140.619297,47644.36306
122,Austria,405.0596971,46986.20353
912,Azerbaijan,169.7891721,18030.02055
313,Bahamas,8.924823302,24505.35132
419,Bahrain,64.16024715,49600.96974
513,Bangladesh,580.0649035,3628.65402
316,Barbados,4.662761483,16669.53611
913,Belarus,168.2679371,17714.83857
124,Belgium,494.8528808,44147.87214
339,Belize,3.048015799,8321.000586
638,Benin,22.94121331,2112.560788
1118,Bermuda,1,1
514,Bhutan,5.987300798,7689.973626
218,Bolivia,74.57612678,6953.676281
1119,SintBonaire,1,1
963,BosniaandHerzegovina,40.75548907,10549.70134
616,Botswana,34.9441654,16415.23399
223,Brazil,3198.945578,15645.89669
1120,BritishVirginIslands,1,1
516,BruneiDarussalam,33.17057702,79507.61511
918,Bulgaria,137.1328491,19169.27448
748,BurkinaFaso,30.94792945,1727.486991
618,Burundi,7.830294312,831.0846275
624,CaboVerde,3.412657194,6502.473467
522,Cambodia,54.37336786,3498.262627
622,Cameroon,72.74194475,3147.977662
156,Canada,1633.700115,45601.68545
1121,CaymanIslands,1,1
626,CentralAfricanRepublic,3.008624051,627.6386566
628,Chad,30.53008307,2639.630574
228,Chile,423.285076,23507.4702
924,China,19695.74172,14339.92364
532,ChinaHongKongSAR,415.8657366,56878.48777
1113,ChinaMacaoSAR,1,1
528,ChinaTaiwanProvince,1100.198094,46832.73576
233,Colombia,666.9577046,13836.43559
632,Comoros,1.216533537,1521.758667
634,Congo,29.36571156,6722.435875
1122,CookIslands,1,1
238,CostaRica,75.03995763,15469.18039
960,Croatia,91.28143175,21625.30058
1123,Cuba,1,1
1124,Curacao,1,1
423,Cyprus,28.10591175,33182.58122
935,CzechRepublic,338.0267385,32076.0977
662,CotedIvoire,79.63772729,3358.702607
636,DemRepoftheCongo,62.6883018,767.4880099
128,Denmark,258.7818047,45723.46923
611,Djibouti,3.099854419,3210.294673
321,Dominica,0.789634257,11162.64376
243,DominicanRepublic,149.9311688,15022.79742
248,Ecuador,184.2287884,11317.06824
469,Egypt,1050.448976,11802.79748
253,ElSalvador,52.80855165,8619.604318
642,EquatorialGuinea,34.79033183,43522.07962
643,Eritrea,8.730280812,1299.878407
939,Estonia,37.6251927,28649.98367
644,Ethiopia,161.9625956,1804.389976
1125,FaeroeIslands,1,1
1126,FalklandIslands,1,1
819,Fiji,8.064275428,9052.01044
172,Finland,224.9382739,41108.99632
132,France,2665.86286,41475.91053
1127,FrenchPolynesia,1,1
646,Gabon,34.64561874,18676.94746
648,Gambia,3.267367637,1649.78847
915,Georgia,35.68221735,9590.962625
134,Germany,3860.113761,46973.91702
652,Ghana,115.3704866,4291.06368
