source,target,weight,flow
"Afghanistan","Austria",0.00,66.539
"Afghanistan","Bangladesh",0.00,20.192
"Afghanistan","France",0.00,174.55
"Afghanistan","Germany",0.00,4716.302
"Afghanistan","India",0.00,3493.113
"Afghanistan","KoreaRepublicof",0.00,620.127
"Afghanistan","Pakistan",0.01,16788.88
"Afghanistan","UnitedArabEmirates",0.00,2143.281
"Albania","Austria",0.00,7323.698
"Albania","Canada",0.00,.931
"Albania","Croatia",0.00,17.64
"Albania","Egypt",0.00,96.63699
"Albania","France",0.00,881.466
"Albania","Germany",0.00,1788.668
"Albania","Greece",0.01,31404.4
"Albania","India",0.00,86.48
"Albania","Italy",0.00,8794.046
"Albania","SerbiaandMontenegro",0.00,3515.148
"Albania","Slovenia",0.00,1205.633
"Albania","Spain",0.00,375.964
"Albania","Switzerland",0.00,1997.705
"Albania","TFYRofMacedonia",0.00,1507.558
"Albania","UnitedKingdom",0.00,44.41
"Albania","UnitedStates",0.00,29.454
"Algeria","France",0.00,11988.65
"Algeria","Germany",0.00,998.898
"Algeria","Italy",0.00,1867.644
"Algeria","KoreaRepublicof",0.00,296.733
"Algeria","Spain",0.00,3509.849
"Algeria","Switzerland",0.00,966.101
"Algeria","UnitedKingdom",0.00,2645.772
"Algeria","UnitedStates",0.00,97.396
"AmericanSamoa","Australia",0.00,185.471
"AmericanSamoa","Samoa",0.00,3669.941
"Andorra","France",0.01,21468.85
"Andorra","Germany",0.00,7873.363
"Andorra","Ireland",0.00,196.702
"Andorra","Netherlands",0.00,4379.255
"Andorra","Portugal",0.00,1539.405
"Andorra","Spain",0.02,48402.39
"Andorra","Switzerland",0.00,356.095
"Andorra","UnitedKingdom",0.00,10213.24
"Angola","Germany",0.00,566.363
"Angola","Namibia",0.01,34675.56
"Angola","Portugal",0.04,106350.9
"Angola","SouthAfrica",0.01,27252.1
"Anguilla","AntiguaandBarbuda",0.00,175.99
"Anguilla","Chile",0.00,1570.06
"Anguilla","France",0.00,465.398
"Anguilla","Guyana",0.00,312.189
"Anguilla","Netherlands",0.00,549.561
"Anguilla","SaintKittsandNevis",0.00,10.708
"Anguilla","TrinidadandTobago",0.00,172.076
"Anguilla","UnitedKingdom",0.00,707.738
"Anguilla","UnitedStates",0.00,1609.619
"AntiguaandBarbuda","Barbados",0.00,413.576
"AntiguaandBarbuda","BritishVirginIslands",0.00,.305
"AntiguaandBarbuda","Canada",0.00,318.785
"AntiguaandBarbuda","Chile",0.00,338.697
"AntiguaandBarbuda","Denmark",0.00,44.487
"AntiguaandBarbuda","Dominica",0.00,115.003
"AntiguaandBarbuda","France",0.00,1554.061
"AntiguaandBarbuda","Germany",0.00,99.586
"AntiguaandBarbuda","Greece",0.00,1.7
"AntiguaandBarbuda","Guyana",0.00,201.233
"AntiguaandBarbuda","Ireland",0.00,18.934
"AntiguaandBarbuda","Italy",0.00,209.673
"AntiguaandBarbuda","Jamaica",0.00,258.708
"AntiguaandBarbuda","Netherlands",0.00,297.358
"AntiguaandBarbuda","NetherlandsAntilles",0.00,38.113
"AntiguaandBarbuda","Romania",0.00,29.482
"AntiguaandBarbuda","SaintKittsandNevis",0.00,6.184
"AntiguaandBarbuda","SaintLucia",0.00,791.074
"AntiguaandBarbuda","SaintVincentandGrenadines",0.00,1.634
"AntiguaandBarbuda","SouthAfrica",0.00,578.415
"AntiguaandBarbuda","Spain",0.00,15.335
"AntiguaandBarbuda","TrinidadandTobago",0.00,2987.598
"AntiguaandBarbuda","UnitedKingdom",0.00,1212.227
"AntiguaandBarbuda","UnitedStates",0.00,3098.307
"Argentina","Australia",0.00,2079.731
"Argentina","Austria",0.00,2337.759
"Argentina","Belgium",0.02,49927.76
"Argentina","Bolivia",0.00,1461.765
"Argentina","Brazil",0.02,45842.62
"Argentina","Canada",0.01,30039.32
