source,target,weight,flow
"Afghanistan","Australia",0.00,3042.772
"Afghanistan","Cambodia",0.00,3.68
"Afghanistan","Canada",0.00,599.755
"Afghanistan","ChinaTaiwanProvince",0.00,7.657
"Afghanistan","Denmark",0.00,51.391
"Afghanistan","Germany",0.00,11810.88
"Afghanistan","India",0.00,1811.405
"Afghanistan","Japan",0.00,2792.823
"Afghanistan","Malaysia",0.00,35.108
"Afghanistan","Netherlands",0.00,239.128
"Afghanistan","Pakistan",0.00,95.798
"Afghanistan","Philippines",0.00,1.22
"Afghanistan","Spain",0.00,1704.184
"Afghanistan","Thailand",0.00,66.249
"Afghanistan","Ukraine",0.00,257.493
"Afghanistan","UnitedArabEmirates",0.00,891.53
"Afghanistan","UnitedKingdom",0.00,770.4
"Afghanistan","UnitedStates",0.00,50464.18
"Albania","Austria",0.00,1984.923
"Albania","Belgium",0.00,788.508
"Albania","BosniaandHerzegovina",0.00,24.632
"Albania","Brazil",0.00,14.719
"Albania","Canada",0.00,249.851
"Albania","ChinaHongKongSAR",0.00,24.585
"Albania","Denmark",0.00,451.716
"Albania","France",0.00,22.397
"Albania","Germany",0.00,8591.994
"Albania","Greece",0.00,1231.456
"Albania","Hungary",0.00,169.807
"Albania","Israel",0.00,2691.001
"Albania","Malaysia",0.00,36.801
"Albania","Netherlands",0.00,1546.53
"Albania","Spain",0.00,13.671
"Albania","Sweden",0.00,2816.623
"Albania","Switzerland",0.00,131.485
"Albania","TFYRofMacedonia",0.00,47.902
"Albania","Ukraine",0.00,4.522
"Albania","UnitedKingdom",0.00,5364.501
"Albania","UnitedStates",0.00,753.499
"Algeria","NewZealand",0.00,3.558
"AmericanSamoa","Australia",0.00,2529.66
"AmericanSamoa","ChinaHongKongSAR",0.00,187.504
"AmericanSamoa","ChinaTaiwanProvince",0.00,46.342
"AmericanSamoa","Fiji",0.00,78.13901
"AmericanSamoa","India",0.00,1524.025
"AmericanSamoa","Malaysia",0.00,304.11
"AmericanSamoa","Samoa",0.00,11734.42
"AmericanSamoa","SouthAfrica",0.00,.02
"AmericanSamoa","Thailand",0.00,132.831
"AmericanSamoa","Tonga",0.00,1092.093
"AmericanSamoa","UnitedKingdom",0.00,1000.334
"Andorra","Austria",0.00,151.855
"Andorra","Canada",0.00,12.458
"Andorra","France",0.00,1249.391
"Andorra","Germany",0.00,262.821
"Andorra","Italy",0.00,627.107
"Andorra","Malaysia",0.00,12.703
"Andorra","Netherlands",0.00,81.574
"Andorra","Portugal",0.00,16.82
"Andorra","Spain",0.00,2477.086
"Andorra","Switzerland",0.00,2.625
"Andorra","UnitedKingdom",0.00,219.639
"Andorra","UnitedStates",0.00,103.408
"Angola","Austria",0.00,149.312
"Angola","Belgium",0.00,751.993
"Angola","Botswana",0.00,9.474
"Angola","Canada",0.00,890.472
"Angola","ChinaHongKongSAR",0.00,166.428
"Angola","CotedIvoire",0.00,91.84
"Angola","Denmark",0.00,14.46
"Angola","Germany",0.00,5617.852
"Angola","India",0.00,154.413
"Angola","Malaysia",0.00,254.202
"Angola","Mexico",0.00,16.583
"Angola","Namibia",0.00,204.887
"Angola","Portugal",0.00,10194.98
"Angola","Singapore",0.00,1668.416
"Angola","Spain",0.00,1477.012
"Angola","Thailand",0.00,8.900001
"Angola","UnitedKingdom",0.00,4777.558
"Angola","UnitedStates",0.00,25762.39
"Anguilla","Canada",0.00,84.78
"Anguilla","Chile",0.00,.002
"Anguilla","Germany",0.00,82.362
"Anguilla","Israel",0.00,18.072
"Anguilla","SaintLucia",0.00,22.339
"Anguilla","UnitedKingdom",0.00,105.902
"Anguilla","UnitedStates",0.00,5380.774
"AntiguaandBarbuda","Aruba",0.00,312.513
"AntiguaandBarbuda","Barbados",0.00,44.471
"AntiguaandBarbuda","Canada",0.00,3993.683
"AntiguaandBarbuda","Denmark",0.00,150.461
"AntiguaandBarbuda","France",0.00,18.665
"AntiguaandBarbuda","Germany",0.00,390.764
"AntiguaandBarbuda","Ghana",0.00,.451
"AntiguaandBarbuda","Greece",0.00,.001
"AntiguaandBarbuda","Guyana",0.00,212.236
"AntiguaandBarbuda","India",0.00,26.195
"AntiguaandBarbuda","Malaysia",0.00,95.062
"AntiguaandBarbuda","SaintLucia",0.00,84.396
"AntiguaandBarbuda","Singapore",0.00,113473.2
"AntiguaandBarbuda","Suriname",0.00,91.44701
"AntiguaandBarbuda","Switzerland",0.00,.043
"AntiguaandBarbuda","UnitedKingdom",0.00,637.908
"AntiguaandBarbuda","UnitedStates",0.00,29989.63
"Argentina","Canada",0.00,29426.73
"Argentina","France",0.00,16792.27
"Argentina","Germany",0.00,80171.66
"Argentina","SouthAfrica",0.00,42062.53
"Argentina","Switzerland",0.00,94820.46
"Armenia","Belgium",0.00,47.562
"Armenia","BritishVirginIslands",0.00,7.286
"Armenia","Bulgaria",0.00,7.134
"Armenia","Canada",0.00,147.518
"Armenia","China",0.00,43.266
"Armenia","ChinaHongKongSAR",0.00,61.244
"Armenia","ChinaTaiwanProvince",0.00,46.53
"Armenia","France",0.00,105.774
"Armenia","Germany",0.00,3380.519
"Armenia","Greece",0.00,103.464
"Armenia","India",0.00,6.934
"Armenia","Italy",0.00,4895.917
"Armenia","Malaysia",0.00,47.217
"Armenia","Poland",0.00,.777
"Armenia","RussianFederation",0.00,8876.267
"Armenia","Slovakia",0.00,26.211
"Armenia","Spain",0.00,.422
"Armenia","Switzerland",0.00,12710.57
"Armenia","SyrianArabRepublic",0.00,60.53
"Armenia","Ukraine",0.00,702.748
"Armenia","UnitedArabEmirates",0.00,183.071
"Armenia","UnitedKingdom",0.00,1208.027
"Armenia","UnitedStates",0.00,38983.72
"Aruba","Bahamas",0.00,7.051
"Aruba","Barbados",0.00,577.021
"Aruba","Bermuda",0.00,43.936
"Aruba","Bolivia",0.00,29.112
"Aruba","Brazil",0.00,69.724
"Aruba","Canada",0.00,167.378
"Aruba","ChinaHongKongSAR",0.00,27.779
"Aruba","ChinaTaiwanProvince",0.00,15.028
"Aruba","Colombia",0.00,3259.274
"Aruba","CostaRica",0.00,946.336
"Aruba","Cuba",0.00,47.386
"Aruba","DominicanRepublic",0.00,2118.889
"Aruba","Germany",0.00,336.751
"Aruba","Guatemala",0.00,197.977
"Aruba","Honduras",0.00,1302.084
"Aruba","India",0.00,18.907
"Aruba","Malaysia",0.00,18.596
"Aruba","Mexico",0.00,106.891
"Aruba","Netherlands",0.00,81577.4
"Aruba","NetherlandsAntilles",0.00,6718.054
"Aruba","Panama",0.00,33214.18
"Aruba","SaintLucia",0.00,33.692
"Aruba","Spain",0.00,29.051
"Aruba","Suriname",0.00,791.952
"Aruba","Switzerland",0.00,4.061
