source,target,weight,flow
"Afghanistan","Argentina",0.00,309.851
"Afghanistan","Armenia",0.00,237.707
"Afghanistan","Australia",0.00,2840.898
"Afghanistan","Austria",0.00,10306.61
"Afghanistan","Azerbaijan",0.00,251178.3
"Afghanistan","Bahrain",0.00,1283.476
"Afghanistan","Bangladesh",0.00,8304.342
"Afghanistan","Belarus",0.00,16708.57
"Afghanistan","Belgium",0.00,46932.72
"Afghanistan","Brazil",0.00,7113.931
"Afghanistan","BruneiDarussalam",0.00,176.902
"Afghanistan","Bulgaria",0.00,2376.303
"Afghanistan","Canada",0.00,12251.8
"Afghanistan","China",0.00,372839.9
"Afghanistan","ChinaHongKongSAR",0.00,10206.47
"Afghanistan","ChinaTaiwanProvince",0.00,1093.217
"Afghanistan","Colombia",0.00,161.655
"Afghanistan","CostaRica",0.00,47.519
"Afghanistan","CotedIvoire",0.00,91.252
"Afghanistan","Croatia",0.00,139.514
"Afghanistan","CzechRepublic",0.00,8092.028
"Afghanistan","Denmark",0.00,12740.88
"Afghanistan","DominicanRepublic",0.00,360.918
"Afghanistan","Ecuador",0.00,5.193
"Afghanistan","Egypt",0.00,6018.434
"Afghanistan","Estonia",0.00,968.491
"Afghanistan","Finland",0.00,10710.36
"Afghanistan","France",0.00,27801.91
"Afghanistan","Georgia",0.00,651.033
"Afghanistan","Germany",0.00,104539.7
"Afghanistan","Greece",0.00,700.164
"Afghanistan","Guatemala",0.00,225.327
"Afghanistan","Hungary",0.00,6097.182
"Afghanistan","India",0.00,669473.8
"Afghanistan","Indonesia",0.00,40733.99
"Afghanistan","Ireland",0.00,4307.203
"Afghanistan","Italy",0.00,13208.08
"Afghanistan","Japan",0.00,25413.11
"Afghanistan","Jordan",0.00,3101.756
"Afghanistan","Kazakhstan",0.00,164630.5
"Afghanistan","Kenya",0.00,112102
"Afghanistan","KoreaRepublicof",0.00,44212.97
"Afghanistan","Kyrgyzstan",0.00,68908.16
"Afghanistan","Latvia",0.00,5077.838
"Afghanistan","Lebanon",0.00,1043.772
"Afghanistan","Lithuania",0.00,5012.358
"Afghanistan","Luxembourg",0.00,1373.257
"Afghanistan","Malaysia",0.00,99526.91
"Afghanistan","Mauritius",0.00,14.236
"Afghanistan","Netherlands",0.00,57853.98
"Afghanistan","NewZealand",0.00,451.721
"Afghanistan","Nigeria",0.00,154.654
"Afghanistan","Norway",0.00,2487.176
"Afghanistan","Oman",0.00,172.418
"Afghanistan","Pakistan",0.00,1873025
"Afghanistan","Peru",0.00,3141.252
"Afghanistan","Philippines",0.00,6550.843
"Afghanistan","Poland",0.00,9607.024
"Afghanistan","Portugal",0.00,347.489
"Afghanistan","Qatar",0.00,900.772
"Afghanistan","RepublicofMoldova",0.00,66.489
"Afghanistan","Romania",0.00,8048.891
"Afghanistan","RussianFederation",0.00,156343.5
"Afghanistan","SaudiArabia",0.00,3050.384
"Afghanistan","Senegal",0.00,1271.777
"Afghanistan","Serbia",0.00,12251.34
"Afghanistan","Singapore",0.00,16061.01
"Afghanistan","Slovakia",0.00,6012.067
"Afghanistan","SouthAfrica",0.00,931.089
"Afghanistan","Spain",0.00,8928.554
"Afghanistan","SriLanka",0.00,519.415
"Afghanistan","Sweden",0.00,18542.48
"Afghanistan","Switzerland",0.00,8687.19
"Afghanistan","TFYRofMacedonia",0.00,323.915
"Afghanistan","Thailand",0.00,29029.14
"Afghanistan","Tunisia",0.00,75.476
"Afghanistan","Turkey",0.00,170072.5
"Afghanistan","Ukraine",0.00,9894.149
"Afghanistan","UnitedArabEmirates",0.00,292243.3
"Afghanistan","UnitedKingdom",0.00,29901.3
"Afghanistan","UnitedStates",0.00,536366.3
"Afghanistan","Uruguay",0.00,201.953
"Albania","Algeria",0.00,15577.04
"Albania","Argentina",0.00,5038.396
"Albania","Australia",0.00,2591.933
"Albania","Austria",0.00,81362.55
"Albania","Belarus",0.00,7597.875
"Albania","Belgium",0.00,33519.15
"Albania","BosniaandHerzegovina",0.00,36012.88
"Albania","Brazil",0.00,37233.07
"Albania","Bulgaria",0.00,91602.43
"Albania","Cameroon",0.00,104.254
"Albania","Canada",0.00,33682.29
"Albania","Chile",0.00,316.207
"Albania","China",0.00,539504.6
"Albania","ChinaHongKongSAR",0.00,12764.12
"Albania","ChinaTaiwanProvince",0.00,13667.17
"Albania","Colombia",0.00,576.443
"Albania","CostaRica",0.00,51.577
"Albania","CotedIvoire",0.00,347.003
"Albania","Croatia",0.00,80705.13
"Albania","Cyprus",0.00,1413.442
"Albania","CzechRepublic",0.00,40077.81
"Albania","Denmark",0.00,6348.68
"Albania","DominicanRepublic",0.00,1073.234
"Albania","Ecuador",0.00,12780.51
"Albania","Egypt",0.00,19776.49
"Albania","Estonia",0.00,802.018
"Albania","Finland",0.00,2121.823
"Albania","France",0.00,77738
"Albania","Georgia",0.00,278.992
"Albania","Germany",0.00,287703.1
"Albania","Greece",0.00,488342.1
"Albania","Guinea",0.00,132.092
"Albania","Hungary",0.00,76643.29
"Albania","Iceland",0.00,747.22
"Albania","India",0.00,28256.76
"Albania","Indonesia",0.00,6220.729
"Albania","IranIslamicRepublic",0.00,3499.288
"Albania","Ireland",0.00,8947.022
"Albania","Italy",0.00,2353068
"Albania","Japan",0.00,6964.148
"Albania","Jordan",0.00,673.884
"Albania","Kazakhstan",0.00,663.026
"Albania","KoreaRepublicof",0.00,18866.99
"Albania","Kuwait",0.00,538.37
"Albania","Kyrgyzstan",0.00,286.153
"Albania","Latvia",0.00,1451.633
"Albania","Lebanon",0.00,1826.435
"Albania","Lithuania",0.00,2743.471
"Albania","Luxembourg",0.00,887.893
"Albania","Malaysia",0.00,11823.29
"Albania","Mali",0.00,44.973
"Albania","Malta",0.00,40002.18
"Albania","MarshallIslands",0.00,549.692
"Albania","Mexico",0.00,4075.527
"Albania","Montenegro",0.00,60141.32
"Albania","Morocco",0.00,3681.472
"Albania","Netherlands",0.00,73079.63
"Albania","NewZealand",0.00,293.708
"Albania","Niger",0.00,200.117
"Albania","Norway",0.00,3387.106
"Albania","Oman",0.00,842.971
"Albania","Pakistan",0.00,4113.876
"Albania","Peru",0.00,412.616
"Albania","Philippines",0.00,187.008
"Albania","Poland",0.00,49510.46
"Albania","Portugal",0.00,7011.977
"Albania","Qatar",0.00,3594.106
"Albania","RepublicofMoldova",0.00,4436.84
"Albania","Romania",0.00,62724.5
"Albania","RussianFederation",0.00,75341.69
"Albania","SaudiArabia",0.00,4601.301
"Albania","Senegal",0.00,9474.869
"Albania","Serbia",0.00,165395.2
"Albania","SierraLeone",0.00,82.936
"Albania","Singapore",0.00,632.881
"Albania","Slovakia",0.00,44845.91
"Albania","Slovenia",0.00,44691.66
"Albania","SouthAfrica",0.00,1397.518
"Albania","Spain",0.00,172076.3
"Albania","SriLanka",0.00,8923.552
"Albania","Swaziland",0.00,236.831
"Albania","Sweden",0.00,9023.381
"Albania","Switzerland",0.00,48536.5
"Albania","SyrianArabRepublic",0.00,284.569
"Albania","TFYRofMacedonia",0.00,114221.1
"Albania","Tajikistan",0.00,366.463
"Albania","Thailand",0.00,7066.762
"Albania","Tunisia",0.00,6106.133
"Albania","Turkey",0.00,338342.4
