source,target,weight,flow
"Afghanistan","Australia",0.00,1396.31
"Afghanistan","Austria",0.00,607.642
"Afghanistan","Bahrain",0.00,673.613
"Afghanistan","Bangladesh",0.00,2673.125
"Afghanistan","Belgium",0.00,2551.546
"Afghanistan","Brazil",0.00,6764.062
"Afghanistan","Canada",0.00,587.868
"Afghanistan","China",0.00,19618.63
"Afghanistan","CostaRica",0.00,31.235
"Afghanistan","CzechRepublic",0.00,52.429
"Afghanistan","Denmark",0.00,1776.653
"Afghanistan","DominicanRepublic",0.00,104.229
"Afghanistan","Egypt",0.00,245.218
"Afghanistan","Finland",0.00,82.46201
"Afghanistan","France",0.00,10263.95
"Afghanistan","Germany",0.00,6470.119
"Afghanistan","Hungary",0.00,481.682
"Afghanistan","India",0.00,101537.3
"Afghanistan","Indonesia",0.00,1835.837
"Afghanistan","Ireland",0.00,3322.923
"Afghanistan","Italy",0.00,3349.327
"Afghanistan","Jordan",0.00,386.924
"Afghanistan","Kazakhstan",0.00,110721.5
"Afghanistan","KoreaRepublicof",0.00,116.733
"Afghanistan","Kyrgyzstan",0.00,392.076
"Afghanistan","Latvia",0.00,1618.56
"Afghanistan","Lebanon",0.00,477.576
"Afghanistan","Lithuania",0.00,1845.975
"Afghanistan","Malaysia",0.00,31.546
"Afghanistan","Netherlands",0.00,17865.2
"Afghanistan","NewZealand",0.00,343.929
"Afghanistan","Norway",0.00,124.959
"Afghanistan","Pakistan",0.03,1097692
"Afghanistan","Philippines",0.00,352.766
"Afghanistan","Poland",0.00,2990.998
"Afghanistan","RussianFederation",0.00,8397.662
"Afghanistan","SaudiArabia",0.00,1229.844
"Afghanistan","Senegal",0.00,849.57
"Afghanistan","Spain",0.00,1469.497
"Afghanistan","SriLanka",0.00,45.298
"Afghanistan","Switzerland",0.00,581.636
"Afghanistan","TFYRofMacedonia",0.00,16.023
"Afghanistan","Turkey",0.00,9879.3
"Afghanistan","Ukraine",0.00,1304.349
"Afghanistan","UnitedArabEmirates",0.00,19213
"Afghanistan","UnitedKingdom",0.00,950.071
"Afghanistan","UnitedStates",0.00,33057.06
"Afghanistan","Uruguay",0.00,194.275
"Albania","Algeria",0.00,14864.1
"Albania","Argentina",0.00,4583.229
"Albania","Australia",0.00,324.901
"Albania","Austria",0.00,4169.767
"Albania","Belgium",0.00,3340.921
"Albania","BosniaandHerzegovina",0.00,3466.28
"Albania","Bulgaria",0.00,14819.4
"Albania","Cameroon",0.00,56.249
"Albania","Canada",0.00,3977.803
"Albania","Chile",0.00,28.829
"Albania","China",0.00,8363.793
"Albania","ChinaHongKongSAR",0.00,65.607
"Albania","CotedIvoire",0.00,79.271
"Albania","Croatia",0.00,23454.95
"Albania","Cyprus",0.00,24.382
"Albania","CzechRepublic",0.00,639.616
"Albania","Denmark",0.00,934.594
"Albania","DominicanRepublic",0.00,6.374
"Albania","Egypt",0.00,2106.749
"Albania","Estonia",0.00,26.268
"Albania","France",0.00,5631.851
"Albania","Germany",0.00,19752.71
"Albania","Greece",0.00,81104.97
"Albania","Hungary",0.00,4185.709
"Albania","Indonesia",0.00,505.91
"Albania","Ireland",0.00,791.173
"Albania","Italy",0.00,144999
"Albania","Jordan",0.00,15.392
"Albania","KoreaRepublicof",0.00,201.946
"Albania","Latvia",0.00,109.192
"Albania","Lithuania",0.00,1500.965
"Albania","Mexico",0.00,2621.236
"Albania","Montenegro",0.00,7746.101
"Albania","Netherlands",0.00,8009.697
"Albania","NewZealand",0.00,95.896
"Albania","Philippines",0.00,125.712
"Albania","Poland",0.00,6843.76
