source,target,weight,flow
"Afghanistan","Belgium",0.00,507.874
"Afghanistan","Bulgaria",0.00,9.237
"Afghanistan","Canada",0.00,114.767
"Afghanistan","China",0.00,5743.653
"Afghanistan","Denmark",0.00,202.239
"Afghanistan","Egypt",0.00,419.856
"Afghanistan","France",0.00,508.114
"Afghanistan","Germany",0.00,1338.748
"Afghanistan","India",0.00,37090.18
"Afghanistan","Indonesia",0.00,1.92
"Afghanistan","Italy",0.00,699.924
"Afghanistan","Japan",0.00,187.072
"Afghanistan","Kazakhstan",0.00,3406.29
"Afghanistan","Kenya",0.00,73.471
"Afghanistan","KoreaRepublicof",0.00,12.726
"Afghanistan","Kyrgyzstan",0.00,3470.77
"Afghanistan","Netherlands",0.00,971.882
"Afghanistan","Norway",0.00,6.157
"Afghanistan","Pakistan",0.00,78209.25
"Afghanistan","Philippines",0.00,76.365
"Afghanistan","Poland",0.00,91.46
"Afghanistan","RussianFederation",0.00,34467.02
"Afghanistan","Spain",0.00,540.641
"Afghanistan","SriLanka",0.00,9.359
"Afghanistan","Sweden",0.00,7.539
"Afghanistan","Switzerland",0.00,28.71
"Afghanistan","Thailand",0.00,25.309
"Afghanistan","Turkey",0.00,4040.536
"Afghanistan","Ukraine",0.00,47.306
"Afghanistan","UnitedArabEmirates",0.00,844.735
"Afghanistan","UnitedKingdom",0.00,1418.84
"Afghanistan","UnitedStates",0.00,2634.629
"Albania","Argentina",0.00,96.90401
"Albania","Australia",0.00,856.1949
"Albania","Austria",0.00,1382.941
"Albania","Belgium",0.00,2610.798
"Albania","BosniaandHerzegovina",0.00,5940.555
"Albania","Brazil",0.00,370.756
"Albania","Bulgaria",0.00,7575.229
"Albania","Cameroon",0.00,8.765
"Albania","Canada",0.00,270.564
"Albania","China",0.00,96621.94
"Albania","CostaRica",0.00,.224
"Albania","CotedIvoire",0.00,46.062
"Albania","Croatia",0.00,1111.363
"Albania","Cyprus",0.00,101.018
"Albania","CzechRepublic",0.00,418.274
"Albania","Denmark",0.00,67.00301
"Albania","DominicanRepublic",0.00,14.768
"Albania","Egypt",0.00,328.564
"Albania","France",0.00,1880.18
"Albania","Germany",0.00,8505.647
"Albania","Greece",0.00,13580.98
"Albania","Hungary",0.00,284.648
"Albania","Iceland",0.00,550.825
"Albania","India",0.00,1794.39
"Albania","Indonesia",0.00,47.798
"Albania","Ireland",0.00,75.57
"Albania","Italy",0.00,41398.85
"Albania","Japan",0.00,173.06
"Albania","KoreaRepublicof",0.00,15.128
"Albania","Latvia",0.00,66.866
"Albania","Lebanon",0.00,432.99
"Albania","Malta",0.00,77.591
"Albania","Montenegro",0.00,8508.722
"Albania","Morocco",0.00,19.779
"Albania","Netherlands",0.00,3008.55
"Albania","Norway",0.00,68.9
"Albania","Pakistan",0.00,439.21
"Albania","Poland",0.00,1398.374
"Albania","Romania",0.00,271.058
"Albania","RussianFederation",0.00,1298.436
"Albania","Senegal",0.00,721.812
"Albania","Serbia",0.00,11233.02
"Albania","Slovakia",0.00,7.372
"Albania","Slovenia",0.00,251.729
"Albania","SouthAfrica",0.00,211.636
"Albania","Spain",0.00,719.063
"Albania","SriLanka",0.00,124.455
"Albania","Swaziland",0.00,5.119
"Albania","Switzerland",0.00,3251.299
"Albania","SyrianArabRepublic",0.00,4.605
"Albania","TFYRofMacedonia",0.00,9517.52
"Albania","Turkey",0.00,8910.755
"Albania","Ukraine",0.00,170.34
"Albania","UnitedArabEmirates",0.00,609.077
"Albania","UnitedKingdom",0.00,1891.952
"Albania","UnitedStates",0.00,10085.08
"Albania","Uruguay",0.00,123.904
"Algeria","Australia",0.00,142.282
"Algeria","Austria",0.00,12754.73
"Algeria","Belgium",0.00,19110.13
"Algeria","Brazil",0.00,36831.16
"Algeria","Bulgaria",0.00,15571.55
"Algeria","Cameroon",0.00,229.799
"Algeria","Canada",0.00,287.441
"Algeria","China",0.00,8311.337
"Algeria","ChinaTaiwanProvince",0.00,820.681
"Algeria","CotedIvoire",0.00,624.202
"Algeria","Croatia",0.00,11083.91
"Algeria","Denmark",0.00,1341.193
"Algeria","Egypt",0.00,11943.38
"Algeria","France",0.00,63548.09
"Algeria","Germany",0.00,39039.61
"Algeria","Ghana",0.00,76.888
"Algeria","Greece",0.00,10038.41
"Algeria","India",0.00,20942.79
"Algeria","Indonesia",0.00,1594.852
"Algeria","Italy",0.00,29033.16
"Algeria","Japan",0.00,88.216
"Algeria","KoreaRepublicof",0.00,430.629
"Algeria","Libya",0.00,60.328
"Algeria","Malaysia",0.00,154.949
"Algeria","Mali",0.00,1377.922
"Algeria","Mexico",0.00,31.875
"Algeria","Morocco",0.00,15802.37
"Algeria","Netherlands",0.00,29731.35
"Algeria","Niger",0.00,352.07
"Algeria","Nigeria",0.00,425.056
"Algeria","Pakistan",0.00,1383.869
"Algeria","Poland",0.00,34282.95
"Algeria","Portugal",0.00,6236.392
"Algeria","SaudiArabia",0.00,3063.028
"Algeria","Senegal",0.00,528.934
"Algeria","Slovenia",0.00,91345.26
"Algeria","SouthAfrica",0.00,1857.601
"Algeria","Spain",0.00,40272.64
"Algeria","Switzerland",0.00,239.003
"Algeria","SyrianArabRepublic",0.00,209.723
"Algeria","Tajikistan",0.00,1029.824
"Algeria","Thailand",0.00,1183.268
"Algeria","Tunisia",0.00,7622.578
"Algeria","Turkey",0.00,8309.522
"Algeria","Ukraine",0.00,17006.31
"Algeria","UnitedArabEmirates",0.00,1068.733
"Algeria","UnitedKingdom",0.00,3015.996
"Algeria","UnitedStates",0.00,43348.74
"AmericanSamoa","Canada",0.00,456.037
"AmericanSamoa","Fiji",0.00,835.59
"AmericanSamoa","Indonesia",0.00,2740.949
"AmericanSamoa","NewZealand",0.00,6897.115
"AmericanSamoa","Samoa",0.00,52.386
"AmericanSamoa","Tonga",0.00,27.123
"Andorra","France",0.00,538.399
"Andorra","Italy",0.00,44.913
"Andorra","Spain",0.00,12736.65
"Angola","Argentina",0.00,4255.058
