source,target,weight,flow
"Afghanistan","Belgium",0.00,142.551
"Afghanistan","Kenya",0.00,55.909
"Afghanistan","Kyrgyzstan",0.00,40242.06
"Afghanistan","Pakistan",0.00,86448.36
"Afghanistan","Turkey",0.00,1380.999
"Afghanistan","UnitedArabEmirates",0.00,2407.383
"Albania","Belgium",0.00,438.297
"Albania","BosniaandHerzegovina",0.00,1643.534
"Albania","Bulgaria",0.00,3132.23
"Albania","China",0.00,29.431
"Albania","Croatia",0.00,31454.76
"Albania","CzechRepublic",0.00,657.363
"Albania","Denmark",0.00,742.34
"Albania","Egypt",0.00,1910.268
"Albania","France",0.00,350.837
"Albania","Germany",0.00,3000.309
"Albania","Greece",0.00,106671.4
"Albania","Italy",0.00,410760
"Albania","Malta",0.00,16091.56
"Albania","Montenegro",0.00,8039.525
"Albania","Netherlands",0.00,1472.568
"Albania","Portugal",0.00,173.179
"Albania","Qatar",0.00,16.066
"Albania","Romania",0.00,3426.963
"Albania","Serbia",0.00,17605.44
"Albania","Slovenia",0.00,2604.286
"Albania","Spain",0.00,55945.75
"Albania","TFYRofMacedonia",0.00,2580.629
"Albania","Turkey",0.00,8631.787
"Albania","UnitedArabEmirates",0.00,30.023
"Albania","UnitedStates",0.00,105783.3
"Algeria","Austria",0.00,342545.7
"Algeria","Belgium",0.01,1086474
"Algeria","Brazil",0.02,1941195
"Algeria","Canada",0.01,804881.6
"Algeria","China",0.01,776714.1
"Algeria","ChinaHongKongSAR",0.00,816.036
"Algeria","Cyprus",0.00,19975.26
"Algeria","Denmark",0.00,367.155
"Algeria","Egypt",0.01,508459.2
"Algeria","France",0.04,4244281
"Algeria","Germany",0.02,1449453
"Algeria","Greece",0.00,158611.4
"Algeria","India",0.00,366976.3
"Algeria","Italy",0.04,3758059
"Algeria","Japan",0.01,913201.8
"Algeria","KoreaRepublicof",0.01,851117.8
"Algeria","Lebanon",0.00,66548.83
"Algeria","Liberia",0.00,7426.4
"Algeria","Libya",0.00,24160.54
"Algeria","Luxembourg",0.00,1.637
"Algeria","Malaysia",0.00,161755.9
"Algeria","Malta",0.00,16268.02
"Algeria","Mexico",0.00,7371.627
"Algeria","Morocco",0.01,989504.2
"Algeria","Netherlands",0.02,1810709
"Algeria","Nigeria",0.00,3800.037
"Algeria","Portugal",0.01,601062.8
"Algeria","SaudiArabia",0.00,4348.009
"Algeria","Singapore",0.00,39500.82
"Algeria","Spain",0.07,7029940
"Algeria","Sweden",0.00,21523.51
"Algeria","Switzerland",0.00,3752.932
"Algeria","SyrianArabRepublic",0.00,43.632
"Algeria","Tunisia",0.02,1758198
"Algeria","Turkey",0.01,725159.8
"Algeria","Ukraine",0.00,11245.92
"Algeria","UnitedArabEmirates",0.00,20844.85
"Algeria","UnitedKingdom",0.03,2672832
