source,target,weight,flow
"Afghanistan","India",0.00,321.394
"Afghanistan","Kazakhstan",0.00,442.276
"Afghanistan","Turkey",0.00,6674.424
"Albania","BosniaandHerzegovina",0.00,32.236
"Albania","China",0.00,376.891
"Albania","France",0.00,5.104
"Albania","Greece",0.00,2435.286
"Albania","Italy",0.00,5765.155
"Albania","Serbia",0.00,1762.33
"Albania","Spain",0.00,339.7
"Albania","Switzerland",0.00,38.856
"Albania","Turkey",0.00,151.007
"Algeria","BurkinaFaso",0.00,.27
"Algeria","Canada",0.00,3769.102
"Algeria","China",0.00,985.634
"Algeria","CotedIvoire",0.00,1504.375
"Algeria","Egypt",0.00,1204
"Algeria","France",0.00,2080.573
"Algeria","Italy",0.00,7519.52
"Algeria","Jordan",0.00,105.301
"Algeria","Lebanon",0.00,1265.388
"Algeria","Netherlands",0.01,53170.76
"Algeria","Pakistan",0.00,1.674
"Algeria","Portugal",0.00,38.543
"Algeria","RussianFederation",0.03,132019.5
"Algeria","SaudiArabia",0.00,1279.053
"Algeria","Spain",0.02,72641.97
"Algeria","Sweden",0.00,302.877
"Algeria","Switzerland",0.00,.262
"Algeria","SyrianArabRepublic",0.00,88.816
"Algeria","Tunisia",0.00,4607.918
"Algeria","UnitedArabEmirates",0.00,249.814
"Algeria","UnitedStates",0.00,7967.652
"AmericanSamoa","Samoa",0.00,7.495
"Andorra","Spain",0.00,5276.72
"Angola","Congo",0.00,136.394
"Angola","Indonesia",0.01,62577.3
"Angola","Namibia",0.00,1605.365
"Angola","SaoTomeandPricipe",0.00,2.148
"Angola","SouthAfrica",0.00,593.083
"Angola","Turkey",0.00,188.672
"Angola","UnitedKingdom",0.00,12.55
"Angola","Zambia",0.00,50.782
"Anguilla","UnitedStates",0.00,43.022
"AntiguaandBarbuda","Canada",0.00,25.208
"AntiguaandBarbuda","Dominica",0.00,3.965
"AntiguaandBarbuda","Guyana",0.00,1.441
"AntiguaandBarbuda","SaintLucia",0.00,.276
"Argentina","Belgium",0.00,10828.25
"Argentina","Bolivia",0.00,1625.438
"Argentina","Brazil",0.02,72246.54
"Argentina","Canada",0.00,1398.07
"Argentina","Chile",0.04,204400.8
"Argentina","China",0.09,440255.6
"Argentina","ChinaTaiwanProvince",0.00,2277.967
"Argentina","Colombia",0.00,10991.32
"Argentina","CostaRica",0.00,4048.216
"Argentina","Ecuador",0.00,13871.56
"Argentina","Egypt",0.03,152637.3
"Argentina","France",0.01,34495.34
"Argentina","Germany",0.00,13363.6
"Argentina","Honduras",0.00,888.382
"Argentina","India",0.39,1827187
"Argentina","Israel",0.00,2338.941
"Argentina","Italy",0.00,1142.867
"Argentina","Japan",0.00,4420.561
"Argentina","KoreaRepublicof",0.02,92522.48
"Argentina","Malaysia",0.03,118830.8
"Argentina","Mexico",0.01,29363.02
"Argentina","Morocco",0.00,3891.676
"Argentina","Mozambique",0.01,64103.33
"Argentina","Netherlands",0.02,80961.96
"Argentina","Paraguay",0.01,59498.85
"Argentina","Philippines",0.00,497.982
"Argentina","Portugal",0.00,1047.515
"Argentina","RussianFederation",0.00,2120.129
"Argentina","Singapore",0.00,1508.086
"Argentina","Spain",0.01,51160.79
"Argentina","Suriname",0.00,3031.079
"Argentina","Switzerland",0.00,21.096
"Argentina","Thailand",0.00,339.18
"Argentina","Turkey",0.00,11019.79
"Argentina","UnitedKingdom",0.00,331.295
"Argentina","UnitedStates",0.02,111155.5
"Argentina","Uruguay",0.00,18390.91
"Armenia","France",0.00,1.85
"Armenia","Georgia",0.00,959.527
"Armenia","Germany",0.00,289.125
"Armenia","IranIslamicRepublic",0.00,4853.543
"Armenia","RussianFederation",0.00,18266.9
"Armenia","UnitedArabEmirates",0.00,48.147
"Aruba","Colombia",0.00,48.855
"Aruba","Netherlands",0.00,197.392
"Aruba","UnitedStates",0.00,2030.665
"Aruba","Venezuela",0.00,271.587
"Australia","Bangladesh",0.00,348.789
"Australia","Belgium",0.00,1827.839
"Australia","Brazil",0.00,9580.064
"Australia","BruneiDarussalam",0.00,5.481
"Australia","BurkinaFaso",0.00,13.523
"Australia","Canada",0.00,1245.278
"Australia","Chile",0.00,2026.522
"Australia","China",0.02,72663.87
"Australia","ChinaHongKongSAR",0.00,3444.308
"Australia","ChinaTaiwanProvince",0.01,34221.21
"Australia","Denmark",0.00,299.398
"Australia","Egypt",0.00,420.162
"Australia","Fiji",0.00,3155.526
"Australia","France",0.00,2428.762
"Australia","FrenchPolynesia",0.00,27.405
"Australia","Germany",0.00,3470.314
"Australia","Ghana",0.00,1038.799
"Australia","India",0.00,10460.8
"Australia","Indonesia",0.01,34940.67
"Australia","IranIslamicRepublic",0.00,43.218
"Australia","Ireland",0.00,7.245
"Australia","Israel",0.00,4276.411
"Australia","Italy",0.01,32718.09
"Australia","Japan",0.00,17751.23
"Australia","Kiribati",0.00,14.47
"Australia","KoreaRepublicof",0.00,22319.7
"Australia","Liberia",0.00,3.791
"Australia","Lithuania",0.00,37.879
"Australia","Malaysia",0.04,191152.8
"Australia","Netherlands",0.00,5289.049
"Australia","NewZealand",0.01,29823.46
"Australia","Nigeria",0.00,15043.62
"Australia","Norway",0.00,136.16
"Australia","Oman",0.00,22.286
"Australia","Pakistan",0.00,12088.44
"Australia","PapuaNewGuinea",0.00,1888.319
"Australia","Philippines",0.00,8668.195
"Australia","Poland",0.00,6.154
"Australia","Romania",0.00,5.74
"Australia","SaudiArabia",0.00,493.159
"Australia","Serbia",0.00,9.675
"Australia","Singapore",0.04,198127.5
"Australia","Slovenia",0.00,77.331
"Australia","SolomonIslands",0.00,186.51
"Australia","SouthAfrica",0.00,789.854
"Australia","Spain",0.01,66605.55
"Australia","SriLanka",0.00,9656.482
"Australia","Sweden",0.00,1304.017
"Australia","Switzerland",0.00,426.538
"Australia","Thailand",0.00,19336.24
"Australia","TimorLeste",0.00,7.159
"Australia","Turkey",0.00,1699.078
"Australia","UnitedArabEmirates",0.00,1440.122
"Australia","UnitedKingdom",0.00,3608.294
"Australia","UnitedStates",0.01,24867.88
"Australia","Vanuatu",0.00,63.747
"Australia","VietNam",0.00,3434.496
"Austria","Belgium",0.00,12923.76
"Austria","BosniaandHerzegovina",0.00,5617.5
"Austria","Bulgaria",0.00,4249.962
"Austria","China",0.00,171.133
"Austria","Croatia",0.00,5518.827
"Austria","Cyprus",0.00,209.395
"Austria","CzechRepublic",0.02,107417.5
"Austria","Denmark",0.00,1865.811
"Austria","Egypt",0.00,10.223
"Austria","Estonia",0.00,194.779
"Austria","Finland",0.00,343.142
"Austria","France",0.00,5172.613
"Austria","Germany",0.04,185580.2
"Austria","Ghana",0.00,1.175
"Austria","Greece",0.00,8072.765
"Austria","Hungary",0.01,34800
"Austria","India",0.00,67.32899
"Austria","IranIslamicRepublic",0.00,54.635
"Austria","Iraq",0.00,1.761
"Austria","Ireland",0.00,30.031
"Austria","Israel",0.00,81.877
"Austria","Italy",0.02,77869.13
"Austria","Japan",0.00,117.241
"Austria","Kenya",0.00,.917
"Austria","KoreaRepublicof",0.00,83.334
"Austria","Kyrgyzstan",0.00,2.228
"Austria","Lithuania",0.00,309.856
"Austria","Luxembourg",0.00,288.8
"Austria","Malaysia",0.00,56.731
"Austria","Mexico",0.00,59.772
"Austria","Morocco",0.00,125.183
"Austria","Namibia",0.00,12.658
