source,target,weight,flow
"Afghanistan","Australia",0.00,757.136
"Afghanistan","Austria",0.00,2902.974
"Afghanistan","Azerbaijan",0.00,537.445
"Afghanistan","Bahrain",0.00,109.005
"Afghanistan","Belgium",0.00,4370.737
"Afghanistan","Brazil",0.00,104.688
"Afghanistan","BruneiDarussalam",0.00,56.599
"Afghanistan","Bulgaria",0.00,897.643
"Afghanistan","Canada",0.00,8475.606
"Afghanistan","China",0.00,170075.6
"Afghanistan","ChinaHongKongSAR",0.00,9235.108
"Afghanistan","ChinaTaiwanProvince",0.00,173.134
"Afghanistan","Colombia",0.00,15.688
"Afghanistan","CotedIvoire",0.00,58.425
"Afghanistan","Croatia",0.00,136.678
"Afghanistan","CzechRepublic",0.00,3936.598
"Afghanistan","Denmark",0.00,9569.763
"Afghanistan","DominicanRepublic",0.00,181.454
"Afghanistan","Egypt",0.00,3980.644
"Afghanistan","Estonia",0.00,966.797
"Afghanistan","Finland",0.00,1702.331
"Afghanistan","France",0.00,6394.707
"Afghanistan","Georgia",0.00,290.758
"Afghanistan","Germany",0.00,66527.24
"Afghanistan","Greece",0.00,641.162
"Afghanistan","Hungary",0.00,5221.873
"Afghanistan","India",0.00,38792.92
"Afghanistan","Indonesia",0.00,2541.472
"Afghanistan","Ireland",0.00,214.4
"Afghanistan","Italy",0.00,5963.426
"Afghanistan","Japan",0.00,16202.92
"Afghanistan","Kazakhstan",0.00,9078.194
"Afghanistan","Kenya",0.00,178.122
"Afghanistan","KoreaRepublicof",0.00,6541.315
"Afghanistan","Kyrgyzstan",0.00,19438.84
"Afghanistan","Latvia",0.00,937.236
"Afghanistan","Lebanon",0.00,248.162
"Afghanistan","Lithuania",0.00,2464.786
"Afghanistan","Luxembourg",0.00,1074.217
"Afghanistan","Malaysia",0.00,2894.584
"Afghanistan","Netherlands",0.00,27026.52
"Afghanistan","NewZealand",0.00,53.8
"Afghanistan","Nigeria",0.00,59.545
"Afghanistan","Norway",0.00,2088.297
"Afghanistan","Pakistan",0.00,49787.47
"Afghanistan","Philippines",0.00,3239.554
"Afghanistan","Poland",0.00,5765.014
"Afghanistan","Portugal",0.00,187.014
"Afghanistan","Qatar",0.00,322.515
"Afghanistan","Romania",0.00,740.594
"Afghanistan","RussianFederation",0.00,8592.45
"Afghanistan","Senegal",0.00,115.469
"Afghanistan","Serbia",0.00,48.325
"Afghanistan","Singapore",0.00,13805.43
"Afghanistan","Slovakia",0.00,5965.773
"Afghanistan","SouthAfrica",0.00,665.158
"Afghanistan","Spain",0.00,3331.993
"Afghanistan","SriLanka",0.00,3.343
"Afghanistan","Sweden",0.00,17656.26
"Afghanistan","Switzerland",0.00,5823.284
"Afghanistan","TFYRofMacedonia",0.00,12.649
"Afghanistan","Thailand",0.00,23349.27
"Afghanistan","Turkey",0.00,45666.63
"Afghanistan","Ukraine",0.00,3270.125
"Afghanistan","UnitedArabEmirates",0.00,190212.1
"Afghanistan","UnitedKingdom",0.00,20667.87
"Afghanistan","UnitedStates",0.00,195618.6
"Albania","Argentina",0.00,5.092
"Albania","Australia",0.00,114.052
"Albania","Austria",0.00,31284.22
"Albania","Belgium",0.00,9050.246
"Albania","BosniaandHerzegovina",0.00,266.824
"Albania","Brazil",0.00,112.533
"Albania","Bulgaria",0.00,13808.41
"Albania","Cameroon",0.00,1.338
"Albania","Canada",0.00,21741.96
"Albania","China",0.00,100339.7
"Albania","ChinaHongKongSAR",0.00,9218.701
"Albania","ChinaTaiwanProvince",0.00,1259.821
"Albania","CostaRica",0.00,6.472
"Albania","Croatia",0.00,9515.737
"Albania","Cyprus",0.00,34.358
"Albania","CzechRepublic",0.00,19758.39
"Albania","Denmark",0.00,1770.251
"Albania","Egypt",0.00,193.175
"Albania","Estonia",0.00,488.242
"Albania","Finland",0.00,184.347
"Albania","France",0.00,23242.95
"Albania","Georgia",0.00,206.293
"Albania","Germany",0.00,106316.9
"Albania","Greece",0.00,31068.39
"Albania","Hungary",0.00,20818.93
"Albania","India",0.00,1781.745
"Albania","Ireland",0.00,309.691
"Albania","Italy",0.00,253901.4
"Albania","Japan",0.00,1092.828
"Albania","Jordan",0.00,83.155
"Albania","KoreaRepublicof",0.00,8631.836
"Albania","Latvia",0.00,336.263
"Albania","Lebanon",0.00,200.255
"Albania","Luxembourg",0.00,8.652
"Albania","Malaysia",0.00,375.021
"Albania","Malta",0.00,48.662
"Albania","Mexico",0.00,136.326
"Albania","Montenegro",0.00,1050.22
"Albania","Morocco",0.00,97.809
"Albania","Netherlands",0.00,19811.06
"Albania","Norway",0.00,698.539
"Albania","Pakistan",0.00,5.109
"Albania","Peru",0.00,26.657
"Albania","Philippines",0.00,59.884
"Albania","Poland",0.00,8701.249
"Albania","Portugal",0.00,538.617
"Albania","Qatar",0.00,383.384
"Albania","Romania",0.00,8735.951
"Albania","RussianFederation",0.00,601.085
"Albania","Senegal",0.00,3553.586
"Albania","Serbia",0.00,8597.911
"Albania","Singapore",0.00,99.25
"Albania","Slovakia",0.00,37605.91
"Albania","Slovenia",0.00,8638.556
"Albania","SouthAfrica",0.00,5.105
"Albania","Spain",0.00,10377.26
"Albania","Sweden",0.00,3809.806
"Albania","Switzerland",0.00,3816.002
"Albania","SyrianArabRepublic",0.00,68.324
"Albania","TFYRofMacedonia",0.00,6056.266
"Albania","Thailand",0.00,1683.168
"Albania","Tunisia",0.00,824.698
"Albania","Turkey",0.00,52319.96
"Albania","Ukraine",0.00,741.123
"Albania","UnitedArabEmirates",0.00,651.825
"Albania","UnitedKingdom",0.00,7027.49
"Albania","UnitedStates",0.00,10954.34
"Albania","Venezuela",0.00,366.463
"Algeria","Angola",0.00,41.523
"Algeria","Australia",0.00,1638.561
"Algeria","Austria",0.00,181408.3
"Algeria","Bahrain",0.00,2211.385
"Algeria","Belgium",0.00,318008.6
"Algeria","Benin",0.00,94.16499
"Algeria","Bulgaria",0.00,4623.382
"Algeria","BurkinaFaso",0.00,10.856
"Algeria","Cameroon",0.00,51.443
"Algeria","Canada",0.00,46319.2
"Algeria","Chad",0.00,312.132
"Algeria","Chile",0.00,3177.636
"Algeria","China",0.01,3141066
"Algeria","ChinaHongKongSAR",0.00,311261.2
"Algeria","ChinaTaiwanProvince",0.00,34702.31
"Algeria","Colombia",0.00,168.456
"Algeria","Congo",0.00,11.783
"Algeria","CotedIvoire",0.00,12.714
"Algeria","CzechRepublic",0.00,170014.3
"Algeria","Denmark",0.00,30281.94
"Algeria","Ecuador",0.00,1092.181
"Algeria","Egypt",0.00,74179.84
"Algeria","EquatorialGuinea",0.00,11.797
"Algeria","Ethiopia",0.00,7.42
"Algeria","France",0.01,3145357
"Algeria","Gabon",0.00,.18
"Algeria","Germany",0.00,1397353
"Algeria","Guinea",0.00,3.969
"Algeria","India",0.00,352994.7
"Algeria","Indonesia",0.00,32326.35
"Algeria","IranIslamicRepublic",0.00,2947.084
"Algeria","Ireland",0.00,12013.25
"Algeria","Italy",0.00,2053288
"Algeria","Japan",0.00,107878.6
"Algeria","Jordan",0.00,4637.923
"Algeria","Kenya",0.00,101.617
"Algeria","KoreaRepublicof",0.00,702223.4
"Algeria","Lebanon",0.00,30437.88
"Algeria","Libya",0.00,443.972
"Algeria","Lithuania",0.00,2459.954
"Algeria","Luxembourg",0.00,11961.2
"Algeria","Madagascar",0.00,12.497
"Algeria","Malaysia",0.00,7234.141
"Algeria","Maldives",0.00,48.967
"Algeria","Mali",0.00,949.598
"Algeria","Malta",0.00,162.481
"Algeria","Mauritania",0.00,3754.446
