source,target,weight,flow
"Afghanistan","Bahrain",0.00,14.683
"Afghanistan","Bulgaria",0.00,133.388
"Afghanistan","Canada",0.00,151.649
"Afghanistan","China",0.00,4309.343
"Afghanistan","ChinaTaiwanProvince",0.00,481.597
"Afghanistan","Finland",0.00,14.865
"Afghanistan","France",0.00,8641.11
"Afghanistan","Germany",0.00,8191.671
"Afghanistan","India",0.00,11201.46
"Afghanistan","IranIslamicRepublic",0.00,3114.641
"Afghanistan","Italy",0.00,419.235
"Afghanistan","Japan",0.00,43511.05
"Afghanistan","Kazakhstan",0.00,505.907
"Afghanistan","Kuwait",0.00,8.245
"Afghanistan","Lithuania",0.00,26.053
"Afghanistan","Malaysia",0.00,601.253
"Afghanistan","Netherlands",0.00,516.242
"Afghanistan","Pakistan",0.00,1457.374
"Afghanistan","Portugal",0.00,40.027
"Afghanistan","RussianFederation",0.00,9024.866
"Afghanistan","SaudiArabia",0.00,268.544
"Afghanistan","Singapore",0.00,1801.648
"Afghanistan","Slovenia",0.00,417.879
"Afghanistan","Spain",0.00,2939.468
"Afghanistan","Switzerland",0.00,1806.575
"Afghanistan","Thailand",0.00,5695.484
"Afghanistan","Turkey",0.00,60.366
"Afghanistan","Turkmenistan",0.00,1854.57
"Afghanistan","UnitedKingdom",0.00,1514.595
"Afghanistan","UnitedStates",0.00,408.797
"Albania","Austria",0.00,2607.392
"Albania","Bolivia",0.00,13.229
"Albania","Bulgaria",0.00,7613.875
"Albania","Croatia",0.00,1752.022
"Albania","CzechRepublic",0.00,2194.933
"Albania","France",0.00,1954.481
"Albania","Germany",0.00,10833.72
"Albania","Greece",0.00,69145.66
"Albania","Hungary",0.00,340.249
"Albania","Italy",0.00,75890.59
"Albania","Japan",0.00,1527.134
"Albania","Jordan",0.00,111.74
"Albania","Lebanon",0.00,44.189
"Albania","Malaysia",0.00,43.016
"Albania","Malta",0.00,802.24
"Albania","Netherlands",0.00,1728.658
"Albania","Norway",0.00,6.66
"Albania","Poland",0.00,240.923
"Albania","Portugal",0.00,145.537
"Albania","Romania",0.00,1169.58
"Albania","RussianFederation",0.00,271.396
"Albania","SerbiaandMontenegro",0.00,602.739
"Albania","Slovakia",0.00,826.313
"Albania","Slovenia",0.00,2729.347
"Albania","Spain",0.00,370.4
"Albania","Switzerland",0.00,211.413
"Albania","TFYRofMacedonia",0.00,5848.625
"Albania","Thailand",0.00,590.286
"Albania","Turkey",0.00,16525.68
"Albania","UnitedKingdom",0.00,849.742
"Albania","UnitedStates",0.00,4976.486
"Algeria","Belgium",0.00,42608.47
"Algeria","Bulgaria",0.00,11024.89
"Algeria","Canada",0.00,2252.357
"Algeria","CzechRepublic",0.00,9860.966
"Algeria","Egypt",0.00,26889.16
"Algeria","France",0.01,375025.2
"Algeria","Germany",0.00,121221.6
"Algeria","India",0.00,6195.778
"Algeria","Italy",0.00,175468.8
"Algeria","KoreaRepublicof",0.00,14565.46
"Algeria","Lebanon",0.00,2506.905
"Algeria","Libya",0.00,1264.035
"Algeria","Luxembourg",0.00,757.346
"Algeria","Malta",0.00,76.086
"Algeria","Morocco",0.00,32983.82
"Algeria","Netherlands",0.00,24097.12
"Algeria","Portugal",0.00,17006.8
"Algeria","RussianFederation",0.00,34113.65
"Algeria","Spain",0.01,287586.7
"Algeria","Switzerland",0.00,7747.519
"Algeria","Tunisia",0.00,95275.95
"Algeria","Turkey",0.00,129122.8
"Algeria","UnitedArabEmirates",0.00,403.015
"Algeria","UnitedKingdom",0.00,22939.53
