source,target,weight,flow
"Afghanistan","Colombia",0.00,7.223
"Afghanistan","Croatia",0.00,7.897
"Afghanistan","CzechRepublic",0.00,13.627
"Afghanistan","Egypt",0.00,9.723
"Afghanistan","Estonia",0.00,15.516
"Afghanistan","France",0.00,487.706
"Afghanistan","Germany",0.00,613.796
"Afghanistan","Indonesia2002",0.00,34.403
"Afghanistan","IranIslamicRepublic",0.00,2627.77
"Afghanistan","Ireland",0.00,9.746
"Afghanistan","Italy",0.00,188.411
"Afghanistan","Japan",0.00,2610.071
"Afghanistan","KoreaRepublicof",0.00,60.276
"Afghanistan","Malaysia",0.00,163.149
"Afghanistan","Malta",0.00,4388.109
"Afghanistan","Netherlands",0.00,180.436
"Afghanistan","Norway",0.00,23.053
"Afghanistan","Pakistan",0.00,694.659
"Afghanistan","Slovenia",0.00,46.903
"Afghanistan","Spain",0.00,42.85
"Afghanistan","Sweden",0.00,112.399
"Afghanistan","Switzerland",0.00,71.13
"Afghanistan","Ukraine",0.00,45.665
"Afghanistan","UnitedKingdom",0.00,1114.466
"Afghanistan","UnitedStates",0.00,964.433
"Albania","Austria",0.00,3800.5
"Albania","Bulgaria",0.00,4139.895
"Albania","Canada",0.00,442.94
"Albania","Croatia",0.00,74.244
"Albania","CzechRepublic",0.00,36.733
"Albania","Denmark",0.00,1968.202
"Albania","Egypt",0.00,16.239
"Albania","Finland",0.00,51.861
"Albania","France",0.00,1458.482
"Albania","Germany",0.00,14165.3
"Albania","Greece",0.00,40906.22
"Albania","Hungary",0.00,243.543
"Albania","IranIslamicRepublic",0.00,49.218
"Albania","Ireland",0.00,147.283
"Albania","Italy",0.01,142280
"Albania","Japan",0.00,5.952
"Albania","Kuwait",0.00,9.059999
"Albania","Malaysia",0.00,218.386
"Albania","Netherlands",0.00,328.791
"Albania","NewZealand",0.00,1.924
"Albania","Romania",0.00,713.321
"Albania","RussianFederation",0.00,11.554
"Albania","SaudiArabia",0.00,41.893
"Albania","SerbiaandMontenegro",0.00,43.234
"Albania","Slovenia",0.00,640.77
"Albania","Spain",0.00,269.573
"Albania","Sweden",0.00,978.724
"Albania","Switzerland",0.00,1432.305
"Albania","TFYRofMacedonia",0.00,1182.956
"Albania","Turkey",0.00,8302.246
"Albania","UnitedKingdom",0.00,1751.639
"Albania","UnitedStates",0.00,1654.661
"Algeria","Belgium",0.00,17734.92
"Algeria","Bulgaria",0.00,582.716
"Algeria","Canada",0.00,2815.744
"Algeria","CzechRepublic",0.00,1833.198
"Algeria","Egypt",0.00,2306.942
"Algeria","France",0.01,160825.1
"Algeria","Germany",0.00,24614.49
"Algeria","Italy",0.00,40402.66
"Algeria","Libya",0.00,297.213
"Algeria","Morocco",0.00,3000.759
"Algeria","Netherlands",0.00,3461.585
"Algeria","RussianFederation",0.00,6506.144
"Algeria","SaudiArabia",0.00,630.874
"Algeria","Spain",0.00,22597.82
"Algeria","Switzerland",0.00,5242.735
"Algeria","SyrianArabRepublic",0.00,4081.429
"Algeria","Tunisia",0.00,10339.41
"Algeria","UnitedArabEmirates",0.00,779.534
"Algeria","UnitedKingdom",0.00,9248.412
"Algeria","UnitedStates",0.00,12886.74
"Andorra","Austria",0.00,1496.651
"Andorra","Belgium",0.00,1112.702
"Andorra","Chile",0.00,7.691999
"Andorra","Denmark",0.00,178.641
"Andorra","France",0.00,107171.4
"Andorra","Germany",0.00,8042.647
"Andorra","Italy",0.00,18367.25
"Andorra","Luxembourg",0.00,662.074
"Andorra","Netherlands",0.00,2370.44
"Andorra","Portugal",0.00,699.293
"Andorra","Spain",0.00,121217.5
"Andorra","UnitedKingdom",0.00,2289.773
"Angola","Austria",0.00,16.387
"Angola","Botswana",0.00,14.247
"Angola","ChinaTaiwanProvince",0.00,200.919
"Angola","Congo",0.00,1252.523
"Angola","Cyprus",0.00,6.962
"Angola","France",0.00,13049.37
"Angola","Germany",0.00,1928.879
"Angola","Italy",0.00,6531.011
"Angola","KoreaRepublicof",0.00,1319.796
"Angola","Namibia",0.00,15954.91
"Angola","Netherlands",0.00,2718.145
"Angola","Portugal",0.00,65054.85
"Angola","SouthAfrica",0.00,20499.35
"Angola","Sweden",0.00,508.553
"Angola","Tunisia",0.00,89.473
"Angola","UnitedKingdom",0.00,4499.091
"Angola","UnitedStates",0.00,9049.999
"Anguilla","Germany",0.00,8.788
"Anguilla","SaintKittsandNevis",0.00,2.464
"Anguilla","Spain",0.00,105.716
"Anguilla","Thailand",0.00,73.964
"Anguilla","Ukraine",0.00,20.816
"Anguilla","UnitedKingdom",0.00,539.392
"Anguilla","UnitedStates",0.00,1139.654
"Anguilla","Venezuela",0.00,1262.175
"AntiguaandBarbuda","Aruba",0.00,145.007
"AntiguaandBarbuda","Austria",0.00,20.927
"AntiguaandBarbuda","Bahamas",0.00,5.35
"AntiguaandBarbuda","Barbados",0.00,628.3
"AntiguaandBarbuda","Belize",0.00,32.115
"AntiguaandBarbuda","Canada",0.00,1447.426
"AntiguaandBarbuda","Dominica",0.00,60.669
"AntiguaandBarbuda","Finland",0.00,2.625
"AntiguaandBarbuda","France",0.00,199.402
"AntiguaandBarbuda","Grenada",0.00,175.241
"AntiguaandBarbuda","Ireland",0.00,1.784
"AntiguaandBarbuda","Jamaica",0.00,391.19
"AntiguaandBarbuda","Mexico",0.00,64.259
"AntiguaandBarbuda","Netherlands",0.00,60.728
"AntiguaandBarbuda","Portugal",0.00,117.669
"AntiguaandBarbuda","SaintKittsandNevis",0.00,63.987
"AntiguaandBarbuda","SaintLucia",0.00,141.066
"AntiguaandBarbuda","SaintVincentandGrenadines",0.00,50.658
"AntiguaandBarbuda","Slovenia",0.00,297.908
"AntiguaandBarbuda","Switzerland",0.00,573.569
"AntiguaandBarbuda","TrinidadandTobago",0.00,1188.99
"AntiguaandBarbuda","UnitedKingdom",0.00,4602.778
"AntiguaandBarbuda","UnitedStates",0.00,8804.838
"Argentina","Australia",0.00,1835.408
"Argentina","Austria",0.00,3819.792
"Argentina","Belarus",0.00,45.684
"Argentina","Belgium",0.00,16526.24
"Argentina","Bolivia",0.00,14885.13
"Argentina","Botswana",0.00,.702
"Argentina","Brazil",0.01,372980.1
"Argentina","Canada",0.00,11369.06
"Argentina","Chile",0.01,132835.3
"Argentina","China",0.00,117956.4
"Argentina","ChinaHongKongSAR",0.01,212920.5
"Argentina","ChinaTaiwanProvince",0.00,53610.6
"Argentina","Colombia",0.00,28757.67
"Argentina","CostaRica",0.00,813.774
"Argentina","Cuba",0.00,1419.287
"Argentina","Cyprus",0.00,77.615
"Argentina","CzechRepublic",0.00,707.67
"Argentina","Denmark",0.00,11533.96
"Argentina","DominicanRepublic",0.00,631.77
"Argentina","Ecuador",0.00,3316.317
"Argentina","Egypt",0.00,1013.503
"Argentina","ElSalvador",0.00,386.247
"Argentina","Estonia",0.00,92.338
"Argentina","Finland",0.00,3579.03
"Argentina","France",0.00,84833.33
"Argentina","Germany",0.00,127066.1
"Argentina","Greece",0.00,6152.624
"Argentina","Guatemala",0.00,872.806
