source,target,weight
Afghanistan,Argentina,141.758
Afghanistan,Australia,740.741
Afghanistan,Austria,602.867
Afghanistan,Azerbaijan,111329.88
Afghanistan,Bahrain,519.97
Afghanistan,Bangladesh,1571.064
Afghanistan,Belgium,2511.498
Afghanistan,Brazil,6492.829
Afghanistan,Bulgaria,212.412
Afghanistan,Canada,75.751
Afghanistan,China,19395.747
Afghanistan,CostaRica,31.223
Afghanistan,CzechRepublic,0.88
Afghanistan,Denmark,1724.899
Afghanistan,DominicanRepublic,102.544
Afghanistan,Egypt,182.996
Afghanistan,Finland,8.981
Afghanistan,France,8999.303
Afghanistan,Germany,3719.028
Afghanistan,Guatemala,216.335
Afghanistan,Guyana,5.446
Afghanistan,Hungary,481.681
Afghanistan,India,34416.832
Afghanistan,Indonesia,1773.92
Afghanistan,Ireland,3322.838
Afghanistan,Italy,169.189
Afghanistan,Japan,968.829
Afghanistan,Jordan,376.006
Afghanistan,Kazakhstan,109137.56
Afghanistan,Kenya,110829.45
Afghanistan,KoreaRepublicof,116.665
Afghanistan,Kyrgyzstan,370.663
Afghanistan,Latvia,1434.697
Afghanistan,Lebanon,71.648
Afghanistan,Lithuania,1843.008
Afghanistan,Malaysia,30.961
Afghanistan,Mexico,40.601
Afghanistan,Mozambique,0.928
Afghanistan,Netherlands,17351.394
Afghanistan,NewZealand,229.495
Afghanistan,Norway,106.856
Afghanistan,Oman,53.143
Afghanistan,Pakistan,1068161.7
Afghanistan,Philippines,345.48
Afghanistan,Poland,2949.565
Afghanistan,Portugal,0.274
Afghanistan,RussianFederation,683.773
Afghanistan,SaudiArabia,966.002
Afghanistan,Senegal,88.43
Afghanistan,Singapore,241.17
Afghanistan,Spain,970.387
Afghanistan,SriLanka,38.654
Afghanistan,Switzerland,568.275
Afghanistan,SyrianArabRepublic,6.626
Afghanistan,Thailand,331.346
Afghanistan,TFYRofMacedonia,16.006
Afghanistan,Tunisia,8.826
Afghanistan,Turkey,9675.11
Afghanistan,Ukraine,744.723
Afghanistan,UnitedArabEmirates,15269.995
Afghanistan,UnitedKingdom,37.437
Afghanistan,UnitedStates,32376.667
Afghanistan,Uruguay,193.165
Albania,Algeria,14824.538
Albania,AntiguaandBarbuda,1.459
Albania,Argentina,4578.189
Albania,Australia,303.702
Albania,Austria,4119.92
Albania,Bahrain,8.373
Albania,Bangladesh,99.692
Albania,Belgium,3327.176
Albania,BosniaandHerzegovina,1690.141
Albania,Brazil,36063.523
Albania,Bulgaria,10215.707
Albania,Cameroon,56.082
Albania,Canada,3683.894
Albania,CentralAfricanRepublic,3.813
Albania,Chile,28.808
Albania,China,8244.712
Albania,ChinaHongKongSAR,55.896
Albania,Colombia,152.866
Albania,Comoros,5.115
Albania,CostaRica,27.033
Albania,CotedIvoire,46.266
Albania,Croatia,22174.183
