Id,Label,Ranking
Afghanistan,Afghanistan,62.00911997
Albania,Albania,32.65981598
Algeria,Algeria,580.7390511
AmericanSamoa,AmericanSamoa,1.001930076
Andorra,Andorra,1
Angola,Angola,184.8297467
Anguilla,Anguilla,1
AntiguaandBarbuda,AntiguaandBarbuda,2.100828055
Argentina,Argentina,884.1549511
Armenia,Armenia,25.39491748
Aruba,Aruba,1
Australia,Australia,1140.619297
Austria,Austria,405.0596971
Azerbaijan,Azerbaijan,169.7891721
Bahamas,Bahamas,8.924823302
Bahrain,Bahrain,64.16024715
Bangladesh,Bangladesh,580.0649035
Barbados,Barbados,4.662761483
Belarus,Belarus,168.2679371
Belgium,Belgium,494.8528808
Belize,Belize,3.048015799
Benin,Benin,22.94121331
Bermuda,Bermuda,1
Bhutan,Bhutan,5.987300798
Bolivia,Bolivia,74.57612678
SintBonaire,SintBonaire,1
BosniaandHerzegovina,BosniaandHerzegovina,40.75548907
Botswana,Botswana,34.9441654
Brazil,Brazil,3198.945578
BritishVirginIslands,BritishVirginIslands,1
BruneiDarussalam,BruneiDarussalam,33.17057702
Bulgaria,Bulgaria,137.1328491
BurkinaFaso,BurkinaFaso,30.94792945
Burundi,Burundi,7.830294312
CaboVerde,CaboVerde,3.412657194
Cambodia,Cambodia,54.37336786
Cameroon,Cameroon,72.74194475
Canada,Canada,1633.700115
CaymanIslands,CaymanIslands,1
CentralAfricanRepublic,CentralAfricanRepublic,3.008624051
Chad,Chad,30.53008307
Chile,Chile,423.285076
China,China,19695.74172
ChinaHongKongSAR,ChinaHongKongSAR,415.8657366
ChinaMacaoSAR,ChinaMacaoSAR,1
ChinaTaiwanProvince,ChinaTaiwanProvince,1100.198094
Colombia,Colombia,666.9577046
Comoros,Comoros,1.216533537
Congo,Congo,29.36571156
CookIslands,CookIslands,1
CostaRica,CostaRica,75.03995763
Croatia,Croatia,91.28143175
Cuba,Cuba,1
Curacao,Curacao,1
Cyprus,Cyprus,28.10591175
CzechRepublic,CzechRepublic,338.0267385
CotedIvoire,CotedIvoire,79.63772729
DemRepoftheCongo,DemRepoftheCongo,62.6883018
Denmark,Denmark,258.7818047
Djibouti,Djibouti,3.099854419
Dominica,Dominica,0.789634257
DominicanRepublic,DominicanRepublic,149.9311688
Ecuador,Ecuador,184.2287884
Egypt,Egypt,1050.448976
ElSalvador,ElSalvador,52.80855165
EquatorialGuinea,EquatorialGuinea,34.79033183
Eritrea,Eritrea,8.730280812
Estonia,Estonia,37.6251927
Ethiopia,Ethiopia,161.9625956
FaeroeIslands,FaeroeIslands,1
FalklandIslands,FalklandIslands,1
Fiji,Fiji,8.064275428
Finland,Finland,224.9382739
France,France,2665.86286
FrenchPolynesia,FrenchPolynesia,1
Gabon,Gabon,34.64561874
Gambia,Gambia,3.267367637
Georgia,Georgia,35.68221735
Germany,Germany,3860.113761
Ghana,Ghana,115.3704866
Gibraltar,Gibraltar,1
Greece,Greece,286.5571788
Greenland,Greenland,1
Grenada,Grenada,1.44825533
Guam,Guam,1
Guatemala,Guatemala,126.2067392
Guinea,Guinea,15.28742306
GuineaBissau,GuineaBissau,2.684973556
Guyana,Guyana,5.780975283
Haiti,Haiti,18.82355049
HolySee,HolySee,1
Honduras,Honduras,41.14403619
Hungary,Hungary,258.9694465
Iceland,Iceland,15.18522542
India,India,7998.274543
Indonesia,Indonesia,2848.026098
IranIslamicRepublic,IranIslamicRepublic,1378.633334
Iraq,Iraq,533.9574302
Ireland,Ireland,305.0374359
Israel,Israel,285.2595906
Italy,Italy,2175.322902
Jamaica,Jamaica,24.68246011
Japan,Japan,4843.269264
Jordan,Jordan,82.79875184
Kazakhstan,Kazakhstan,458.1872488
Kenya,Kenya,142.2398422
Kiribati,Kiribati,0.202355373
KoreaDemPeoples,KoreaDemPeoples,1
KoreaRepublicof,KoreaRepublicof,1853.210847
Kuwait,Kuwait,289.9269449
Kyrgyzstan,Kyrgyzstan,20.28794075
LaoPeoplesDemRep,LaoPeoplesDemRep,37.61769761
Latvia,Latvia,48.96181502
Lebanon,Lebanon,83.22624288
Lesotho,Lesotho,5.802203093
Liberia,Liberia,3.757046807
Libya,Libya,92.79613549
Lithuania,Lithuania,82.54097376
Luxembourg,Luxembourg,56.01749768
Madagascar,Madagascar,35.53468548
Malawi,Malawi,20.40056441
Malaysia,Malaysia,817.4248402
Maldives,Maldives,5.180882747
Mali,Mali,35.69492844
Malta,Malta,15.47429874
MarshallIslands,MarshallIslands,0.174386847
Mauritania,Mauritania,15.9779729
Mauritius,Mauritius,24.64544276
Mexico,Mexico,2230.136519
