Id,Label,Ranking
Afghanistan,Afghanistan,1937.361201
Albania,Albania,11304.23266
Algeria,Algeria,14531.9183
AmericanSamoa,AmericanSamoa,5183.258927
Andorra,Andorra,1
Angola,Angola,6958.245337
Anguilla,Anguilla,1
AntiguaandBarbuda,AntiguaandBarbuda,23523.42674
Argentina,Argentina,20498.83261
Armenia,Armenia,8492.036256
Aruba,Aruba,1
Australia,Australia,47644.36306
Austria,Austria,46986.20353
Azerbaijan,Azerbaijan,18030.02055
Bahamas,Bahamas,24505.35132
Bahrain,Bahrain,49600.96974
Bangladesh,Bangladesh,3628.65402
Barbados,Barbados,16669.53611
Belarus,Belarus,17714.83857
Belgium,Belgium,44147.87214
Belize,Belize,8321.000586
Benin,Benin,2112.560788
Bermuda,Bermuda,1
Bhutan,Bhutan,7689.973626
Bolivia,Bolivia,6953.676281
SintBonaire,SintBonaire,1
BosniaandHerzegovina,BosniaandHerzegovina,10549.70134
Botswana,Botswana,16415.23399
Brazil,Brazil,15645.89669
BritishVirginIslands,BritishVirginIslands,1
BruneiDarussalam,BruneiDarussalam,79507.61511
Bulgaria,Bulgaria,19169.27448
BurkinaFaso,BurkinaFaso,1727.486991
Burundi,Burundi,831.0846275
CaboVerde,CaboVerde,6502.473467
Cambodia,Cambodia,3498.262627
Cameroon,Cameroon,3147.977662
Canada,Canada,45601.68545
CaymanIslands,CaymanIslands,1
CentralAfricanRepublic,CentralAfricanRepublic,627.6386566
Chad,Chad,2639.630574
Chile,Chile,23507.4702
China,China,14339.92364
ChinaHongKongSAR,ChinaHongKongSAR,56878.48777
ChinaMacaoSAR,ChinaMacaoSAR,1
ChinaTaiwanProvince,ChinaTaiwanProvince,46832.73576
Colombia,Colombia,13836.43559
Comoros,Comoros,1521.758667
Congo,Congo,6722.435875
CookIslands,CookIslands,1
CostaRica,CostaRica,15469.18039
Croatia,Croatia,21625.30058
Cuba,Cuba,1
Curacao,Curacao,1
Cyprus,Cyprus,33182.58122
CzechRepublic,CzechRepublic,32076.0977
CotedIvoire,CotedIvoire,3358.702607
DemRepoftheCongo,DemRepoftheCongo,767.4880099
Denmark,Denmark,45723.46923
Djibouti,Djibouti,3210.294673
Dominica,Dominica,11162.64376
DominicanRepublic,DominicanRepublic,15022.79742
Ecuador,Ecuador,11317.06824
Egypt,Egypt,11802.79748
ElSalvador,ElSalvador,8619.604318
EquatorialGuinea,EquatorialGuinea,43522.07962
Eritrea,Eritrea,1299.878407
Estonia,Estonia,28649.98367
Ethiopia,Ethiopia,1804.389976
FaeroeIslands,FaeroeIslands,1
FalklandIslands,FalklandIslands,1
Fiji,Fiji,9052.01044
Finland,Finland,41108.99632
France,France,41475.91053
FrenchPolynesia,FrenchPolynesia,1
Gabon,Gabon,18676.94746
Gambia,Gambia,1649.78847
Georgia,Georgia,9590.962625
Germany,Germany,46973.91702
Ghana,Ghana,4291.06368
Gibraltar,Gibraltar,1
Greece,Greece,26391.29709
Greenland,Greenland,1
Grenada,Grenada,13571.7521
Guam,Guam,1
Guatemala,Guatemala,7758.806952
Guinea,Guinea,1238.339346
GuineaBissau,GuineaBissau,1510.71082
Guyana,Guyana,7537.125532
Haiti,Haiti,1757.40365
HolySee,HolySee,1
Honduras,Honduras,5091.126794
Hungary,Hungary,26275.30911
Iceland,Iceland,45665.86799
India,India,6187.231625
Indonesia,Indonesia,11148.54437
IranIslamicRepublic,IranIslamicRepublic,17346.46926
Iraq,Iraq,15185.88512
Ireland,Ireland,65806.06547
Israel,Israel,34053.83256
Italy,Italy,35780.91954
Jamaica,Jamaica,8771.231446
Japan,Japan,38141.6096
Jordan,Jordan,10902.39508
Kazakhstan,Kazakhstan,25911.7282
Kenya,Kenya,3218.095977
Kiribati,Kiribati,1778.411148
KoreaDemPeoples,KoreaDemPeoples,1
KoreaRepublicof,KoreaRepublicof,36612.38713
Kuwait,Kuwait,70541.9417
Kyrgyzstan,Kyrgyzstan,3394.812187
LaoPeoplesDemRep,LaoPeoplesDemRep,5351.464978
Latvia,Latvia,24652.29023
Lebanon,Lebanon,18276.92566
Lesotho,Lesotho,3003.036775
Liberia,Liberia,874.5283622
Libya,Libya,14679.42266
Lithuania,Lithuania,28413.4161
Luxembourg,Luxembourg,99505.64284
Madagascar,Madagascar,1466.231221
Malawi,Malawi,1126.446873
Malaysia,Malaysia,26211.19153
Maldives,Maldives,14894.95837
Mali,Mali,2190.568898
Malta,Malta,36041.72584
MarshallIslands,MarshallIslands,3193.151934
Mauritania,Mauritania,4311.442907
Mauritius,Mauritius,19572.67286
Mexico,Mexico,18429.99456
MicronesiaFedSts,MicronesiaFedSts,2960.925573
Mongolia,Mongolia,12178.4505
Montenegro,Montenegro,1
Montserrat,Montserrat,1
Morocco,Morocco,8180.163977
Mozambique,Mozambique,1192.174585
Myanmar,Myanmar,5479.883935
Namibia,Namibia,11224.43311
Nauru,Nauru,1
Nepal,Nepal,2463.062603
Netherlands,Netherlands,49623.55295
NewCaledonia,NewCaledonia,1
NewZealand,NewZealand,36135.81974
Nicaragua,Nicaragua,5044.294095
Niger,Niger,1077.178738
Nigeria,Nigeria,6120.826428
Niue,Niue,1
NorthernMarianas,NorthernMarianas,1
Norway,Norway,68591.49939
Oman,Oman,43706.69472
Pakistan,Pakistan,4906.295477
Palau,Palau,15213.23444
Panama,Panama,21808.90062
PapuaNewGuinea,PapuaNewGuinea,3494.788239
Paraguay,Paraguay,9050.016671
Peru,Peru,12518.32714
Philippines,Philippines,7282.268192
Poland,Poland,26499.06706
Portugal,Portugal,27885.27228
Qatar,Qatar,132870.1728
RepublicofMoldova,RepublicofMoldova,5047.486502
Romania,Romania,20872.23266
RussianFederation,RussianFederation,25965.07469
Rwanda,Rwanda,1810.166719
SaintHelena,SaintHelena,1
SaintKittsandNevis,SaintKittsandNevis,24476.16865
SaintLucia,SaintLucia,11710.03947
SaintPierreandMiquelon,SaintPierreandMiquelon,1
SaintVincentandGrenadines,SaintVincentandGrenadines,10937.36206
Samoa,Samoa,5183.258927
SanMarino,SanMarino,62938.28282
SaoTomeandPricipe,SaoTomeandPricipe,3250.420389
SaudiArabia,SaudiArabia,53802.49113
Senegal,Senegal,2456.27948
Serbia,Serbia,13699.2253
Seychelles,Seychelles,26677.31543
SierraLeone,SierraLeone,1592.963762
Singapore,Singapore,85382.00163
SintMaarten,SintMaarten,1
Slovakia,Slovakia,1
Slovenia,Slovenia,30918.0321
SolomonIslands,SolomonIslands,1954.54578
Somalia,Somalia,1
SouthAfrica,SouthAfrica,13208.659
SouthSudan,SouthSudan,1994.969237
Spain,Spain,34861.0761
SriLanka,SriLanka,10590.23074
StateofPalestine,StateofPalestine,1
Sudan,Sudan,4393.565357
Suriname,Suriname,16253.42581
Swaziland,Swaziland,9712.131021
Sweden,Sweden,48198.66461
Switzerland,Switzerland,58647.20448
SyrianArabRepublic,SyrianArabRepublic,1
TFYRofMacedonia,TFYRofMacedonia,14047.50804
Tajikistan,Tajikistan,2835.236041
Thailand,Thailand,16130.08552
TimorLeste,TimorLeste,4714.768302
Togo,Togo,1488.649294
Tokelau,Tokelau,1
Tonga,Tonga,5136.2021
TrinidadandTobago,TrinidadandTobago,32573.07676
Tunisia,Tunisia,11451.42157
Turkey,Turkey,20420.28306
Turkmenistan,Turkmenistan,16477.97805
TurksandCaicos,TurksandCaicos,1
Tuvalu,Tuvalu,3399.949481
Uganda,Uganda,2002.426928
Ukraine,Ukraine,7986.959618
UnitedArabEmirates,UnitedArabEmirates,67216.86534
UnitedKingdom,UnitedKingdom,41498.62347
TanzaniaUnitedRepublic,TanzaniaUnitedRepublic,2909.709764
UnitedStates,UnitedStates,56083.96537
Uruguay,Uruguay,21341.31522
Uzbekistan,Uzbekistan,6080.786171
Vanuatu,Vanuatu,2554.793398
Venezuela,Venezuela,16784.13738
VietNam,VietNam,6036.603206
WallisandFutuna,WallisandFutuna,1
WesternSahara,WesternSahara,1
Yemen,Yemen,2676.043392
Zambia,Zambia,3852.143855
Zimbabwe,Zimbabwe,1983.681686
